"Date","Time","R_or_D","screen_name","text","hashtags"
"9/21/16",21:24:27,"R","lisamurkowski","Great to meet Angels in Adoption Pat &amp; Clarissa Kougl of North Pole, who have opened their home &amp; hearts to children https://t.co/xe5OzER2PH",
"9/21/16",16:00:12,"R","lisamurkowski","Impressed w/ UAA’s Dr. Amstislavski, who created an environmentally-friendly &amp; cost-effective thermal insulation. https://t.co/Gj5ruLaSBq",
"7/15/16",00:13:53,"R","lisamurkowski","Shocked &amp; horrified at what appears to be a horrific terrorist attack in Nice, France. Prayers to the victims &amp; all affected by the tragedy.",
"7/5/16",17:26:58,"R","lisamurkowski","Great piece on the close ties between the towns of Hyder in Southeast Alaska and Stewart in British Columbia! https://t.co/9XTTfWp3Oh",
"6/10/16",22:28:29,"R","lisamurkowski","This is what I like to see! The nation is starting to focus on the Arctic. https://t.co/zoYBIQMl4e",
"6/10/16",19:11:01,"R","lisamurkowski","Thanks to members of my staff for helping paint the town with @NeighborhoodWorksAK to help families in need. https://t.co/cOE0lunwsZ",
"6/10/16",16:45:23,"R","lisamurkowski","Thanks to @USCGAlaska for getting these Alaskans home safe &amp; sound after getting stuck in ice during a walrus hunt! https://t.co/a3M7OkgXKQ",
"2/23/16",21:46:45,"R","lisamurkowski","Thanks for stopping by! Great to be at your Salute to the Military this past weekend. https://t.co/spXqvEMd1S",
"2/23/16",21:40:45,"R","lisamurkowski","Proud to co-sponsor a bill to fight this issue: https://t.co/6MkHT0iNqh. https://t.co/uXmYBosRfL",
"2/23/16",21:35:33,"R","lisamurkowski","2 yrs &amp; 39 medevacs later, I asked Sec. Jewell if she knows the impacts of rejecting a lifesaving road in King Cove.
https://t.co/vLrLyMrAwr",
"2/23/16",21:15:45,"R","lisamurkowski","Incredibly honored! https://t.co/jUUKEtOdWT",
"2/23/16",16:11:02,"R","lisamurkowski","Sending prayers to @clairecmc for a quick and speedy recovery as she fights this battle with breast cancer. https://t.co/7Vtko66zx0",
"2/18/16",19:38:38,"R","lisamurkowski","The clean-up of legacy wells is a federal responsibility that has been ignored for far too long. https://t.co/LKAmyUgyh1",
"2/18/16",05:49:26,"R","lisamurkowski","Gorgeous day in Juneau! https://t.co/v7X0PDXwc1",
"11/25/15",20:38:48,"R","lisamurkowski","Alaskan Bonnie Carroll received Presidential Medal of Freedom Award. She's well deserving of this incredible honor! https://t.co/qOXtxFsYSR",
"11/25/15",19:22:16,"R","lisamurkowski","Proud to join @SenDanSullivan &amp; @repdonyoung to fight back against the latest chapter of #FederalOverreach in Alaska https://t.co/N69398RFsR","FederalOverreach"
"10/29/15",18:45:26,"R","lisamurkowski","On the line w/AK press discussing the anti-pirate fishing bill that passed. Making the distance btwn. AK &amp; DC work! https://t.co/o662lX94px",
"10/29/15",17:09:02,"R","lisamurkowski","Speaking to the National Mining Association Board of Directors today.  https://t.co/bow0HquGb2",
"9/29/15",00:59:37,"R","lisamurkowski","Unreal. It took NASA 11 years and $2.6 billion to drill on #Mars. It took Shell 7 years and over $7 billion to drill in the #Chukchi Sea.","Mars Chukchi"
"7/14/15",20:04:10,"R","lisamurkowski","Over the next 60 days Congress will have a chance to fully examine whether this agreement is responsible and protects the American people.",
"7/14/15",20:03:23,"R","lisamurkowski","President's vow to veto any legislation demonstrates a stunning lack of trust in democracy, American people &amp; their elected representatives.",
"7/14/15",20:02:49,"R","lisamurkowski","Iranian government has not historically been a good global citizen, and signing this agreement does not reverse history and make them one.",
"7/14/15",20:02:08,"R","lisamurkowski","The burden of proof is with the Obama administration to persuade Alaskans and the nation that this isn't a dangerous diplomatic blunder.",
"7/14/15",20:01:31,"R","lisamurkowski","Today's #IranDeal by the administration demands a close look and full scrutiny: http://t.co/wnGOQkn1HA.","IranDeal"
"7/14/15",19:08:53,"R","lisamurkowski","Discussed Alaska's VA healthcare system &amp; impact of troop reductions w/Sec. of @usairforce Deborah James today. http://t.co/3ENcPieIOe",
"7/14/15",17:33:31,"R","lisamurkowski","Great to speak to so many this morning who are committed to turning America’s focus to the #Arctic. https://t.co/XTMBt6EDKW","Arctic"
"6/15/15",17:17:11,"R","lisamurkowski","My thoughts &amp; prayers go to Alaskans in the line of the Sockeye Fire, and for the safety of the firefighting crews. https://t.co/c9uhP3XwdF",
"6/9/15",19:41:56,"R","lisamurkowski","Great to participate in Capitol Hill Ocean Week! #CHOW2015 shines a light on the issues/opportunities in the Arctic. http://t.co/cOvSbdIJLK","CHOW2015"
"6/9/15",19:32:28,"R","lisamurkowski","We must find a balance so we don't waste opportunities as Chair, &amp; for US leadership in the Arctic to last beyond the next 2 years #CHOW2015","CHOW2015"
"6/9/15",19:31:39,"R","lisamurkowski","Caring for the environment is not inconsistent w/other goals of producing jobs in the Arctic &amp; addressing energy security needs. #CHOW2015","CHOW2015"
"6/9/15",19:30:39,"R","lisamurkowski","We must also involve local communities--bringing together western science &amp; traditional knowledge is key to true stewardship.  #CHOW2015","CHOW2015"
"6/9/15",19:27:13,"R","lisamurkowski","We must invest in the building blocks of safe maritime activity: charting, navigation aids, deepwater port, icebreakers. #CHOW2015","CHOW2015"
"6/9/15",18:59:05,"R","lisamurkowski","A huge congrats to both of you! And a happy, happy birthday Don! https://t.co/Do3CvA0JRr",
"6/9/15",18:47:50,"R","lisamurkowski","It's Capitol Hill Ocean Week! I'm headed over to discuss what chairing the @ArcticCouncil means. Tune in: http://t.co/wpipFA9Zp5 #CHOW2015","CHOW2015"
"6/9/15",18:06:26,"R","lisamurkowski","Thanks @NOAA and @USCG for your important work to chart, map, and collect data in the US Arctic! http://t.co/7NAui4zmjU",
"6/9/15",02:48:42,"R","lisamurkowski","Today I sent my boy Matt up to tender in Naknek. My Alaskan family is proud to work for our fishing… https://t.co/QCSbjZX56c",
"6/9/15",00:25:06,"R","lisamurkowski","Exciting to see the Polar Pioneer in Seattle and meet w/ employees who are getting it ready for the journey to AK. http://t.co/AHU40frFUT",
"5/21/14",21:29:23,"R","lisamurkowski","Spouses &amp; children share the burden of service. They deserve access to programs to help them cope w/the transitions http://t.co/FxL6N3l10J",
"10/22/14",22:59:07,"D","SenatorBegich","Monday, I toured Providence Hospital to see how they go above &amp; beyond to prepare for any kind of outbreak like Ebola http://t.co/JKnkbuXe9t",
"4/1/14",02:36:56,"D","SenatorBegich","@AKStateSociety thank you!",
"4/19/13",16:21:13,"D","SenatorBegich","My thoughts continue to be with Boston during this tough week. #IStandWithBoston #Boston","IStandWithBoston Boston"
"12/12/12",23:29:05,"D","SenatorBegich","My Coast Guard bill just passed the US Senate by unanimous consent and is on its way to the President's desk @uscoastguard",
"12/12/12",19:33:27,"D","SenatorBegich","RT @pgranitz: @senatorlugar advocates #LNG exports in farewell speech","LNG"
"12/12/12",19:13:41,"D","SenatorBegich","North Korea launch yesterday highlights how critical #Alaska #missile defense system is to keeping our nation safe from ballistic missiles.","Alaska missile"
"8/3/12",21:50:09,"D","SenatorBegich","#Tanana Valley State Fair starts today.Word is that ""Age of Asparagus"" is this year's theme, and there's an extra day!","Tanana"
"8/3/12",18:36:33,"D","SenatorBegich","Good luck to U.S. Olympic shooter and Alaskan, Corey Cogdell, of Eagle River who competes in the trapshooting competition tomorrow in London",
"8/3/12",00:45:03,"D","SenatorBegich","Wrapped up in the Senate til Sept.Headed to #AK for all of August now to see my family &amp; gear up for a month of meetings hearing your ideas.","AK"
"5/18/12",20:54:04,"D","SenatorBegich","The Begich Minute on the @GotYour6 campaign-meaning ""I've got your back"" in military speak.To our vets:We got your 6 http://t.co/ane8y9kJ",
"5/18/12",19:05:22,"D","SenatorBegich","Chef Al, chef Patrick Hoogerhyde and chef James Dare were there to welcome it and open the season...then cook it http://t.co/VcqpG9BP",
"5/18/12",18:55:11,"D","SenatorBegich","First Copper River salmon has arrived!Thx to my staff for sending these shots.Good catch for opening of Bridge Seafood  http://t.co/nTY6Vh2K",
"3/31/12",22:18:53,"D","SenatorBegich","Buying tickets for the gun raffle at the Sportsmen's Show in Anchorage. http://t.co/mcfm54AE",
"1/16/11",02:05:59,"D","SenatorBegich","Had a great time Friday night in #Anchorage at the VFW #9978 fundraiser. http://tinyurl.com/4q9f4br #Alaska #AK","Anchorage Alaska AK"
"1/14/11",22:36:07,"D","SenatorBegich","Story of the Day: A Talkeetna tradition continues to help local causes: http://bit.ly/efYAM6",
"1/14/11",19:05:56,"D","SenatorBegich","Watch my latest interview on Alaska’s View From the Hill: http://bit.ly/eUDLSG #Alaska #AK","Alaska AK"
"1/13/11",20:40:59,"D","SenatorBegich","Met with Israeli Ambassador Dr. Michael Oren today: http://flic.kr/p/99VWMr #Alaska","Alaska"
"1/13/11",18:07:32,"D","SenatorBegich","Story of the Day:  The generosity and unity of Alaskans never fails to impress… http://bit.ly/fkFppB #Alaska #AK","Alaska AK"
"1/12/11",22:12:02,"D","SenatorBegich","The Cordova Times picked up my statement on the Deepwater Horizon Report: http://bit.ly/etuFLA #Alaska #AK","Alaska AK"
"1/12/11",19:30:42,"D","SenatorBegich","Joining Alaskans in remembering Rep. Howard Pollock. He was a key political figure in early Alaska: http://bit.ly/f3uWLP #AK #Alaska","AK Alaska"
"1/12/11",03:37:50,"D","SenatorBegich","I just finished another great tele-town hall where I got to speak to thousands of Alaskans. Thanks, #Alaska: http://on.fb.me/dFtQDi #AK","Alaska AK"
"1/11/11",23:02:22,"D","SenatorBegich","Welcome to Twitter, @begichmiddle #Alaska #AK","Alaska AK"
"1/11/11",23:00:50,"D","SenatorBegich","I met yesterday with Fran Ulmer about the Oil Spill Commission report. She provided a necessary #Alaska voice in the discussions. #AK","Alaska AK"
"1/11/11",19:06:34,"D","SenatorBegich","Sign up for my telephone town hall taking place at 5 p.m. (#Alaska). Sign up by 3 p.m. to get a call. Use this link: http://bit.ly/edMZqd","Alaska"
"1/11/11",17:54:06,"D","SenatorBegich","Story of the Day: This year’s mushing season is ready for excitement http://bit.ly/f4FSkO",
"1/10/11",17:38:20,"D","SenatorBegich","As our nation today observed a moment of silence,  Deborah and I continue to pray for all the victims of Saturday’s tragedy in Arizona.",
"1/8/11",19:29:35,"D","SenatorBegich","My thoughts and prayers are with Rep. Giffords and all of the victims in Arizona. A tragedy for our entire country.",
