Date,Time,R_or_D,Before_or_After,screen_name,text,hashtags,Nominate_dim1
9/21/16,21:48:10,D,Before,RepTerriSewell,It's a cycle that continues to be repeated. #TerenceCrutcher,TerenceCrutcher,-0.392
9/21/16,21:23:52,D,Before,RepTerriSewell,"Our hearts are burdened and once again saddened following Monday's shooting death of #TerenceCrutcher in #Tulsa, #Oklahoma. https://t.co/EM40pjYvRy",TerenceCrutcher Tulsa Oklahoma,-0.392
9/21/16,19:21:03,D,Before,RepTerriSewell,"Watch @HouseDemocrats, @SenateDems and #CivilRights experts Discussion on Voting Rights https://t.co/INEPaDzJZk via @YouTube",CivilRights,-0.392
9/21/16,17:42:37,D,Before,RepTerriSewell,Selma Interpretive Center and Riverfront Projects Make Progress  https://t.co/jEFXNZAgKE #selma,selma,-0.392
9/21/16,14:43:24,D,Before,RepTerriSewell,"Joining @SenateDems, @HouseDemocrats and #CivilRights experts to discuss #VotingRights. Too much is at stake. We must #RestoreTheVote! https://t.co/kISc8v8OvW",CivilRights VotingRights RestoreTheVote,-0.392
7/15/16,21:48:57,D,Before,RepTerriSewell,"So glad to meet the Waller-Abrahams family from #Bham, #Alabama for their 39th family reunion! Enjoy #DC! https://t.co/xLFQxaZc0b",Bham Alabama DC,-0.392
7/15/16,14:59:38,D,Before,RepTerriSewell,My prayers &amp; condolences to the victims and their family and friends of the horrific #NiceAttack https://t.co/ji6yBYLd9Q,NiceAttack,-0.392
7/15/16,0:28:46,D,Before,RepTerriSewell,@GOP went home. We're still here. #EnoughIsEnough #DoYourJob #DisarmHate #LightingTheWay https://t.co/8UmYYHc8Bv,EnoughIsEnough DoYourJob DisarmHate LightingTheWay,-0.392
7/15/16,0:11:36,D,Before,RepTerriSewell,"""It's easier to get a gun than a voting card. This is immoral."" #DisarmHate #LightingTheWay #RestoreTheVote https://t.co/eMThrHfwPP",DisarmHate LightingTheWay RestoreTheVote,-0.392
7/15/16,0:07:19,D,Before,RepTerriSewell,"""Too many of our young people are dying. This is NOT acceptable."" #DisarmHate #LightingTheWay https://t.co/eVkK7dW3dx",DisarmHate LightingTheWay,-0.392
7/5/16,20:46:02,D,Before,RepTerriSewell,We cannot stand down when standing up for our rights is so important. Congress must #RestoreTheVote https://t.co/woRFJUOmus,RestoreTheVote,-0.392
7/5/16,19:55:09,D,Before,RepTerriSewell,Rest in Peace to a piece of history! Roscoe C. Brown Jr. was  a Tuskegee Airman in WWII. May his legacy live on! https://t.co/kG3GT8Dq5t,,-0.392
7/5/16,1:09:00,D,Before,RepTerriSewell,#4thOfJuly : celebrate 24th anniv of USS George Washington @USNavy @aircraftcarrier https://t.co/QEAEQ2jV6w,4thOfJuly,-0.392
7/5/16,0:48:01,D,Before,RepTerriSewell,Voting shouldn't be this hard!#registertovote  https://t.co/DCYIVg0Cow via @youtube,registertovote,-0.392
6/10/16,20:24:53,D,Before,RepTerriSewell,So great to spend time with our amazing interns in the DC office!! #FutureLeaders #Alabama https://t.co/euE2NopTIi,FutureLeaders Alabama,-0.392
6/10/16,17:45:23,D,Before,RepTerriSewell,It was such an honor to meet with the youth group from First Baptist Church of Ensley from B'ham #Alabama! https://t.co/24bxSfWd3A,Alabama,-0.392
2/23/16,19:20:44,D,Before,RepTerriSewell,It is wrong – deadly wrong – to deny any of your fellow Americans the right to vote in this country – LBJ #RestoreTheVOTE,RestoreTheVOTE,-0.392
2/23/16,19:06:20,D,Before,RepTerriSewell,It is the duty of Congress to ensure that all citizens have equal opportunity to vote! #RestoreTheVOTE,RestoreTheVOTE,-0.392
2/23/16,17:08:19,D,Before,RepTerriSewell,"Over 50 years ago, hundreds of Foot Soldiers made the historic march to ensure the right to vote. We must #RestoreTheVOTE",RestoreTheVOTE,-0.392
11/30/15,18:23:05,D,Before,RepTerriSewell,Service is the rent we pay for the privilege of living on this earth. #Chisholm,Chisholm,-0.392
9/29/15,15:36:33,D,Before,RepTerriSewell,.@CFPB has freed consumers from costly abusive practices in the financial services system. http://t.co/N7lX8FRI2O #CFPBWorks,CFPBWorks,-0.392
9/29/15,15:25:38,D,Before,RepTerriSewell,.@CFPB is the only fed agency charged with protecting the financial interests of American consumers. http://t.co/3kAYmBsoqO #CFPBWorks,CFPBWorks,-0.392
9/29/15,14:50:05,D,Before,RepTerriSewell,"Rep. Louis Stokes, Amelia Boynton and Julian Bond reminded us that we must never relinquish the work they started. https://t.co/0YnSkfbg4u",,-0.392
7/14/15,20:53:40,D,Before,RepTerriSewell,Met with Alabama delegates from @CUFI to discuss the importance of maintaining a strong friendship with Israel. http://t.co/uMl9bzW1M6,,-0.392
7/14/15,20:17:09,D,Before,RepTerriSewell,Share with your friends! Follow me at @RepTerriSewell on Twitter to learn more about my legislative agenda! http://t.co/qb5vy6ek0U,,-0.392
7/14/15,18:49:10,D,Before,RepTerriSewell,"On this day in 1968, Alabama native and Atlanta Braves slugger Henry “Hank” Aaron hit his 500th home run. http://t.co/jcgA2aZP8x",,-0.392
7/14/15,17:40:03,D,Before,RepTerriSewell,For 50 years the Older Americans Act has provided critical support for our seniors. Here’s to many more! #OAA50 http://t.co/nCNxNogBeU,OAA50,-0.392
7/14/15,14:06:04,D,Before,RepTerriSewell,"When women lead, America succeeds! @HouseDemocrats welcomed @HillaryClinton to Capitol Hill today. http://t.co/ffaKjwigsN",,-0.392
6/15/15,21:00:29,D,Before,RepTerriSewell,We're looking for fall interns in the D.C. and district offices. Please apply online. https://t.co/eEnCDn044o,,-0.392
6/9/15,18:35:58,D,Before,RepTerriSewell,It was great to join the distinguished young women of Alabama Girls State! @alabamaAGS http://t.co/jCMcK1ALfI,,-0.392
6/9/15,12:51:53,D,Before,RepTerriSewell,It was great to address the crowd during the 2015 National Education Association Organizing Institute on Sunday! http://t.co/7oGCIReWyN,,-0.392
6/9/15,12:50:31,D,Before,RepTerriSewell,Pleased to join with my hometown of Selma in honoring civil rights icon the Rev. Frederick D. Reese on Sunday! http://t.co/1KazZKyzWT,,-0.392
