"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","14:30:00","RepMikeRogersAL","In #Homeland hearing: ""Stopping the Next Attack: How to Keep Our City Streets from Becoming the Battleground"" https://t.co/CBdDAYBmGp","Homeland"
"2016-07-15 ","15:49:19","RepMikeRogersAL","Happy birthday to @RepChrisStewart too!",
"2016-07-15 ","15:46:36","RepMikeRogersAL","Great to visit with these folks today before their tour of the Capitol!  Left to right are Lona… https://t.co/Q2AIAun110",
"2016-07-15 ","14:46:19","RepMikeRogersAL","Happy birthday to @RosLehtinen &amp; @MacTXPress!",
"2016-07-15 ","14:41:26","RepMikeRogersAL","Our thoughts and prayers are with Nice!  #prayfornice https://t.co/MmDQTx8Ire","prayfornice"
"2016-06-10 ","14:22:57","RepMikeRogersAL","Happy birthday, @RepLynnJenkins!",
"2016-06-10 ","14:14:03","RepMikeRogersAL","Great to meet (L to R):  Jianwu Xiao, Ziang Xiao and Hong Zhai of Auburn before their U.S.… https://t.co/xeEzxpcDkJ",
"2016-02-23 ","20:55:58","RepMikeRogersAL","See what's on the House Floor this week...https://t.co/mX7KKD8V5f",
"2016-02-23 ","19:12:01","RepMikeRogersAL","ICYMI: My statement on Obama's plan to close Gitmo...https://t.co/DC7JwxKbKw",
"2016-02-23 ","14:33:28","RepMikeRogersAL","Happy birthday, @RepKenMarchant!",
"2015-11-30 ","23:50:25","RepMikeRogersAL","Thanks to everyone who participated in the live Tele-town Hall meeting tonight!  #AL03 https://t.co/XTo3BjC3Ot","AL03"
"2015-11-30 ","22:25:43","RepMikeRogersAL","Getting ready to host a live Tele-town Hall meeting to hear what's on the minds of the folks in East Alabama. #AL03","AL03"
"2015-11-30 ","18:48:10","RepMikeRogersAL","ICYMI: The press release on my letter to DHS Secretary Johnson on not allowing Syrian Refugees in the U.S...https://t.co/eM0Wf0qhYN",
"2015-11-30 ","18:43:28","RepMikeRogersAL","Pictured with Toni Holt, owner of Toomer's Coffee in Valley.  Enjoyed my visit and lunch there last… https://t.co/PF8njSMCql",
"2015-11-30 ","16:06:09","RepMikeRogersAL","ICYMI: A Look Ahead for the Strategic Forces Subcommittee...https://t.co/qpNE9saDOS",
"2015-11-30 ","15:56:37","RepMikeRogersAL","Happy birthday @RepKristiNoem!",
"2015-11-30 ","14:56:45","RepMikeRogersAL","Check out the House Floor schedule for this week here: https://t.co/Kz2ZqEqEPA",
