"","Date","Time","screen_name","text","hashtags"
"1","10/22/14",22:59:07,"SenatorBegich","Monday, I toured Providence Hospital to see how they go above &amp; beyond to prepare for any kind of outbreak like Ebola http://t.co/JKnkbuXe9t",NA
"2","4/1/14",02:36:56,"SenatorBegich","@AKStateSociety thank you!",NA
"3","4/19/13",16:21:13,"SenatorBegich","My thoughts continue to be with Boston during this tough week. #IStandWithBoston #Boston","IStandWithBoston Boston"
"4","12/12/12",23:29:05,"SenatorBegich","My Coast Guard bill just passed the US Senate by unanimous consent and is on its way to the President's desk @uscoastguard",NA
"5","12/12/12",19:33:27,"SenatorBegich","RT @pgranitz: @senatorlugar advocates #LNG exports in farewell speech","LNG"
"6","12/12/12",19:13:41,"SenatorBegich","North Korea launch yesterday highlights how critical #Alaska #missile defense system is to keeping our nation safe from ballistic missiles.","Alaska missile"
"7","8/3/12",21:50:09,"SenatorBegich","#Tanana Valley State Fair starts today.Word is that ""Age of Asparagus"" is this year's theme, and there's an extra day!","Tanana"
"8","8/3/12",18:36:33,"SenatorBegich","Good luck to U.S. Olympic shooter and Alaskan, Corey Cogdell, of Eagle River who competes in the trapshooting competition tomorrow in London",NA
"9","8/3/12",00:45:03,"SenatorBegich","Wrapped up in the Senate til Sept.Headed to #AK for all of August now to see my family &amp; gear up for a month of meetings hearing your ideas.","AK"
"10","5/18/12",20:54:04,"SenatorBegich","The Begich Minute on the @GotYour6 campaign-meaning ""I've got your back"" in military speak.To our vets:We got your 6 http://t.co/ane8y9kJ",NA
"11","5/18/12",19:05:22,"SenatorBegich","Chef Al, chef Patrick Hoogerhyde and chef James Dare were there to welcome it and open the season...then cook it http://t.co/VcqpG9BP",NA
"12","5/18/12",18:55:11,"SenatorBegich","First Copper River salmon has arrived!Thx to my staff for sending these shots.Good catch for opening of Bridge Seafood  http://t.co/nTY6Vh2K",NA
"13","3/31/12",22:18:53,"SenatorBegich","Buying tickets for the gun raffle at the Sportsmen's Show in Anchorage. http://t.co/mcfm54AE",NA
"14","1/16/11",02:05:59,"SenatorBegich","Had a great time Friday night in #Anchorage at the VFW #9978 fundraiser. http://tinyurl.com/4q9f4br #Alaska #AK","Anchorage Alaska AK"
"15","1/14/11",22:36:07,"SenatorBegich","Story of the Day: A Talkeetna tradition continues to help local causes: http://bit.ly/efYAM6",NA
"16","1/14/11",19:05:56,"SenatorBegich","Watch my latest interview on Alaska’s View From the Hill: http://bit.ly/eUDLSG #Alaska #AK","Alaska AK"
"17","1/13/11",20:40:59,"SenatorBegich","Met with Israeli Ambassador Dr. Michael Oren today: http://flic.kr/p/99VWMr #Alaska","Alaska"
"18","1/13/11",18:07:32,"SenatorBegich","Story of the Day:  The generosity and unity of Alaskans never fails to impress… http://bit.ly/fkFppB #Alaska #AK","Alaska AK"
"19","1/12/11",22:12:02,"SenatorBegich","The Cordova Times picked up my statement on the Deepwater Horizon Report: http://bit.ly/etuFLA #Alaska #AK","Alaska AK"
"20","1/12/11",19:30:42,"SenatorBegich","Joining Alaskans in remembering Rep. Howard Pollock. He was a key political figure in early Alaska: http://bit.ly/f3uWLP #AK #Alaska","AK Alaska"
"21","1/12/11",03:37:50,"SenatorBegich","I just finished another great tele-town hall where I got to speak to thousands of Alaskans. Thanks, #Alaska: http://on.fb.me/dFtQDi #AK","Alaska AK"
"22","1/11/11",23:02:22,"SenatorBegich","Welcome to Twitter, @begichmiddle #Alaska #AK","Alaska AK"
"23","1/11/11",23:00:50,"SenatorBegich","I met yesterday with Fran Ulmer about the Oil Spill Commission report. She provided a necessary #Alaska voice in the discussions. #AK","Alaska AK"
"24","1/11/11",19:06:34,"SenatorBegich","Sign up for my telephone town hall taking place at 5 p.m. (#Alaska). Sign up by 3 p.m. to get a call. Use this link: http://bit.ly/edMZqd","Alaska"
"25","1/11/11",17:54:06,"SenatorBegich","Story of the Day: This year’s mushing season is ready for excitement http://bit.ly/f4FSkO",NA
"26","1/10/11",17:38:20,"SenatorBegich","As our nation today observed a moment of silence,  Deborah and I continue to pray for all the victims of Saturday’s tragedy in Arizona.",NA
"27","1/8/11",19:29:35,"SenatorBegich","My thoughts and prayers are with Rep. Giffords and all of the victims in Arizona. A tragedy for our entire country.",NA
"28","1/7/11",18:49:10,"SenatorBegich","Alaska’s future should be decided by Alaskans, not outside interests and advocates: http://bit.ly/gVt375 #Alaska #AK","Alaska AK"
"29","1/7/11",16:22:51,"SenatorBegich","Story of the Day: A farewell piece to Alaska’s longest practicing doctor: http://bit.ly/elBM3A #Alaska #AK","Alaska AK"
"30","1/6/11",20:31:26,"SenatorBegich","Story of the Day: Chevak freshman educates classmates about dangers of alcohol http://bit.ly/ehYHzi #Alaska #AK","Alaska AK"
"31","1/6/11",19:16:11,"SenatorBegich","It was great to help recruit  doctors by participating in a video promoting #Alaska: http://youtu.be/zgRtlRwkqaU #AK","Alaska AK"
"32","1/6/11",16:58:34,"SenatorBegich","The most humbling part of my job is helping Alaskans. Thanks, James: http://bit.ly/gQWD2e #Alaska #AK","Alaska AK"
"33","9/21/16",22:22:01,"BarbaraBoxer",".@realDonaldTrump calling for expansion of stop &amp; frisk in black communities is your outreach to African Americans? https://t.co/iJcdDgMfQ4",NA
"34","7/15/16",19:45:38,"BarbaraBoxer","VP pick is the most important decision a candidate makes. Trump picked someone with a right-wing record on steroids. https://t.co/MeZqsm0BGz",NA
"35","7/5/16",21:18:38,"BarbaraBoxer","Why doesn’t @ChuckGrassley stop wasting time with political attacks on Hillary and call a hearing on Judge Garland. #DoYourJob","DoYourJob"
"36","10/29/15",18:23:16,"BarbaraBoxer","The press was right about Nixon. https://t.co/ez7V17biZI",NA
"37","10/29/15",02:09:26,"BarbaraBoxer","Hearing a lot of GOP lip service tonight about income inequality but every one of their policies is a big wet kiss for the rich. #GOPDebate","GOPDebate"
"38","10/29/15",02:03:05,"BarbaraBoxer","Suddenly they all care about wages. How about raising the minimum wage? #GOPDebate #RaiseTheWage","GOPDebate RaiseTheWage"
"39","10/29/15",01:57:47,"BarbaraBoxer","Cruz, Rubio and the Republicans are all attacking the press the way Nixon used to. #GOPDebate","GOPDebate"
"40","10/29/15",01:48:57,"BarbaraBoxer","Fiorina is running on her terrible record and is now attacking one of California's great companies that she brought to its knees. #GOPDebate","GOPDebate"
"41","5/21/14",20:22:40,"BarbaraBoxer","Let’s #soundthealarm on #climatechange! Join @SheldonforRI and me at 5 p.m. to sound the alarm on climate change. http://t.co/OxPdvTjqOk","soundthealarm climatechange"
"42","5/21/14",00:37:04,"BarbaraBoxer","Let’s #soundthealarm on #climatechange -- join me &amp; @SheldonforRI for the rally at 5 p.m. tomorrow, online or in DC: http://t.co/OxPdvTjqOk","soundthealarm climatechange"
"43","8/3/12",22:12:37,"BarbaraBoxer","George Romney, after releasing 12 yrs of tax returns: “One year could be a fluke, perhaps done for show.” #FatherKnowsBest","FatherKnowsBest"
"44","8/3/12",21:03:37,"BarbaraBoxer","Romney’s father released 12 years of returns. @MittRomney should do the same. #FatherKnowsBest","FatherKnowsBest"
"45","8/3/12",20:22:36,"BarbaraBoxer","Did @MittRomney pay his fair share for our military, our veterans, our roads &amp; bridges? There’s only one way to know. #taxreturns","taxreturns"
"46","8/3/12",19:35:36,"BarbaraBoxer","The American people need to know how many millions of dollars @MittRomney shipped overseas – along with American jobs. https://t.co/32HrAhSu",NA
"47","7/15/16",19:52:09,"SenBennetCO","Intro'd bill w/ @SenOrrinHatch to strengthen &amp; expand CTE dual &amp; concurrent enrollment opportunities for HS students https://t.co/oicYG5Rf9f",NA
"48","11/25/15",18:55:51,"SenBennetCO","Yesterday Minoru Yasui’s family posthumously received a well-deserved Presidential Medal of Freedom. His story here https://t.co/hiFrAaTRcw",NA
"49","10/29/15",19:40:35,"SenBennetCO","Students who rely on free and reduced meal programs often go hungry during the summer. We can help address this. https://t.co/Wz27OT1ACG",NA
"50","9/29/15",21:30:42,"SenBennetCO","While #MarsWater is cool, the fact that the imaging technology to find it was developed in Boulder makes it cooler! http://t.co/KXpNltZ6Zm","MarsWater"
"51","7/14/15",20:35:06,"SenBennetCO","Congrats to all involved with the #PlutoFlyby. It's a great day for Colorado as we continue to excel in aerospace http://t.co/o3wNe5TRfE","PlutoFlyby"
"52","7/14/15",18:45:32,"SenBennetCO","Proud to say Ralph, the imaging tool that provided this amazing picture, was built by a Boulder company https://t.co/xuAwyaMait",NA
"53","7/14/15",17:11:04,"SenBennetCO","Congress has an important responsibility as it reviews the Iran deal. Read the full statement here: http://t.co/EGmdWf3JRE",NA
"54","6/5/13",21:49:08,"SenBennetCO","Really enjoyed it! MT @galvanize: Last wk we hosted @SenBennetCO for a convo about #Conservation and #innovation http://t.co/p4lLFbB9LM","Conservation innovation"
"55","6/5/13",16:38:21,"SenBennetCO","A smoother transition from one generation of forest experts to the next allows the @usfs to protect CO from fires: http://t.co/zw4j4wNcv6",NA
"56","4/19/13",02:10:19,"SenBennetCO","Enjoyed it! MT @ergeekgoddess1: Thanks to @SenatorMenendez @NALEO @MarchForInnov @NCLR @SenBennetCO and YOU for joining us! #latism","latism"
"57","4/19/13",02:00:51,"SenBennetCO",".@LatinMami As a former school superintendent, I couldn't agree more. DREAMers should no longer have their potential stifled. #latism","latism"
"58","4/19/13",01:50:17,"SenBennetCO","Glad to see so much involvement in #CIR. Bill can only get better if people stay engaged http://t.co/JbUrXp3k9C #latism","CIR latism"
