Name,State,Republican_Democrat,House_Senate,Years_in_office ,Joined_Twitter,Twitter_ID,,Tweets
Jo Bonner,Alabama,R,H,2003-2013,NA,NA,,
Terry Everett,Alabama,R,H,1993-2009,NA,NA,,
Mike D Rogers,Alabama,R,H,2003-Present,9-Apr,@RepMikeRogersAL,,3823
Robert Aderholt,Alabama,R,H,1997-Present,9-Sep,@Robert_Aderholt,,
Bud Cramer,Alabama,D,H,1991-2009,NA,NA,,
Spencer Bachus,Alabama,R,H,2007-2013,9-Sep,@BachusAL06,,
Artur Davis,Alabama,D,H,2003-2011,9-Jan,@ArturDavis,,
Bobby Bright,Alabama,D,H,2009-2011,NA,NA,,
Parker Griffith,Alabama,R,H,2009-2011,10-Jan,@Rep_P_Griffith,,
Martha Roby,Alabama,R,H,2001-present,10-Dec,@RepMarthaRoby,,7790
Mo Brooks,Alabama,R,H,2011- present,11-Jan,@RepMoBrooks,,
Terri Sewell,Alabama,D,H,2011- present,11-Sep,@RepTerriSewell,,4576
Bradley Byren,Alabama,R,H,2013-Present,13-Dec,@RepByrne,,12.3K
Gary Palmer,Alabama,R,H,2015-Present,14-Nov,@USRepGaryPalmer,,
Don Young,Alaska,R,H,1973-Present,9-May,@repdonyoung,,
Rick Renzi,Arizona,R,H,2003-2009,NA,NA,,
Trent Franks,Arizona,R,H,2013-2017,NA,NA,,
John Shadegg,Arizona,R,H,2003-2011,9-Sep,@RepJohnShadegg,,
Ed Pastor,Arizona,D,H,1991-2015,NA,NA,,
Harry Mitchell,Arizona,D,H,2007-2011,NA,NA,,
Jeff Flake,Arizona,R,H,2001-2013,ALREADY IN SENATE ,,,
Raul M. Grijalva,Arizona,D,H,2003-Present,9-Apr,@RepRaulGrijalva,,3892
Gabrielle Giffords,Arizona,D,H,2001-2012,9-Jun,@GabbyGiffords,,
Ann Kirkpatrick,Arizona,D,H,2005-2017,11-Mar,@Ann_Kirkpatrick,,
Paul Gosar,Arizona,R,H,2013-Present,11-Jan,@RepGosar,,8700
Ben Quayle,Arizona,R,H,2011-2013,,Not sure about the account,,
David Schweikert,Arizona,R,H,2011- present,10-Dec,@RepDavid,,3403
Ron Barber,Arizona,D,H,2012-2015,NA,NA,,
Krysten Sinema,Arizona,D ,H,2013-Present,13-Jan,@RepSinema,,10.9k
Martha McSally,Arizona,R,H,2015-Present,15-Jan,@RepMcSally,,
Matt Salmon,Arizona,R,H,2013-2017,11-Apr,@salmoncongress,,
Ruben Gallego,Arizona,D,H,2011- present,11-Apr,@RepRubenGallego,,
Marion Berry,Arkansas,D,H,1997-2011,NA,NA,,
