"","Date","Time","screen_name","text","hashtags"
"1","10/25/14",03:39:13,"SenatorBegich","One of the best videos you'll see all day -- from #AFN http://t.co/zaTL3aJz7L","AFN"
"2","4/3/14",22:59:44,"SenatorBegich","Senate passed 4 fishing treaties today after my floor speech-including one to curb pirate fishing #gettingthingsdone https://t.co/hXqmeWHg8H","gettingthingsdone"
"3","9/16/13",17:27:51,"SenatorBegich","Thx to brave first responders@the #NavyYardShooting who stood in harms way to keep others safe.The victims&amp;their families are in my thoughts","NavyYardShooting"
"4","7/26/13",14:34:50,"SenatorBegich","#11 How Alaskans get through Fri. RT:@buzzfeed 27 Crazy Things That Can Only Happen In Alaska http://t.co/heCvFiYtPQ  http://t.co/S8A68s4zpA",NA
"5","4/22/13",17:25:51,"SenatorBegich","Great nonprofit stories in the making this morning @the '13 Foraker Leadership #AKSummit. Hope to hear the stories after the conference.","AKSummit"
"6","3/14/13",21:01:54,"SenatorBegich","Congrats to @RepDonYoung for 40 years of dedicated service to the greatest state in the country",NA
"7","3/14/13",20:05:12,"SenatorBegich","I'm putting seafood bandits out of business.Listen to my interview w/#KMXT #Kodiak on my #seafood fraud&amp;J1 visa bills http://t.co/L7bejA8To0","KMXT Kodiak seafood"
"8","8/6/12",23:29:04,"SenatorBegich","Securing Alaska's #Alaska energy future is the topic at our roundtable w/ #Alaska #energy companies and@ASD_SharonBurke http://t.co/jWe98vnB","Alaska Alaska energy"
"9","8/6/12",19:32:11,"SenatorBegich","Looking forward to it, too! RT @vtaylo: Looking forward to @SenatorBegich coming on @AKNewsAndViews THIS WEDNESDAY! Tune in live at 5pm!",NA
"10","8/6/12",17:43:34,"SenatorBegich","Talking energy innovation w/@ASD_SharonBurke &amp; Chancellor Rogers in the energy labs @UAFairbanks http://t.co/xOjXx3K3",NA
"11","7/21/12",00:29:05,"SenatorBegich","Touring @BloodBankofAK and learning about their exciting expansion plans http://t.co/eiTX0vN9",NA
"12","7/20/12",17:12:06,"SenatorBegich","My deepest sympathies and thoughts are with the victims,their families,&amp; the entire community impacted by this horrific tragedy in Colorado",NA
"13","7/20/12",04:15:23,"SenatorBegich","I hear @Pitbull is headed to #Kodiak,but what’s this talk of being ""exiled""? Confident the residents of #Kodiak will show him a great time","Kodiak Kodiak"
"14","5/21/12",17:44:24,"SenatorBegich","My staff in Ketchikan joined to break the the World Record for #of people at an event in rubber boots.Fell 359 short http://t.co/86PgEBWv","of"
"15","4/3/12",18:01:26,"SenatorBegich","My thoughts and prayers are with the Koenig family and all of Anchorage mourning the loss of Samantha.",NA
"16","2/21/12",23:13:47,"SenatorBegich","There's only one word for a moose wandering indoors... ""Alaska"" | Photo: http://t.co/OU4Th2E5",NA
"17","2/21/12",20:55:35,"SenatorBegich","Good news - Alaska gets first Native American Enterprise Development Center through Commerce Dept program Photo: http://t.co/MWpvcwOH",NA
"18","2/21/12",18:29:12,"SenatorBegich","Find details on how you'll soon be able to keep your shoes on while flying @AlaskaAir from Anchorage: http://t.co/Toh6ShUK",NA
"19","10/13/11",23:35:06,"SenatorBegich","Weekend: Check out the Alaska Native Film Festival in Anchorage on Sunday from 1 – 6 p.m. http://t.co/BqDOkn4G",NA
"20","10/13/11",21:24:29,"SenatorBegich","Barrow’s Debby Dahl Edwardson is up for a National Book Award. We’ve all got our fingers crossed: http://t.co/0OjWhBun",NA
"21","10/13/11",20:05:38,"SenatorBegich","A day after passing the South Korea Free Trade agreement we’re having a Joint Session of Congress to hear from their President.",NA
"22","10/13/11",18:47:36,"SenatorBegich","Alaskans, @Target is going sustainable with their seafood. This = More Alaska fish in stores across the country: http://t.co/pXa3lwxo",NA
"23","10/13/11",18:07:07,"SenatorBegich","Jim Pickett is Alaska’s Firefighter of the Year. In his own time he installed 900 smoke detectors around town in Kodiak http://t.co/Mkzmkd4x",NA
"24","10/12/11",23:35:10,"SenatorBegich","Kudos to the 19,000 Alaskans who chose to Pick.Click.Give. this year. It’s inspiring to see Alaskans helping each other.",NA
"25","10/12/11",22:16:11,"SenatorBegich","The Fire Island wind project has a green light. I’m proud to have played a role in the project in Anchorage and DC: http://t.co/q2UkOyPv",NA
"26","10/12/11",20:22:53,"SenatorBegich","Rep. Issa is calling Alaska bypass mail “cronyism”:  http://t.co/Krp2IaUi I know rural Alaska communities would join me in disagreeing.",NA
"27","10/12/11",19:46:49,"SenatorBegich","We’ve got to build the foundation for Alaska’s role in a 21st Century Arctic. We can’t stall: http://t.co/pp1DFvbT #IceBreakers","IceBreakers"
"28","10/12/11",19:13:22,"SenatorBegich","Thanks to @NationalJournal for hosting #njceo. It was a good way to bring together CEOs and legislators to talk jobs.","njceo"
"29","10/12/11",14:20:24,"SenatorBegich","I'm sitting down with CEOs to talk about how to create jobs and grow the economy. Watch the discussion live: http://t.co/n5v4rLbw #njceo","njceo"
"30","9/7/11",22:39:05,"SenatorBegich","You can ask questions during my live town hall from 5:30 - 6:30 pm (Alaska) with this link: http://t.co/HGAT2kY #AskBegich","AskBegich"
"31","9/7/11",21:08:25,"SenatorBegich","Tonight I’ll be hosting a telephone town hall for Alaskans on job creation & the economy. If you get call at 5:30 #Alaska answer the phone.","Alaska"
"32","9/7/11",20:26:17,"SenatorBegich","My thoughts are with all the workers and families of Kensington Mine as they cope with the tragic death of a coworker.",NA
"33","9/7/11",18:03:23,"SenatorBegich","Juneau’s Anna Gracemann continues to wow us on @nbcagt. Check out her performance from last night: http://t.co/CVcxqGo",NA
"34","9/7/11",16:18:49,"SenatorBegich","RT @DenaliNPS: Cresting Sable Pass, Denali reappears. Jaw drops again. (view full size!) ~IN  http://t.co/9uUdAwa",NA
"35","9/7/11",16:17:54,"SenatorBegich","I was proud to be on hand as the EU & US signed an agreement to combat illegal fishing: http://t.co/YW4DpWc",NA
"36","9/7/11",16:05:23,"SenatorBegich","Happy birthday to one of Alaska’s closest friends and allies @Daniel_Inouye he’s 87 today.",NA
"37","9/6/11",22:28:52,"SenatorBegich","Got ideas for how to cut the budget? Send them to me here: http://t.co/6tmshqY",NA
"38","9/6/11",21:55:07,"SenatorBegich","Let’s all thank @AlaskaStateFair for another great celebration. Happy 75th.",NA
"39","9/6/11",18:31:24,"SenatorBegich","RT @whitehouse: White House Internship Program: Deadline to submit Spring '12 applications is 9/11. Learn more & apply: http://t.co/6CdTaQh",NA
