"Date","Time","screen_name","text","hashtags"
"2015-06-18 ","21:42:20","ArturDavis","For those of you who took issue with our #CharlestonShooting tweet earlier today, here's our response.
https://t.co/NMeViCMJpW","CharlestonShooting"
"2015-06-18 ","16:13:07","ArturDavis","One lesson of #CharlestonShooting: we are quick to see dangers of Islamic jihadists, too slow to see the threat from far-right radicals.","CharlestonShooting"
"2015-06-18 ","14:25:23","ArturDavis","The slaughter in Charleston last night reminds us of the persistence of hate. May God Help us. #CharlestonShooting","CharlestonShooting"
"2015-06-18 ","01:26:01","ArturDavis","Enjoyed last night in County Downs! These folks are ready for a City Hall that works for more than just insiders. http://t.co/zEZY4zonzz",
"2015-06-17 ","19:35:02","ArturDavis","Prattville wins new industries, Pike Road growth is fastest in the state, while MGM keeps shrinking. http://t.co/iXTuU6EAZq",
"2015-06-17 ","12:30:12","ArturDavis","MGM under Todd Strange: no city in Alabama has lost more population in this decade. Interesting that WSFA, Advertiser won't report it.",
"2015-06-11 ","19:56:55","ArturDavis","Lost in the denseness of the mayor’s “major announcement” this morning? We can help. Here’s a translation: http://t.co/tFscZEstnc",
"2016-09-24 ","14:27:22","RepTerriSewell","Great to be w/ my colleagues of the House at NMAAHC for the grand opening today! #NMAAHC https://t.co/IqXb6gDo6L","NMAAHC"
"2016-07-18 ","16:32:04","RepTerriSewell","Let us act in love and hope, not hate and fear. Happy birthday #NelsonMandela. #MandelaDay #DisarmHate https://t.co/iNCWwkGip9","NelsonMandela MandelaDay DisarmHate"
"2016-07-18 ","11:53:35","RepTerriSewell","Submit a graphic to promote voting rights today! #RestoreTheVote! https://t.co/09GdinqOC5","RestoreTheVote"
"2016-07-17 ","17:53:33","RepTerriSewell","Our prayers and condolences  for the families and loved ones of the police officers shot in #BatonRouge. https://t.co/8jDqZoEmLp","BatonRouge"
"2016-07-08 ","17:34:38","RepTerriSewell","This week has seen too much death and heartbreak in #Dallas #Minnesota #BatonRouge. We can and must do better.","Dallas Minnesota BatonRouge"
"2016-07-08 ","17:32:22","RepTerriSewell","On #Dallas #Minnesota #BatonRouge Dr. King said it best: Darkness cannot drive out darkness-only light can do that. https://t.co/nljeK1YIn7","Dallas Minnesota BatonRouge"
"2016-07-08 ","15:53:33","RepTerriSewell","Watch on #Periscope: @officialcbc addressing gun violence in America #gunviolence #politics https://t.co/kLbvVNWE0G","Periscope gunviolence politics"
"2016-07-08 ","15:26:56","RepTerriSewell","Joined #BLM peaceful protest with MOC from Capitol to WH but condemn violence in Dallas. Prayers for all victims! https://t.co/FHO6Dh7GB5","BLM"
"2016-07-08 ","15:12:32","RepTerriSewell","""We need to turn tragedy into triumph through action."" @RepJeffries #DisarmHate https://t.co/t07fhFMqns","DisarmHate"
"2016-07-08 ","15:08:38","RepTerriSewell","Watch the press conference live on periscope ! https://t.co/UaDzQc78xL 
#gunviolence","gunviolence"
"2016-07-08 ","15:04:38","RepTerriSewell","""The scars of racism are still deeply imbedded in our nation's culture""@repjohnlewis https://t.co/pEcFQdS0FU",
"2016-07-08 ","14:32:01","RepTerriSewell","Standing with members of the @OfficialCBC addressing gun violence attacking our community and law enforcement. https://t.co/iezAvB5SvO",
"2016-07-07 ","22:35:37","RepTerriSewell","One of the tragic faces of gun violence in our district. I honored her on the house floor. https://t.co/DTWhLwSChu https://t.co/ScDknsXk2k",
"2016-07-07 ","18:44:40","RepTerriSewell","Too many questions and too few answers. They must not be forgotten. #AltonSterling #PhilandoCastille https://t.co/0hApDbxTdC","AltonSterling PhilandoCastille"
"2016-07-07 ","14:50:25","RepTerriSewell","https://t.co/6lbaWeg4hM",
"2016-07-07 ","14:38:18","RepTerriSewell","Have a question for House Dems? Tweet your question during a @Twitter Town Hall between 3-4pm using #AskDems. #DisarmHate","AskDems DisarmHate"
"2016-07-07 ","14:35:43","RepTerriSewell","Join House Dems from 3-4pm for a @twitter Town Hall on gun violence. #AskDems #DisarmHate https://t.co/Fkrhc49QsJ","AskDems DisarmHate"
"2016-06-13 ","19:37:43","RepTerriSewell","So great to speak with President of @Bobby_Dodd_Inst on the importance of #employment for people with #disabilities https://t.co/f0tqXpNDOv","employment disabilities"
"2016-06-13 ","17:57:33","RepTerriSewell","It was great to be interviewed by @FSRoundtable on the importance of financial literacy! https://t.co/0WB5yZvWLl",
"2016-06-13 ","14:17:17","RepTerriSewell","My deepest prayers go out to the victims of the Orlando mass shooting #PrayForOrlando https://t.co/Xdtt7b5amK","PrayForOrlando"
"2016-02-26 ","11:36:42","RepTerriSewell","FootSolider Gold Medal Ceremony. ICYMI  https://t.co/QGiPQ46E2V https://t.co/hCY1gO5D6B",
"2016-02-26 ","00:00:33","RepTerriSewell","""Thank God for having brought me through many dangers, seen and unseen, to see today"" - Rev. F. D. Reese https://t.co/yqrFbaH9D0",
"2016-02-25 ","23:10:11","RepTerriSewell","Standing with the guest of honor and some of our honorees before the Congressional Gold Medal event. What an honor! https://t.co/Hjwof3jxtR",
"2016-02-25 ","21:44:23","RepTerriSewell","""We were determined to make sure that every person would be accepted in this great country of ours"" Rev. F. D. Reese https://t.co/RNUsI36sJs",
"2015-12-03 ","14:02:20","RepTerriSewell","I fully support the lawsuit filed by the Greater Birmingham Ministries, Alabama NAACP challenging Alabama's photo ID law. #RestoreTheVOTE","RestoreTheVOTE"
"2015-12-03 ","00:10:02","RepTerriSewell","Praying for #SanBernadino. My heart is with those impacted by this tragedy.","SanBernadino"
"2015-12-02 ","22:58:30","RepTerriSewell","The Greater Birmingham Ministries, Alabama NAACP lawsuit highlights the need to repeal AL's restrictive photo ID law https://t.co/U3xEPfGgiu",
"2015-10-02 ","02:33:01","RepTerriSewell","Gee's Bend Quilters received the 2015 NEA Heritage Award. It was an awesome honor to present them with the award! http://t.co/o2Mdj2eFl8",
"2015-10-02 ","02:29:26","RepTerriSewell","I enjoyed visiting with Alabama State Rep. Patricia Todd, Patrick Scarborough, and their @HRC colleagues today. http://t.co/nQ7yPwaYvL",
"2015-10-02 ","02:27:48","RepTerriSewell","I appreciate the tireless work our public educators do on behalf of our children and their families everyday. http://t.co/ueMijCwffg",
"2015-10-01 ","23:11:17","RepTerriSewell","I am deeply disturbed by the #UCCShooting. Sending our prayers is not enough. We need sensible gun safety laws to prevent further violence.","UCCShooting"
"2015-10-01 ","17:11:53","RepTerriSewell","AL counties that are 75% or more Black won't have a driver’s license office, yet voter ID is required #RestoreTheVRA #RestoreTheVOTE","RestoreTheVRA RestoreTheVOTE"
"2015-10-01 ","16:35:53","RepTerriSewell","We must #RestoreTheVOTE | Voter ID, license office closures black-out Black Belt http://t.co/9IG1Uw4rxI via @aldotcom","RestoreTheVOTE"
