"Date","Time","screen_name","text","hashtags"
"2016-07-08 ","14:50:20","RepRaulGrijalva","I’m appalled at the murder of 5 police officers who were protecting a peaceful protest in #Dallas last night. https://t.co/gAxcUiNhZX","Dallas"
"2016-07-07 ","20:39:28","RepRaulGrijalva","#PhilandoCastile #AltonSterling #BlackLivesMatter. Thank you @Beyonce https://t.co/lmo4LQtJ28","PhilandoCastile AltonSterling BlackLivesMatter"
"2016-06-12 ","14:35:05","RepRaulGrijalva","My heart breaks for everyone impacted by the #OrlandoShooting.We must get weapons of war off our streets&amp;out of  hands of ppl intent to kill","OrlandoShooting"
"2016-02-25 ","21:10:11","RepRaulGrijalva","Exciting to see strong #leadership on #climate #ej #conservation from @NHLAgenda &amp; 40+ Latino orgs #LatinoPriorities https://t.co/loGHe15PzX","leadership climate ej conservation LatinoPriorities"
"2015-12-02 ","20:39:44","RepRaulGrijalva","Colorado Springs on Friday. San Bernardino today. My heart breaks for everyone involved. We must end the scourge of gun violence in America.",
"2015-06-18 ","21:27:44","RepRaulGrijalva","Proud to stand with our WWII Merchant Marine Veterans as a cosponsor of HR563. Time is running out-- #PassHR563. http://t.co/iX2gM9tPic","PassHR563"
"2015-06-17 ","21:05:45","RepRaulGrijalva","About to join @edshow with @repmarkpocan to discus why #TPP is a bad deal for workers, our economy &amp; our environment http://t.co/3b98G2Wsqn","TPP"
"2014-10-24 ","20:47:20","RepRaulGrijalva","Important @ThinkProgress piece by @Kira_Lerner on voter suppression effort targeting #NativeAmericans in S. Dakota: http://t.co/JYZ9mSWZt8","NativeAmericans"
"2014-10-24 ","20:27:35","RepRaulGrijalva","Had a great chat w/ @JDBalart on the importance of the #Latino vote. Watch it on @Enfoque on @Telemundo this Sunday: https://t.co/ows2L2qIbb","Latino"
"2014-04-04 ","20:19:22","RepRaulGrijalva","Me, @Michael_Shank on what budget in natl interest looks like. @USProgressives #BetterOffBudget is best plan http://t.co/97228Yt3Jo #p2","BetterOffBudget p2"
"2014-04-04 ","20:17:28","RepRaulGrijalva",".@Bullishism Unless South Dakota starts providing people goods and services for free, I don't see why not. Higher #minimumwage helps all","minimumwage"
"2014-04-04 ","15:01:09","RepRaulGrijalva","#GOP says leave #minimumwage up to states. Click to see which states would have no minimum wage in that case http://t.co/OqfHNkOiB0 #p2","GOP minimumwage p2"
"2014-04-03 ","21:02:01","RepRaulGrijalva","Introduced EAT for Health act yesterday to make sure doctors, nurses get nutrition education as part of CME credit http://t.co/kCLi3htOyV",
"2014-04-03 ","19:09:40","RepRaulGrijalva","Citi being investigated for $400 mln #bank fraud in Mexico. What's #GOP response besides repeal Dodd-Frank? http://t.co/WeLn3Jb4A0 #p2","bank GOP p2"
"2014-04-03 ","16:03:10","RepRaulGrijalva","Big biz's pay low wages, refuse to disclose how much they profit from food stamps employees need http://t.co/5zJpXVx9Jq #p2 #RenewUI","p2 RenewUI"
"2014-04-03 ","14:45:19","RepRaulGrijalva","This Okla lawmaker, other conservatives agree tea party gone too far. Limited govt not same as ctrlg #women http://t.co/jNIsXQa1SU #p2","women p2"
"2014-04-03 ","13:44:22","RepRaulGrijalva","Working 60 hrs/wk, not being paid overtime not the American dream. @USProgressives pushing back on wage theft http://t.co/ypNGIjN95J #p2","p2"
"2013-09-17 ","22:32:01","RepRaulGrijalva","#DHS IG report on use of force redacts recommended policy fixes. Lack of accountability has to end. http://t.co/z3lU3ldnog #Latism #p2","DHS Latism p2"
"2013-09-17 ","19:28:51","RepRaulGrijalva","Great piece from @singeli @AJFaultLines on #DHS use of force, lack of accountability in #border policy http://t.co/xzeK0UEyRO #p2 #Latism","DHS border p2 Latism"
"2013-09-17 ","16:05:34","RepRaulGrijalva","Those with MOST wealth have hardly felt recession, worried about recovery. Tale of two economies. http://t.co/eLG7NhnDXu #p2 #jobs","p2 jobs"
"2013-07-26 ","15:14:10","RepRaulGrijalva","Marco Rubio: #Obama threatening to shut down govt unless we fund #ACA. Sounds a little backwards to me. http://t.co/nMTlpPRLih #p2 #GOP","Obama ACA p2 GOP"
"2013-06-07 ","15:06:43","RepRaulGrijalva","Senator Obama wouldn't have taken Pres. Bush's word and moved on with the #NSA program. I feel the same today. http://t.co/wuAUrEPtey #p2","NSA p2"
"2013-04-22 ","21:32:36","RepRaulGrijalva","I think @ChuckGrassley was wrong to prey on fear, insecurity after #Boston to try to derail #CIR #immigration reform http://t.co/eOF8IXbIM0","Boston CIR immigration"
"2013-04-22 ","14:21:53","RepRaulGrijalva","I'll be on @msnbc today 1130 EST on #immigration. I've said all along this issue is most likely to see mvmt this year. #DREAMAct #p2 #AZ","immigration DREAMAct p2 AZ"
"2013-03-14 ","21:45:09","RepRaulGrijalva","Our @USProgressives #Back2Work budget gets rave reviews. @EzraKlein: ""Best response to @RepPaulRyan #austerity"" http://t.co/deSUXmoUT0 #p2","Back2Work austerity p2"
"2013-03-14 ","15:28:21","RepRaulGrijalva","Good coverage already rolling in on @USProgressives #Back2Work budget. I'm on @edshow on @msnbc 830 EST w/ more http://t.co/EJOBUQw8CU #p2","Back2Work p2"
