"Date","Time","screen_name","text","hashtags"
"2010-08-04 ","00:58:51","BetsyMarkey","A quick reminder that the Larimer County Parade is tomorrow - hope you can come and join us in Loveland! http://fb.me/xpone2kZ",
"2010-08-03 ","16:28:57","BetsyMarkey","Only one week left to get your primary ballots turned in! If you haven't received a ballot by mail you can go to... http://fb.me/CT1iqcyR",
"2016-09-24 ","18:10:19","RepJaredPolis",".@NMAAHC is now open! The museum helps tell America's history &amp; our continued pursuit toward equality. #APeoplesJourney","APeoplesJourney"
"2016-07-08 ","11:00:44","RepJaredPolis","Devastating. Thoughts are with the #Dallas community.","Dallas"
"2016-07-07 ","17:46:56","RepJaredPolis","Still on the floor w/ @HouseDemocrats. How many members have to request a VOTE on a bipartisan bill to address gun violence before we act?",
"2016-07-07 ","17:33:27","RepJaredPolis","On the House floor w/ @HouseDemocrats. It's time to vote on legislation to address the gun violence epidemic.",
"2016-06-12 ","21:15:50","RepJaredPolis","We, as a community, know that love will always prevail over hate. Full statement on #OrlandoShooting https://t.co/KuJxYyqZHN","OrlandoShooting"
"2016-06-12 ","15:27:36","RepJaredPolis","Love, fellowship, and condolences to the victims of the mass shooting in Orlando and their families #lgbt","lgbt"
"2016-06-12 ","15:16:57","RepJaredPolis","Tragic. Today we stand in unity with the entire #Orlando community.","Orlando"
"2016-02-25 ","22:54:16","RepJaredPolis","Great dataset by @InnovateEconomy. Distressed Communities Index, maps economic prosperity &amp; distress in a neat way - https://t.co/9vYzu6ywNW",
"2015-12-03 ","00:19:15","RepJaredPolis","The House just passed the Every Student Succeeds act! #ESSA will give schools flexibility to meet needs of ALL students","ESSA"
"2015-12-02 ","18:38:42","RepJaredPolis","Education is important to me, just as it is for the thousands of families in my district. #ESSA will move our education system forward.","ESSA"
"2015-12-02 ","18:20:04","RepJaredPolis","The Every Student Succeeds Act shows a strong commitment to education technology and innovation. #ESSA #ESEA","ESSA ESEA"
"2015-12-02 ","18:08:36","RepJaredPolis","I’m excited to be standing on the House floor today to speak about the new, ESEA reauthorization, the Every Student Succeeds Act!",
"2015-12-02 ","14:35:19","RepJaredPolis","Speaking now on WaPo's #ingenuity panel about why it's so important for Congress to listen to startups. Watch: https://t.co/Xqu0XdT32z","ingenuity"
"2015-12-02 ","00:21:23","RepJaredPolis","Sharing this again and appropriately tagging @Michael1f1 ! Thanks for your service, courage, Rachel! https://t.co/Lpv0Icd0lD",
"2015-11-01 ","16:35:41","RepJaredPolis","While I'm excited SEC finalized #crowdfunding rules, they could've done MUCH better job honoring our legislative intent 2 allow crowdfunding","crowdfunding"
"2015-10-02 ","16:57:19","RepJaredPolis","It has been an honor working with @arneduncan. My statement on his resignation: http://t.co/I01s9pDx4d",
"2015-07-17 ","20:38:16","RepJaredPolis","Happy 20th Birthday GPS! Powered by #Colorado innovation. Where would I be without you? http://t.co/jWTfG1tPby","Colorado"
"2015-07-16 ","16:46:39","RepJaredPolis","Glad to see @SteveDaines @SenBlumenthal intro student data privacy bill today, similar to @RepLukeMesser &amp; my bill: http://t.co/kAUA9VeZx2",
"2015-07-16 ","16:13:47","RepJaredPolis","Stats show every #LWCF $1 invested in #publiclands generates $4 in economic activity in those communities. Renew #LWCF &amp; #KeepItPublic","LWCF publiclands LWCF KeepItPublic"
"2015-07-16 ","14:38:11","RepJaredPolis","You can follow me on Instagram at: https://t.co/pwKJhVBVwS http://t.co/o4H2ng1xHc",
"2015-06-18 ","19:15:36","RepJaredPolis","Thank you @Pontifex for your unequivocal stand on climate change. Caring for the earth is about values, not science. http://t.co/H126BxNGMc",
"2015-06-12 ","19:41:33","RepJaredPolis","Cora and I enjoyed talking #Bitcoin with @RepGoodlatte at @coincenter event. #chipoffoftheoldblockchain http://t.co/w4HlmH9iJj","Bitcoin chipoffoftheoldblockchain"
"2015-06-11 ","23:58:06","RepJaredPolis","Team Polis rooting for the boss. #GoDems #congressionalbaseballgame http://t.co/zKrbTgWSG7","GoDems congressionalbaseballgame"
"2015-06-11 ","18:25:59","RepJaredPolis","Born ready :-) Excited to play in the annual Congressional Baseball Game tonight! http://t.co/bM2KFdprO1 #GoDems #tbt http://t.co/FGOXhXruCD","GoDems tbt"
"2014-04-03 ","19:33:33","RepJaredPolis","Tomorrow, I'll be talking with @elephantjournal @walkthetalkshow at 1pm MDT. I hope you can join me! For more info: http://t.co/RaNq6CRBSL",
"2014-02-21 ","22:37:15","RepJaredPolis","Welcome @exxonmobil's CEO into 'exclusive' group whose neighborhood has been fracked. http://t.co/9tGCQFliHm http://t.co/KpV2jDc89U",
"2014-02-21 ","18:37:32","RepJaredPolis","Congratulations to #Vail native @MikaelaShiffrin for bringing home the first gold medal in women's slalom since 1972!! #Sochi2014","Vail Sochi2014"
"2014-02-20 ","22:55:47","RepJaredPolis","""I am pleased that @WhiteHouse has instructed the Patent&amp;Trademark Office to take important steps to help start-ups"" http://t.co/BsHT9KHxRJ",
"2013-09-17 ","15:33:29","RepJaredPolis","Latest road closures for #CoFlood http://t.co/ejCdJVxaEb","CoFlood"
"2013-09-16 ","21:50:22","RepJaredPolis","Disaster resources from @HUDnews @HUDgov for those needing assistance from #CoFlood Read http://t.co/t8Mr4YzTDh for more info.","CoFlood"
"2013-09-16 ","19:17:21","RepJaredPolis","If you are experiencing water/sewage problems http://t.co/elkBxXHgsk 
 http://t.co/mOBTFxZSDz
 http://t.co/mOBTFxZSDz #coflood","coflood"
"2013-09-16 ","18:20:48","RepJaredPolis","In need of assistance or have goods/services to offer? Check out this google form on our website: http://t.co/O4wHEppNAU. #coflood","coflood"
"2013-09-16 ","17:32:14","RepJaredPolis","Great map of road closures, shelters &amp; weather information from Google. #CoFlood http://t.co/Ni8HlI2Tyv","CoFlood"
"2013-09-16 ","16:32:59","RepJaredPolis","Visit http://t.co/LmJ17xN9MZ #CoFlood relief information. RT to spread the word. @bouldercounty @LarimerCounty","CoFlood"
