"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","23:15:46","RepJohnLarson","It's my deep honor to celebrate the 25th anniversary of Ukraine's independence here in Hartford tonight https://t.co/vUAd3f1UFG",
"2016-09-23 ","19:24:41","RepJohnLarson","Proud to see CT win $1.5M to address the opioid crisis. I'll keep fighting until everyone can get the help they need https://t.co/XikPj9UPIG",
"2016-07-17 ","20:27:17","RepJohnLarson","My prayers are with the victims and their loved ones in #BatonRouge today","BatonRouge"
"2016-07-08 ","17:12:44","RepJohnLarson","I am heartbroken by the tragedy in Dallas. My full statement below. https://t.co/h0jo22FE45",
"2016-07-07 ","20:21:38","RepJohnLarson","#AskDems might be over but I’m always here to take questions. You can also contact my office https://t.co/9PQOjPzLTv https://t.co/U3SS8xDYwE","AskDems"
"2016-07-07 ","20:07:21","RepJohnLarson","Thanks everyone who joined us for today's #AskDems. We're going to keep fighting hard for real, bipartisan gun reforms #DisarmHate","AskDems DisarmHate"
"2016-07-07 ","19:57:24","RepJohnLarson",".@ChrisMurphyCT In the words of FDR, it'll take the warm courage of national unity to do what is right &amp; pass universal bkgd checks #AskDems","AskDems"
"2016-07-07 ","19:48:46","RepJohnLarson",".@KoskoffTheo No one should fear going to school, church, or out to a club. This is why we're fighting so hard for reforms #AskDems","AskDems"
"2016-07-07 ","19:31:11","RepJohnLarson",".@Coffee_clutches Mental health reform passed w/overwhelming support. It's a good step, but can't replace bipartisan gun reforms #AskDems","AskDems"
"2016-07-07 ","19:30:50","RepJohnLarson",".@SUPGVNetwork Hasn't happened yet. My favorite moment will be when we finally have a vote on commonsense reforms #AskDems","AskDems"
"2016-07-07 ","19:21:23","RepJohnLarson",".@NewtownAction Very important. This is the People's House, and we must act on the People's will. Make sure your voice is heard #AskDems","AskDems"
"2016-07-07 ","19:13:08","RepJohnLarson",".@AnthonySGoode We need @SpeakerRyan to hold a vote. The bills we're fighting for ARE bipartisan. We just need them on the floor #AskDems","AskDems"
"2016-07-07 ","18:45:40","RepJohnLarson","Just 15 min until our Twitter Town Hall. If you have questions on how we can #DisarmHate, tweet them using #AskDems https://t.co/rJlSIl9I0f","DisarmHate AskDems"
"2016-07-07 ","15:51:42","RepJohnLarson","We will not forget the victims of gun violence or loved ones left behind. #NoMoreSilence https://t.co/rtFWjRdJMM","NoMoreSilence"
"2016-07-07 ","13:22:23","RepJohnLarson","Got a question on how we can #DisarmHate? Join me, @WhipHoyer &amp; @repjohnlewis today for a Twitter Town Hall #AskDems https://t.co/7hg5SBekB0","DisarmHate AskDems"
"2016-06-13 ","21:20:42","RepJohnLarson","An act of hate cannot divide us. In CT, the LGBT and Muslim communities stood together in solidarity. Now we must vote to #EndGunViolence","EndGunViolence"
"2016-06-12 ","17:17:10","RepJohnLarson","I am heartbroken for the victims and their loved ones in Orlando. We in Connecticut stand with you",
"2015-12-03 ","21:42:48","RepJohnLarson","Americans are dying from gun violence &amp; the House still hasn't voted on bipartisan reforms. It's time to act: https://t.co/stfZo2KKtD",
"2015-12-02 ","21:31:31","RepJohnLarson","I was proud to join a group from the Timothy Edwards Middle School in South Windsor today. Hope you enjoy the trip! https://t.co/ICMkesigSj",
"2015-10-02 ","12:07:57","RepJohnLarson","Manufacturing gives us everything from lifesaving medical devices to the best jets in the world. Happy #MFGDay15 http://t.co/3ioQ7xhXco","MFGDay15"
"2015-10-01 ","14:04:05","RepJohnLarson","Gov Christie got it wrong on @TheDailyShow, we can shore up #SocialSecurity w/out making ppl work harder for less http://t.co/aTvXKhHg1r","SocialSecurity"
"2015-07-16 ","19:56:55","RepJohnLarson","What an honor to help break ground on new Pratt&amp;Whitney HQ w/ @GovMalloyOffice. Here's to 90 more years of innovation http://t.co/HUG1bdD1Aq",
"2015-07-16 ","15:11:37","RepJohnLarson","Ecstatic the House voted to pass #SteveGleason Act! I was proud to cosponsor. Many thanks to @ALSACT @CMAorg &amp; others who raised awareness","SteveGleason"
"2015-06-18 ","21:59:10","RepJohnLarson","Proud to celebrate 100 years of Hartford's historic Union Station and the opening of the new Transit Center. http://t.co/rQgNwi0xwE",
"2015-06-18 ","17:55:35","RepJohnLarson","I voted against #TPA for the 3rd time today &amp; remain committed to US workers. We need ""Right Track,"" not Fast Track: http://t.co/bmLyyVTRqm","TPA"
"2015-06-17 ","19:21:29","RepJohnLarson","Roads &amp; bridges aren't partisan, they're American. Congress must bring a long term #HighwayTrustFund to a vote for the good of the country.","HighwayTrustFund"
"2015-06-17 ","19:20:48","RepJohnLarson","I spoke today at #waysandmeans about the need for long-term funding to make critical repairs to our infrastructure. http://t.co/Ds0LVEKVP5","waysandmeans"
"2015-06-12 ","20:05:16","RepJohnLarson","We owe it to our workforce to carefully consider all trade agreements. Read my full statement why I voted no on #TPA: http://t.co/xee33e27WS","TPA"
"2015-06-11 ","15:13:17","RepJohnLarson","Thank you, Dr. Billington, for your thoughtful stewardship of @librarycongress these past 27 years. I wish you the very best of luck.",
"2015-06-11 ","13:15:19","RepJohnLarson","We can ensure #SocialSecurity is solvent through the year 2100 w/out cutting benefits or hiking the retirement age: http://t.co/KVtBSntqk1","SocialSecurity"
"2014-10-24 ","20:35:33","RepJohnLarson","Terrible tragedy in Washington – while epidemic of shootings continue, Congress remains complicit in not acting. Americans deserve a vote",
"2014-05-23 ","17:36:46","RepJohnLarson","Honored to join local veterans in East Hartford today. We must continue to fight on behalf of those who have served. http://t.co/fWgidoeG4L",
"2013-09-17 ","19:44:31","RepJohnLarson","Congrats to #Hartford's Martaluz Olang, @BGCA_Clubs Northeast Youth of the Year &amp; best of luck at tomorrow's finals! http://t.co/eHnCssJyK6","Hartford"
"2013-07-27 ","19:41:58","RepJohnLarson","Honored to attend today's Purple Heart Homes Mission Complete Ceremony in #Manchester for Staff Sergeant Sandra Lee http://t.co/yBdHz59bU7","Manchester"
"2013-06-08 ","14:32:33","RepJohnLarson","@RepBillShuster describes his national and #NewEngland #transportation and #infrastructure vision http://t.co/FJEJGW9A9J","NewEngland transportation infrastructure"
"2013-06-08 ","14:18:22","RepJohnLarson","#Transportation and #infrastructure forum with @RepBillShuster @RepJoeCourtney @RepEsty @SenBlumenthal in #Hartford http://t.co/9hyM3ZqxQe","Transportation infrastructure Hartford"
"2013-06-07 ","17:48:48","RepJohnLarson","As your representative in CT and Washington it is essential that you know what I am working on. Find out more here: http://t.co/iiFDdeLoD5",
"2013-06-07 ","16:37:48","RepJohnLarson","Congratulations to JoAnn Price of #Hartford for being honored by the @whitehouse as a @ymca Champion of #Change! #Ychamps","Hartford Change Ychamps"
"2013-04-22 ","13:15:23","RepJohnLarson","Discussing health equity &amp; the importance of ensuring all Americans have access to healthcare w/ @GovMalloyOffice http://t.co/fOHQL5k8kf",
