"Date","Time","screen_name","text","hashtags"
"2016-07-07 ","20:06:30","JohnCarneyDE","Signing off for the moment! Thanks to all who participated in the #Askdems Twitter Town Hall on gun violence. #DisarmHate #netDE","Askdems DisarmHate netDE"
"2016-07-07 ","20:03:44","JohnCarneyDE",".@hatzer54 there are common-sense safety measures we can ALL agree on #AskDems #DisarmHate #netDE (2/2)","AskDems DisarmHate netDE"
"2016-07-07 ","20:02:51","JohnCarneyDE",".@hatzer54 I myself am a gun owner, but after witnessing the gun violence in my state over the years, I believe... #askdems #netDE (1/2)","askdems netDE"
"2016-07-07 ","19:56:27","JohnCarneyDE",".@AdelynAllchin gun violence is undoubtedly a public health issue. 1 way recognzg this will help is allowing resrch on gun violence #AskDems","AskDems"
"2016-07-07 ","19:46:38","JohnCarneyDE",".@jlambers bipartisan leg introduced in both House &amp; Sen provides legal measure to appeal decision &amp; get resolution w/i 14 days #AskDems","AskDems"
"2016-07-07 ","19:40:28","JohnCarneyDE",".@AnthonySGoode #3 We need to get military style wpns off streets. Also believe need to allow rsrch on gun vio &amp; pass No fly no buy #AskDems","AskDems"
"2016-07-07 ","19:38:15","JohnCarneyDE",".@AnthonySGoode #2 we need to close gaping loopholes that allow purchases online and at gun shows. #AskDems (2/3)","AskDems"
"2016-07-07 ","19:37:48","JohnCarneyDE",".@AnthonySGoode There are a lot of ways we can better prevent gun violence #1 we need to strengthn our bkgrnd checks. Period. #askdems (1/3)","askdems"
"2016-07-07 ","19:18:20","JohnCarneyDE","@WilmingtonJayce please feel free to contact my Wilmington office at 691-7333 and speak with my scheduler. Thanks for participating!",
"2016-07-07 ","19:16:13","JohnCarneyDE",".@SUPGVNetwork DE just passd leg to extend background checks- I think this is 1 of the most common-sense reforms that states can do #AskDems","AskDems"
"2016-07-07 ","19:13:25","JohnCarneyDE",".@lovernotah8r from buying firearms. What we rly need now is movement from leadership to bring the bill to flr #DisarmHate #AskDems (3/3)","DisarmHate AskDems"
"2016-07-07 ","19:11:28","JohnCarneyDE",".@lovernotah8r address gun violence. ex: Sen Collins' compromise bill has both Rs and Ds that believe in preventing ppl on No Fly list (2)",
"2016-07-07 ","19:08:49","JohnCarneyDE",".@lovernotah8r -- as a founder of the Bipartisan Working Group I know there are folks on the other side of the aisle who agree we need to(1)",
"2016-07-07 ","19:03:03","JohnCarneyDE",".@twitter Town Hall on #GunViolence happening now til 4pm. Ask questions by tweeting with #AskDems -- we'll be answering live! #netDE","GunViolence AskDems netDE"
"2016-07-07 ","19:02:36","JohnCarneyDE","@Twitter Town Hall on #GunViolence happening now til 4pm. Ask questions by tweeting with #AskDems -- we'll be answering live! #netDE","GunViolence AskDems netDE"
"2016-07-07 ","18:16:36","JohnCarneyDE","Have a Qs on gun violence? Tweet using #AskDems during our @Twitter Town Hall between 3-4PM #DisarmHate https://t.co/LU4Yl206Hf","AskDems DisarmHate"
"2016-07-07 ","15:25:57","JohnCarneyDE","Im joining House Dems today from 3-4 for a @Twitter Town Hall on gun violence. Tweet Qs w/ #AskDems . #DisarmHate https://t.co/VXJeqVkrzf","AskDems DisarmHate"
