"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","14:10:23","repdavidscott","DYK: If #Georgia were a country, it'd be the 7th largest in broiler production. #NationalChickenMonth @USPOULTRY1947 @FarmBureau","Georgia NationalChickenMonth"
"2016-07-08 ","19:59:09","repdavidscott","I met with some constituents today in DC. You can request a @uscapitol tour at https://t.co/GfWfoYCoHp https://t.co/XUuu5bZgFb",
"2016-06-13 ","18:37:45","repdavidscott","Congrats to Chattahoochee Hills for being honored by @American_Trails for the Cochran Mills Park Trail. https://t.co/OCDnNLFwWh @ChattHills1",
"2016-02-26 ","13:56:49","repdavidscott","Treasury and SEC officials have problems w/ DOL rule - Labor Dept ignores them - rams through complex rule https://t.co/d3DJCVc9gQ",
"2015-12-03 ","19:34:00","repdavidscott","I voted for the #FASTAct to get metro Atlanta traffic moving again https://t.co/UPs89wjQTF","FASTAct"
"2015-12-03 ","18:25:57","repdavidscott","Major bi-partisan agreements in the House this week on education and transportation bills. Can we keep working together?",
"2015-12-02 ","15:27:24","repdavidscott","Important hearing on #farmcredit today in House Agriculture Committee @HouseAgNews @farmcredit","farmcredit"
"2015-10-01 ","14:08:39","repdavidscott","@mratlbk ""Warren's Agency"" originally drafted by Warren as a commission and Chairman Frank drafted House bill as a commission",
"2015-07-16 ","16:37:11","repdavidscott","Growth in payments processing employs thousands of people in Metro Atlanta https://t.co/FWiO03DVX3",
"2015-07-16 ","13:05:52","repdavidscott","Amid Celebration, Land Grant Schools Say Money Would Be Great Gift  http://t.co/a0zBLC6KVu via @twitterapi",
"2015-06-18 ","17:57:51","repdavidscott","School garden program sponsored by @UGAExtension deadline today: http://t.co/KS0f7TdVb5",
"2014-10-24 ","12:32:03","repdavidscott","FACT: CEOs make more in an hour than fast food cooks make in a day. Let's #RaiseTheWage &amp; put the #MiddleClassFirst! http://t.co/M9olT9YT56","RaiseTheWage MiddleClassFirst"
"2014-04-04 ","14:45:49","repdavidscott","Payrolls in U.S. Rose 192,000 in March, Unemployment 6.7% http://t.co/VMdpquv2jW via @BloombergNews",
"2014-02-21 ","20:09:57","repdavidscott","Georgians may be questioned in Ole Miss noose case - old Georgia confederate state flag found at the scene  http://t.co/5NyHcPhEUq",
"2014-02-21 ","13:45:48","repdavidscott","@EvanMcSan They keep telling reporters that the GA delegation did not weigh in, or concerns were not heard.  Not accurate by any means.",
"2014-02-21 ","13:44:45","repdavidscott","They knew these issues before they had sit down interviews with the candidate.  So, don't listen to their story now that they had no idea.",
"2014-02-21 ","13:44:04","repdavidscott","All of the issues with Judge Boggs: Confederate flag support, anti-choice, anti-gay, etc were shared with WH before the nomination was final",
"2014-02-21 ","13:41:41","repdavidscott","@EvanMcSan Since August/September of last year they have been hearing complaints. http://t.co/2uFtsHmZc9",
"2014-02-21 ","12:26:17","repdavidscott","After Pressure From Progressives, Democratic Senator Wants Explanation From Obama Judicial Pick http://t.co/4zGfWrnFGL via @evanmcsan",
"2014-02-21 ","02:16:02","repdavidscott","Look at his (Bogg's) history: no on same-sex marriage, no on a woman's right to choose, no on changing the flag-@KarlaDrenner @DailyReport",
"2014-02-21 ","02:00:59","repdavidscott","@KarlaDrenner Look at his (Bogg's) history: no on same-sex marriage, no on a woman's right to choose, no on changing the flag @DailyReport",
"2014-02-21 ","01:54:30","repdavidscott","Supporter literally defends Bogg's judicial nomination saying ""He's a man's man, OK?"" http://t.co/GejUBbIC2D",
"2014-02-21 ","00:34:11","repdavidscott","Critics Question Boggs Bias http://t.co/vTvNPAR17N' via @DailyReport",
"2014-02-20 ","19:40:56","repdavidscott","27 Liberal Groups Press Dems To Reject Obama Judicial Nominee http://t.co/bDUryCnDfX",
"2014-02-20 ","17:23:40","repdavidscott","Liberal groups blast Obama judicial pick | TheHill http://t.co/AVm9w6h9Nq via @TheHill",
"2014-02-20 ","17:19:24","repdavidscott","Liberal groups urge lawmakers to reject Obama judge pick http://t.co/PGKrxP7AeH via @usatoday",
"2014-02-20 ","16:56:14","repdavidscott","Progressives Step Up Campaign Against Obama Judicial Pick http://t.co/jQkFXEhRsR via @evanmcsan",
"2014-02-20 ","16:28:06","repdavidscott","@Alexmel73 yes, Congress should act.",
"2014-02-20 ","16:22:54","repdavidscott","@BlackNewsEditor Yes, will do.  Also, check out this latest development: http://t.co/ZbYZWZpsYu",
"2014-02-20 ","16:21:47","repdavidscott","Super coalition of almost 30 groups urge ‘no’ on Obama judge pick http://t.co/7c4QB5ZkAK via @POLITICO",
"2014-02-20 ","15:56:20","repdavidscott","Douglasville's Meyers takes silver medal in Olympic bobsledding http://t.co/a2ovyV7JCE via @DouglasSentinel",
"2014-02-20 ","15:51:27","repdavidscott","@rolandsmartin: Black Caucus, Civil Rights Leaders Right To Oppose Obama’s Judicial Nominee On Principle http://t.co/Oa9Ha6bZdy via",
"2013-09-17 ","18:48:29","repdavidscott","Georgia delegation to military: “Keep … promise” to provide Atlanta vets a commissary at Dobbins http://t.co/EaoVLq345K via @sharethis",
"2013-03-14 ","15:54:35","repdavidscott","Six Flags White Water seeking 600 for jobs http://t.co/6UC3ALePNa",
"2013-03-13 ","17:38:46","repdavidscott","Hartsfield-Jackson Airport hosts job fair Wednesday http://t.co/wgbBp59aOy via @AtlBizChron",
"2013-03-13 ","15:06:38","repdavidscott","@Nobleredd nice pic",
"2013-03-13 ","14:48:08","repdavidscott","Seeking employers to attend our upcoming jobs fair: http://t.co/VaXpo5YsT6",
"2012-07-20 ","12:59:54","repdavidscott","Douglas County declared primary disaster area by USDA http://t.co/QZcFbif0",
"2012-04-03 ","13:30:47","repdavidscott","Thousands of job seekers flock to airport job fair  | http://t.co/evAQ4jmS http://t.co/P6M35mzO",
"2012-04-02 ","13:34:01","repdavidscott","Small business hiring up, paycheck size down in Atlanta http://t.co/01DaPWVk",
"2011-10-13 ","18:40:01","repdavidscott","National Pan-Hellenic Council hosting #CareerFair in ATL  - Thurs, October 27 from 10:00 AM to 4:00 PM http://t.co/Ge6zSLP3","CareerFair"
"2011-10-13 ","17:30:27","repdavidscott","@jakijjackson House Republicans will not bring it up for a vote.",
"2011-10-13 ","15:55:46","repdavidscott","Compromise reached between Jonesboro and railroad - Clayton - Neighbor Newspapers: http://t.co/kQLtQJfl via @AddThis",
"2011-10-13 ","13:58:16","repdavidscott","Why is the House debating abortion today and not debating a jobs bill?",
"2011-09-07 ","13:15:40","repdavidscott","Scott to Speak at City's 9/11 Memorial - Douglasville, http://t.co/UZlZ6Oi",
