"Date","Time","screen_name","text","hashtags"
"2014-10-25 ","20:26:25","BruceBraley","Jason Stegman, Pres. if @steelworkers Local 164 in Des Moines, Chan Evans &amp; Hailey, Ashlyn, Adriana &amp; Gage join me. http://t.co/f1OcJ75qLZ",
"2014-10-25 ","20:22:57","BruceBraley","Proud to have your support @ufcw Local 230 in Ottumwa. @teambraley http://t.co/tmsOo9bhPA",
"2014-10-25 ","20:18:56","BruceBraley","Tom Cale, @ufcw Local 617 retiree, shows me his great bumper stickers.  @TeamBraley http://t.co/TPnKVc4Mma",
"2014-10-25 ","20:15:03","BruceBraley","Thanks to everyone who joined me Thursday afternoon @UFCW Local 230 in Ottumwa. @TeamBraley http://t.co/ySaAbtDBJk",
"2014-10-25 ","20:09:37","BruceBraley","Stopping by Pinnacle Foods Group in Montrose on Thursday. @UFCW @TeamBraley http://t.co/r2ncDgyeFI",
"2014-10-25 ","20:07:54","BruceBraley","Proud to stand with State Sen. Tom Courtney &amp; Nancy Courtney in Burlington. @TeamBraley @iowademocrats http://t.co/5EF1WUADef",
"2014-10-25 ","20:05:55","BruceBraley","Thanks to everyone who joined me for lunch in Burlington Thurs. @IBEW Local 13. @TeamBraley http://t.co/F2OrU9L3ja",
"2014-10-25 ","20:02:16","BruceBraley","Thanks to everyone who joined us at the Hearns' in Asbury for a great event Wednesday night. @icul @TeamBraley http://t.co/hs6yOQMYPA",
"2014-10-25 ","20:00:21","BruceBraley","Thanks Trisha &amp; Joe Hearn for hosting me in Asbury Wednesday night. @icul @TeamBraley http://t.co/q0lMUsOa7Z",
"2014-10-25 ","19:56:26","BruceBraley","My buddy, Jim Wagner, shows me the pens made by veterans at the Veterans Freedom Center in Dubuque. http://t.co/ml9kOeKa5H",
"2014-10-25 ","19:46:39","BruceBraley","Thanks for great service &amp; a great lunch at Flapjacks Family Restaurant in Maquoketa. @TeamBraley http://t.co/dbwkBfkTEB",
"2014-10-25 ","19:30:36","BruceBraley","With Abby Harris at Flapjacks in Maquoketa. @teambraley http://t.co/z7EwZO098r",
"2014-10-25 ","19:19:15","BruceBraley","Part of our great ground game in Jackson County!  Thanks for all you do. @TeamBraley @iowademocrats http://t.co/NZMvGGDF99",
"2014-10-25 ","19:17:31","BruceBraley","With Jackson County Supervisor Buck Koos at Flapjacks in Maquoketa. @TeamBraley @iowademocrats http://t.co/mL9crTB1GR",
"2014-10-25 ","19:14:36","BruceBraley","Sharing lunch at Flapjacks Family Restaurant in Maquoketa with old friends and new volunteers. @TeamBraley http://t.co/ovNIHjoOpF",
"2014-10-25 ","19:13:01","BruceBraley","Stopping by Thou Art in Anamosa Tuesday &amp; visiting with owner KC Wartman. http://t.co/bEr2fRhJRp",
"2014-05-24 ","17:18:46","BruceBraley","Great to see Story County Sheriff Paul Fitzgerald tonight in Ames. http://t.co/tdELmi6kTX",
"2014-05-24 ","02:08:33","BruceBraley","Part of the large crowd who joined Tom Harkin and me tonight in Ames. @iowademocrats #166Days http://t.co/aSqJdUmywi","166Days"
"2014-05-24 ","02:04:28","BruceBraley","Thank you Aleeza, Mahad, Faaz, Amber, &amp; Khurram Mian for hosting Tom Harkin &amp; me in your Ames home tonight. http://t.co/cj01Gx8dyH",
"2014-05-24 ","02:00:48","BruceBraley","Bird's eye view of Iowa State H.S. Track Meet at Drake Stadium. #famousblueoval http://t.co/wSxXDhBC38","famousblueoval"
"2014-05-24 ","01:57:43","BruceBraley","Iowa State Fairgrounds will be rockin' in August. http://t.co/Y2K85tvfHC",
"2014-05-24 ","01:56:40","BruceBraley","Lake Red Rock on approach to DSM. Pella on the left &amp; Knoxville on the right. Waved to my brother. Didn't wave back. http://t.co/ZYJbTaqJZh",
"2014-05-24 ","01:51:28","BruceBraley","Always love to see the Mississippi River on my way home: ""Now entering Iowa airspace. "" http://t.co/DnSePBLfoJ",
"2014-05-24 ","01:37:35","BruceBraley","Great to meet Arlinda McKeen, President of State Public Policy Group. @iowaafterschool Alliance. http://t.co/ecUfZdae2x",
"2014-05-24 ","01:31:28","BruceBraley","With Dr. Ryan Brady, Radiology resident from Marion. http://t.co/1oYAPyHhhw",
