"Date","Time","screen_name","text","hashtags"
"2016-07-17 ","20:44:36","RepAndreCarson","Prayers &amp; peace for the community of #BatonRouge &amp; for the families of the dedicated police officers so senselessly killed.","BatonRouge"
"2016-07-08 ","16:10:06","RepAndreCarson","My pleasure. We will continue to push until this is addressed.  https://t.co/6VrsjQIbdi",
"2016-07-08 ","16:05:12","RepAndreCarson","Thinking of my grandmother on what would be her 78th bday. Rep. Julia Carson was a true public servant &amp; loved Indy. https://t.co/hzSqR5iefy",
"2016-07-08 ","14:51:59","RepAndreCarson","Happening now: talking to @WIBCRaySteele about this week's terrible tragedies in #Dallas, #Minnesota &amp; #Louisiana https://t.co/DlewBKVjsR","Dallas Minnesota Louisiana"
"2016-07-08 ","04:28:26","RepAndreCarson","Terrible tragedy in Dallas. Please pray for everyone involved. Violence is not the answer.",
"2016-07-07 ","18:36:26","RepAndreCarson","Standing with the Congressional Black Caucus, demanding an end to police shootings. Something must be done. https://t.co/TOApohyJZE",
"2016-07-07 ","18:26:23","RepAndreCarson","Standing w/ my colleagues to bring attention to the need to make sure that everyone is treated equally under the law https://t.co/SHODew6Ka8",
"2016-07-07 ","16:57:32","RepAndreCarson","'As a former law enforcement officer I know officers should protect &amp; serve, not intimidate &amp; assault' STATEMENT -&gt; https://t.co/eunZrnWWPM",
"2016-06-13 ","22:33:42","RepAndreCarson","@emmahudelson @missdramatyk thanks for your tweet!",
"2016-06-13 ","22:07:56","RepAndreCarson","HAPPENING NOW: on @MSNBC talking about the #Orlando tragedy and how we can prevent it from happening again https://t.co/zoYWbA4PTL","Orlando"
"2016-06-13 ","21:42:37","RepAndreCarson","Moment of silence @USCapitol with the @LGBTCSA &amp; Muslim Staff Associations to honor the victims in #Orlando https://t.co/4ep0uFPAdt","Orlando"
"2016-06-13 ","13:43:29","RepAndreCarson","ICYMI: My statement in response to yesterday's tragic mass shooting in #Orlando. 
https://t.co/gtsfaUePyK","Orlando"
"2016-06-12 ","13:49:16","RepAndreCarson","Saddened &amp; angered to hear of the horrific attack in #Orlando. My heart goes out to the victims, their loved one &amp; their entire community.","Orlando"
"2016-02-25 ","21:32:04","RepAndreCarson","Look who came to visit- @butlerblue3 as part of his #bigdawgstour across DC. https://t.co/EHShtlZ6H1","bigdawgstour"
"2016-02-25 ","20:01:15","RepAndreCarson","Humbled and proud to be featured on this list by @NYMag.  https://t.co/CkypIl8Fnv",
"2016-02-25 ","19:33:00","RepAndreCarson","Humbled and proud to be featured in a great article by @NYMag this month. https://t.co/HnnJijag1S",
"2015-12-03 ","15:28:12","RepAndreCarson","Great start to the day as #Indy welcomes 72 new American citizens! https://t.co/za8t7Q4L3H","Indy"
"2015-12-02 ","23:26:26","RepAndreCarson","@zigged @thenik Thank you @zigged, I will reply when I receive it.",
"2015-12-02 ","21:59:24","RepAndreCarson","My thoughts are w/ the #SanBernadino community tonight &amp; my prayers are pleading for action. We need gun violence prevention legislation now","SanBernadino"
"2015-12-02 ","19:00:44","RepAndreCarson","Honored 2 accept the '15 Fueling Growth Award this week 4 my support of ethanol produced in #Indiana. @GrowthEnergy https://t.co/wNB9UoJHtM","Indiana"
"2015-10-02 ","17:10:18","RepAndreCarson","Today is National #Manufacturing Day! Thx 2 all the manufacturing companies that invest in #Indy, create jobs &amp; contribute to our community.","Manufacturing Indy"
"2015-10-02 ","16:46:27","RepAndreCarson","It's #Manufacturing Day, a day to celebrate the manufacturing sector which currently employs over 520,000 Hoosiers. #MFGday15","Manufacturing MFGday15"
"2015-10-01 ","20:23:28","RepAndreCarson","Thoughts &amp; prayers are w/ victims &amp; families of #UCCShooting. It is up to Congress to help stop these senseless tragedies.","UCCShooting"
"2015-07-17 ","20:32:10","RepAndreCarson","@DwayneLGill Thank you sir!",
"2015-07-17 ","20:17:15","RepAndreCarson","Happening now--talking to @CNN about #Chattanooga http://t.co/LUmj4BOPVG","Chattanooga"
"2015-07-17 ","19:23:05","RepAndreCarson","Eid Mubarak!",
"2015-07-17 ","08:33:44","RepAndreCarson","Save the Date: Wednesday August 5th, 6th Annual Central Indiana Job Fair! http://t.co/cH3xRlkiA5",
"2015-07-16 ","21:37:36","RepAndreCarson","My thoughts and prayers are with the fallen Marines, their families, @USMC, &amp; everyone affected by the events in Chattanooga today",
"2015-06-18 ","16:10:13","RepAndreCarson","Wishing all my brothers and sisters a blessed and peaceful #Ramadan.","Ramadan"
"2015-06-18 ","13:51:09","RepAndreCarson","My heart is breaking for the people of Charleston. Today, prayers are needed but action is required. If u know anything please come forward",
"2015-06-17 ","19:46:43","RepAndreCarson","Today my staff in #Indy helped put the finishing touches on Hoosier veteran Vito Sanders' new home #Habitat4humanity http://t.co/fiypRo2CSX","Indy Habitat4humanity"
"2015-06-11 ","15:22:30","RepAndreCarson","My office will be @ the Indianapolis Public Library, Haughville Branch from 4-6 pm today 2 help anyone facing issues with a federal agency.",
"2014-10-24 ","20:46:00","RepAndreCarson","My heart goes out to #Seattle. We must do more to prevent senseless acts of  violence.  #seattleshooting #prayersforSeattle","Seattle seattleshooting prayersforSeattle"
"2014-10-24 ","17:40:58","RepAndreCarson","I disagree w/ the state's law, but am glad 2 see @INBMV branches will b extending their hrs leading up 2 the election http://t.co/o4OCCpQWI9",
"2014-10-24 ","14:51:05","RepAndreCarson","@CherrishPryor Great to be there!",
"2014-05-24 ","19:32:28","RepAndreCarson","Our office recognized La Voz de Indiana for their excellent work in #Indy at their annual Mother's Day… http://t.co/PTUQApCJ18","Indy"
