"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","20:17:43","RepRichmond","""The one thing that this video highlights, to me, is that we need to train our officers better"" #KeithLamontScott https://t.co/4bxQTF8dSY","KeithLamontScott"
"2016-09-23 ","17:46:53","RepRichmond","Gearing up for @MSNBC! Tune in! #AllBlackLivesMatter","AllBlackLivesMatter"
"2016-09-23 ","16:20:59","RepRichmond","The @OfficialCBC won't stand for inaction. We demand justice for every Black life lost. #TerranceCrutcher #KeithLamontScott https://t.co/xGWLZm0HNm","TerranceCrutcher KeithLamontScott"
"2016-09-23 ","15:07:19","RepRichmond","Instead of a hearing to address the crisis in our nation’s streets, @HouseHomeland Republicans continue to rehash debates over radical Islam https://t.co/Jeffi68pXU",
"2016-07-17 ","15:44:37","RepRichmond","My thoughts and prayers are with @BRPD as we try to confirm details.",
"2016-07-17 ","15:42:54","RepRichmond","Horrible news coming out of Baton Rouge this morning.",
"2016-07-08 ","15:14:45","RepRichmond","LIVE on #Periscope: John Lewis https://t.co/yI1CoC5HxI","Periscope"
"2016-07-08 ","14:44:07","RepRichmond","LIVE on #Periscope: CBC Press Conference https://t.co/rPkyT4JZbU","Periscope"
"2016-07-08 ","14:35:21","RepRichmond","Proud to join my @OfficialCBC colleagues to demand action on gun violence https://t.co/lWpfKRViFd",
"2016-07-07 ","18:13:08","RepRichmond","LIVE on #Periscope https://t.co/fV2q3K6KgI","Periscope"
"2016-07-07 ","17:59:04","RepRichmond","Be sure to follow me on Snapchat and Periscope for a live feed of my press conference today! #StopGunViolence https://t.co/5B7ygzneoO","StopGunViolence"
"2016-06-13 ","21:48:51","RepRichmond","For many in Louisiana #medicaidexpansion is a matter of life and death. https://t.co/0z0HrNnXd9 https://t.co/wbin7UpaBc","medicaidexpansion"
"2016-06-13 ","12:28:40","RepRichmond","Shocked &amp; saddened by tragic news coming out of #Orlando We must stand against hatred in all of its forms.","Orlando"
"2015-12-03 ","19:59:49","RepRichmond","The #ESEA is not perfect but it is an important step that will improve life in classrooms for students &amp; teachers. https://t.co/RNDPCtdlkg","ESEA"
"2015-12-02 ","20:48:45","RepRichmond","Hoping for the best for the victims &amp; 1st responders n #SanBernardino We cant accept this type of violence as normal https://t.co/7uTw4DdyLQ","SanBernardino"
"2015-12-02 ","16:29:31","RepRichmond","@Saints Phenomenal role model and thoughtful leader. I can't think of anyone more worthy. #WalterPaytonManoftheYear  https://t.co/d6cUfLwQuF","WalterPaytonManoftheYear"
"2015-12-02 ","15:43:20","RepRichmond","Fielding some questions from @CloseUp_DC students from Ursuline &amp; Brother Martin https://t.co/HyZ1GfBemc",
"2015-10-01 ","21:59:59","RepRichmond","My heartfelt condolences to the victims of the #UCCShooting and their families. This happens far too often. #Senseless","UCCShooting Senseless"
"2015-10-01 ","16:36:24","RepRichmond","In honor of #BreastCancerAwarenessMonth take a loved one to get screened http://t.co/tec56y4LzZ http://t.co/lNh3G4IgHh","BreastCancerAwarenessMonth"
"2015-07-17 ","20:25:20","RepRichmond","Week in Congress: ✈️➡️🇺🇸💭👨‍👩‍👧‍👦✔️😤📰👔➡️✈️🏡 #WorldEmojiDay","WorldEmojiDay"
"2015-07-16 ","17:18:03","RepRichmond","We need to step up &amp; #RestoretheVRA the right to vote is too important to wait any longer. #VRA","RestoretheVRA VRA"
"2015-06-18 ","13:16:33","RepRichmond","Tragic news in #Charleston 9 people worshiping in the House of the Lord brutally taken frm their families #EmanuelAME http://t.co/ta7HrB9jmX","Charleston EmanuelAME"
"2015-06-17 ","21:55:34","RepRichmond","Met w/ 2 groups of extremely bright students frm Louisiana today @NRECANews winners &amp; @collegetrack @CloseUp_DC #LA02 http://t.co/l7J0jaSrVe","LA02"
"2015-06-17 ","16:21:11","RepRichmond","Proud to have @NABJ return to New Orleans for their 2017 Convention An incredible organization doing great work in the industry. #NOLA #LA02","NOLA LA02"
