"Date","Time","screen_name","text","hashtags"
"2016-07-18 ","13:59:53","RepJohnDelaney","Delaney Legislation to Protect Veterans Credit Introduced in Senate #MD6 https://t.co/AnjCqPhkEA","MD6"
"2016-07-17 ","19:13:45","RepJohnDelaney","My statement on #BatonRouge https://t.co/WILSM3Bo2D","BatonRouge"
"2016-07-17 ","19:10:33","RepJohnDelaney","Devastated and outraged by the killing of law enforcement officers in Baton Rouge   https://t.co/IG0ZHZuf5s",
"2016-06-13 ","20:40:00","RepJohnDelaney","The House is in session this week. Here are the bills the Majority plan to bring to the Floor https://t.co/LDAGIVqLA5",
"2016-06-13 ","13:44:10","RepJohnDelaney","@Rizabellepow which I support and am a cosponsor of",
"2016-06-13 ","13:35:18","RepJohnDelaney","Looking for a new job? Over 45 employers will be participating in our #MD6 Job Fair this Thursday. Register here https://t.co/5TMYaTEslE","MD6"
"2016-06-13 ","13:21:19","RepJohnDelaney","Job Fair Thursday in Rockville - Info here https://t.co/5TMYaTEslE",
"2016-06-12 ","17:11:08","RepJohnDelaney","My statement on #Orlando https://t.co/px6isyEOcG","Orlando"
"2016-06-12 ","17:06:45","RepJohnDelaney","and we must take aggressive steps to prevent these senseless acts of violence and terror in the future",
"2016-06-12 ","17:06:17","RepJohnDelaney","As a country we must come together to mourn the victims and support their families while also rooting out the motive &amp; cause of this tragedy",
"2016-06-12 ","17:04:52","RepJohnDelaney","Our hearts and prayers go out to the victims and their families who are suffering so mightily from this apparent act of terror. #Orlando","Orlando"
"2016-02-26 ","19:57:17","RepJohnDelaney","Proud to announce federal funding for Allegany College  https://t.co/RWHsbRb7nZ",
"2016-02-26 ","17:29:13","RepJohnDelaney","Gathering support for an appropriations request to help Fisher House build more facilities for veterans' families https://t.co/hpystGp1r2",
"2016-02-26 ","17:27:32","RepJohnDelaney","Working w/ @RepDebDingell @RepWalterJones &amp; @RepJeffMiller to increase funding for Fisher House. Bipartisan! https://t.co/hpystGp1r2",
"2016-02-26 ","15:20:13","RepJohnDelaney","Proud to cosponsor legislation this week recognizing the importance of our economic ties with Israel",
"2016-02-26 ","15:18:11","RepJohnDelaney","Black History Month event honors county's African-American community, leaders 
 https://t.co/DuzoGPfWrW",
"2016-02-26 ","15:15:35","RepJohnDelaney","Congratulations! https://t.co/DcQl8V9Dk3",
"2016-02-25 ","19:29:52","RepJohnDelaney","We're pounding the pavement and working the phones to build support for #FisherHouse in Congress https://t.co/hpystGp1r2","FisherHouse"
"2016-02-25 ","18:52:51","RepJohnDelaney","Had a wonderful time meeting with FFA students in my office. Happy #FFAweek #FFAproud https://t.co/pPQ9NfFlst","FFAweek FFAproud"
"2016-02-25 ","17:15:19","RepJohnDelaney","Honored to meet with Maryland American Legion leaders yesterday https://t.co/KxG6QAie3f",
"2016-02-25 ","15:28:06","RepJohnDelaney","Delaney Leads Effort to Increase Funding for Fisher House 
 https://t.co/hpystGp1r2",
"2016-02-20 ","17:09:38","RepJohnDelaney","Thank you to everyone who spoke with me during office hours today. Over 50 people in Germantown. Big crowd!",
"2015-12-03 ","22:37:11","RepJohnDelaney","Connect to Congress Interview with @newschannel8  https://t.co/eZifl1WR5T via @YouTube",
"2015-12-03 ","19:05:04","RepJohnDelaney","We should not fool ourselves into thinking that Congress scored a major infrastructure victory today https://t.co/EWDQjbWne4",
"2015-12-03 ","19:04:17","RepJohnDelaney","Delaney: Conference Highway Bill Woefully Deficient, Missed Opportunity for Economic Growth  https://t.co/EWDQjbWne4",
"2015-12-03 ","18:43:23","RepJohnDelaney","30 sign on to Delaney letter calling for more resources to be dedicated to refugee resettlement https://t.co/uvipFsbGPi",
"2015-12-03 ","18:40:29","RepJohnDelaney","Delaney Leads Letter Calling for Increased Funding for Refugee Screening and Resettlement https://t.co/uvipFsbGPi",
"2015-12-02 ","21:48:39","RepJohnDelaney","I’m saddened by yet another mass shooting. My prayers are with the San Bernardino community.",
"2015-12-02 ","18:15:00","RepJohnDelaney","Spoke w/ @NewsChannel8 about our #infrastructure crisis, climate change and the need for a clean govt funding bill https://t.co/qxKuts3t7m","infrastructure"
"2015-11-28 ","03:10:15","RepJohnDelaney","My thoughts and prayers are with all of the victims and their families in Colorado Springs.",
"2015-10-02 ","17:50:34","RepJohnDelaney","@Allenmattison I support that legislation",
"2015-10-02 ","17:49:12","RepJohnDelaney","I'll be holding office hours Sunday in #Frostburg. Info here: http://t.co/xnX38kdZ6h","Frostburg"
"2015-10-02 ","13:20:58","RepJohnDelaney","Thank you to @RepMikeHonda for cosponsoring the Early Learning Act, establishing national pre-k for all",
"2015-10-01 ","20:00:22","RepJohnDelaney","My prayers are with UCC on this heartbreaking day. The horror of gun violence must stop and we must take action to keep people safe.",
"2015-07-17 ","14:26:02","RepJohnDelaney","Fund Infrastructure Using Repatriation, Not Federal Employee Retirement Plans  http://t.co/1uW5Q3Bs7J",
"2015-07-17 ","01:10:43","RepJohnDelaney","Delaney Holds Identity Theft Workshop in Germantown  http://t.co/GrRuFvybo2",
"2015-07-16 ","21:19:13","RepJohnDelaney","Our identity theft workshop &amp; forum starts soon in #Germantown hope you can make it http://t.co/GQebEVGnPM","Germantown"
"2015-07-16 ","20:20:53","RepJohnDelaney","My prayers are with the victims &amp; their families in Chattanooga. Tragic to see servicemembers lose their lives.",
"2015-07-16 ","19:53:10","RepJohnDelaney","ICYMI: New York Times on Delaney’s Leadership Role on #Infrastructure Funding http://t.co/Sh1BzUx4aU","Infrastructure"
"2015-07-16 ","18:13:16","RepJohnDelaney","Delaney Applauds HHS Change Benefiting Allegany County, Rural Maryland  http://t.co/Z0i49BmF8N",
"2015-07-16 ","13:42:13","RepJohnDelaney","Thank you to everyone who attended office hours this morning. Great to speak to you one-on-one",
"2015-06-18 ","20:14:10","RepJohnDelaney","Why I'm Fighting for Fisher House in Congress via @HuffPostBlog http://t.co/u8YclOIR7M via @HuffPostPol",
"2015-06-18 ","16:11:03","RepJohnDelaney","Delaney: Pope’s Encyclical on Climate Change is Moral Case for Action  http://t.co/bG72EwLCEJ",
"2015-06-18 ","14:46:52","RepJohnDelaney","Deeply saddened by the horrific act of violence in South Carolina. My prayers are with the families of the Emanuel AME Church.",
"2015-06-18 ","13:17:45","RepJohnDelaney","Pls take a moment to read @EJDionne column on the #PopeFrancis encyclical -&gt; The pope, the saint and the climate http://t.co/kQNvOQZ5MI","PopeFrancis"
"2015-06-18 ","13:14:54","RepJohnDelaney","@EyewitnessMuse filed two bills to increase infrastructure funding. Led Democratic effort to amend DOT bill to increase funding for Amtrak",
"2015-06-17 ","20:15:07","RepJohnDelaney","Time for #WMATA to address the persistent safety issues that have plagued the system for years http://t.co/tVSSfPZqIa","WMATA"
"2015-06-17 ","20:11:24","RepJohnDelaney","I've fought for #WMATA funding, but funding only 1/2 the equation -&gt; we also need effective management http://t.co/tVSSfPZqIa","WMATA"
"2015-06-17 ","18:08:51","RepJohnDelaney","Delaney: FTA Report Makes it Clear WMATA Must Improve Safety Efforts  http://t.co/tVSSfPZqIa",
"2015-06-17 ","16:55:50","RepJohnDelaney","Speaking to Treasury Sec. Lew in Financial Services hearing, made point that debt prioritization is misguided.",
