"Date","Time","screen_name","text","hashtags"
"2016-02-21 ","15:28:57","MikeHMichaud","The ""sky is the limit"" when it comes to what I will do to get veterans &amp; transitioning service members jobs!Details coming soon! #hireVETS","hireVETS"
"2014-05-23 ","16:44:42","MikeHMichaud","Talking with #veterans about how we can address the unacceptable #veteransaffairs failures. http://t.co/dfAQuYjcwh","veterans veteransaffairs"
"2014-05-23 ","15:29:46","MikeHMichaud","Talking to #veterans and media about what can be done to address VA crisis. #mepolitics #VeteransAffairs http://t.co/1Jb1LIvtsL","veterans mepolitics VeteransAffairs"
"2014-02-20 ","21:50:06","MikeHMichaud","I'm glad @whitehouse listened: we can't balance deficit reduction on the backs of seniors &amp; veterans. http://t.co/lFwT9cBywB #mepolitics","mepolitics"
"2013-09-16 ","16:16:00","MikeHMichaud","My thoughts and prayers are with all those impacted by the Navy Yard shooting as well as the entire Navy and law enforcement communities.",
"2013-03-14 ","15:47:31","MikeHMichaud","Sent President Obama 159 letters from Mainers on importance of our pulp and paper sector: http://t.co/lNZMQpvhBf http://t.co/x2BBxA22QD",
"2012-07-20 ","14:04:23","MikeHMichaud","Submit an application if you’re a student that would like to intern this fall in my Washington, DC office:  http://t.co/DihzKqx5",
"2012-04-03 ","20:24:43","MikeHMichaud","It was nice touring this business in Buckfield this afternoon. They do great work and are a part of a fun White... http://t.co/QZnB96AT",
"2012-04-03 ","15:33:16","MikeHMichaud","It was great joining the Governor and our Congressional Delegation this morning to celebrate IDEXX breaking... http://t.co/mthXlZBG",
"2012-02-22 ","18:35:07","MikeHMichaud","The VA announced today that veterans enrolled in the VA health care system have begun to receive personalized... http://t.co/d0VvQE0c",
"2011-01-08 ","21:59:50","MikeHMichaud","My thoughts and prayers are with Congresswoman Giffords, her family, her staff and all those who were victims of... http://fb.me/NqIN12b2",
"2016-09-24 ","21:17:20","chelliepingree","Great to hear Amanda Beal talk today at fair about A New England Food Vision, bringing the region closer to food self sufficiency!#MFT https://t.co/Mood70KiDQ","MFT"
"2016-09-24 ","21:14:18","chelliepingree","Every trip to the fair starts with coffee with Doug the #Coffeeman#commongroundcountryfair#gumbypolitics https://t.co/xRTySzgBHh",
"2016-07-17 ","18:17:48","chelliepingree","Again: heartbreaking news of another shooting. We must find a way to bring an end to what seems like endless cycle of violence. #mepolitics","mepolitics"
"2016-07-08 ","16:25:15","chelliepingree","Solemn day in the Capitol, on the floor, in the hallways. No protests just sadness &amp; shock about the violence of this week. #mepolitics","mepolitics"
"2016-07-08 ","11:14:02","chelliepingree","Senseless act of gun violence shatters peaceful protest. Devastating, heartbreaking. We must find way to end cycle of violence. #mepolitics","mepolitics"
"2016-07-07 ","18:46:05","chelliepingree","Republicans threaten punishment for @HouseDemocrats who streamed sit-in. Crazy. #mepolitics #DisarmHate https://t.co/54h0IHTr1N","mepolitics DisarmHate"
