"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","15:10:42","RepJohnConyers","I penned an oped for @WSJ ""A dangerous rush to impeach John Koskinen"" https://t.co/tMb9DOyE95",
"2016-07-08 ","23:51:31","RepJohnConyers","Happy 90th birthday to my good friend, former employer, and former colleague in Congress @JohnDingell  https://t.co/ZnElU5FqUt",
"2016-07-08 ","21:03:55","RepJohnConyers","Pleased to see the terrific job growth in June's #JobsReport. We must keep our focus on reaching #fullemployment.
https://t.co/olXMqragj6…","JobsReport fullemployment"
"2016-07-08 ","19:49:30","RepJohnConyers","From Louisiana to Minnesota &amp; Texas - Congress can't keep sitting on the sidelines while blood flows on our streets. https://t.co/Gj7jruy2hr",
"2016-07-08 ","19:37:22","RepJohnConyers","Stood with my @OfficialCBC colleagues this morning to address this week's tragedies. Watch here: https://t.co/GOwKEZ6zHB",
"2016-07-08 ","15:04:18","RepJohnConyers","Out of respect for all who have lost their lives –law enforcement &amp; civilian –we must dedicate ourselves to engaging the difficult issues.",
"2016-07-08 ","15:01:25","RepJohnConyers","There is no excuse for the slayings of officers in #Dallas. My heart is heavy this morning from this week’s senseless tragedies.","Dallas"
"2016-07-07 ","16:29:21","RepJohnConyers","Congress must act to end racial profiling and excessive and deadly use of force. #PhilandoCastile #AltonSterling","PhilandoCastile AltonSterling"
"2016-06-12 ","20:23:10","RepJohnConyers","Read my full statement on #Orlando shootings here: https://t.co/qYAiFWftxm","Orlando"
"2016-06-12 ","20:22:32","RepJohnConyers","As we investigate the facts, treat the wounded, &amp; console the victims &amp; their families, we must also take action to strengthen our gun laws.",
"2016-06-12 ","20:19:56","RepJohnConyers","My thoughts and prayers go out to the family and friends of those lost and all who were impacted by the #Orlando shooting.","Orlando"
"2016-06-12 ","20:17:33","RepJohnConyers","The shooting in Orlando is a terrible tragedy, made even more appalling by the possibility that it was a hate crime against LGBT community.",
"2016-02-26 ","20:08:05","RepJohnConyers","It is reassuring to see @NBLSA's attorneys of tomorrow using their legal skills to focus on the issues of today. https://t.co/52S9WRATvl",
"2016-02-26 ","14:20:28","RepJohnConyers","Children &amp; other vulnerable people need counsel in #immigration hearings, I support them having a fair day in court https://t.co/6cw6ADrwf9","immigration"
"2016-02-25 ","03:37:10","RepJohnConyers","Thanks @EBONYMag for the chance to talk about the1967 #Detroit riot that changed the city. #BHM #BlackHistoryMonth https://t.co/7znB1JmLCo","Detroit BHM BlackHistoryMonth"
"2016-02-21 ","17:59:29","RepJohnConyers","ICYMI: Important editorial in the @nytimes: ""The Crisis of Minority Unemployment"" https://t.co/hVPSZd5sgX",
"2015-12-03 ","17:47:34","RepJohnConyers","It is my privilege to introduce a resolution honoring Detroit's @motown founder &amp; my friend, #BerryGordy https://t.co/LlDbvNvFvK","BerryGordy"
