"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","20:01:33","RepTimWalz","Awesome day for soccer! Mankato East vs Mankato West! https://t.co/haeI1jOl95",
"2016-09-24 ","16:00:48","RepTimWalz","Today is also National Public Lands Day! Our outdoor heritage should be for all Americans to enjoy. #keepitpublic","keepitpublic"
"2016-09-24 ","15:31:03","RepTimWalz","Today is National #Hunting &amp; #Fishing Day. Thanks to the sportsmen and women for being our #1conservationists. #NHFD #HuntSafeandAngleOn","Hunting Fishing 1conservationists NHFD HuntSafeandAngleOn"
"2016-09-24 ","00:36:51","RepTimWalz","Great night for football. Austin vs West. 7-7! https://t.co/BiHqszqiSU",
"2016-09-23 ","21:56:24","RepTimWalz","Also very thankful for the many volunteers helping neighbors across Southern Minnesota!",
"2016-09-23 ","21:15:40","RepTimWalz","MN is hosting #MOHTwinCities in Oct. Welcome &amp; thank you to our brave #MedalofHonor recipients for defending freedom. #HonorOurHeroesMN2016","MOHTwinCities MedalofHonor HonorOurHeroesMN2016"
"2016-09-23 ","21:02:31","RepTimWalz","Great to meet @PeaceCorps volunteers who serve their country this week. Happy 55th Anniversary! https://t.co/Elhf2JLipT",
"2016-09-23 ","20:31:57","RepTimWalz","Very grateful for emergency managers and local law enforcement in Waseca for their work in the wake of flooding https://t.co/Uo3nrxkGbc",
"2016-09-23 ","17:48:11","RepTimWalz","Flood mitigation efforts saved homes. Folks in our communities deserve credit for proactive leadership. About 65 homes today vs 600 in 2007.",
"2016-09-23 ","17:42:37","RepTimWalz","@amyklobuchar, @VJensenSenate and I getting Steele Co briefing. Officials stressing: do not drive around barricades. https://t.co/ms9CbT0W1Q",
"2016-09-23 ","15:51:06","RepTimWalz","Touring in Albert Lea and meeting with Albert Lea officials. Incredible professionals and good neighbors. https://t.co/8OUVXuwtXD",
"2016-07-08 ","03:30:22","RepTimWalz","Keeping officers and their families in my prayers tonight as we learn more about what has happened in Dallas.",
"2016-07-07 ","19:51:05","RepTimWalz","Statement on Philando Castile Shooting: https://t.co/SvTDTpZQmM",
"2016-06-13 ","19:13:06","RepTimWalz","Check out the  USGLC piece from last week about what more Congress can do:
https://t.co/CY8ck8jSHI",
"2016-06-13 ","17:19:48","RepTimWalz","To watch this panel discussion, tune in here: https://t.co/dkXZtTdNRh #SummitDC (2/2)","SummitDC"
"2016-06-13 ","17:19:01","RepTimWalz","Participating in the @USGLC #SummitDC later this afternoon for a conversation about US Global impact &amp; natl security. (1/2)","SummitDC"
"2016-06-12 ","21:11:20","RepTimWalz","In the coming days, let us lean on one another as Americans, standing united against hate and extremism. (2/2)",
"2016-06-12 ","21:11:09","RepTimWalz","We grieve all those lost in a senseless act of hate in Orlando. Let us keep the victims, their families and friends in our hearts. (1/2)",
"2016-06-12 ","14:53:34","RepTimWalz","This says it all. Thank you  Mr. Vice President (@VP). https://t.co/tOb99tFpYv",
"2016-06-12 ","01:54:46","RepTimWalz","Also congrats to Mankato East! Great weekend of high school sports in Minnesota!  https://t.co/vlZfgRcCxJ",
"2015-12-02 ","17:22:55","RepTimWalz","Important Ag Hearing on farm credit this morning. Crop insurance critical to our producers ability to feed, clothe and fuel the world.",
"2015-10-02 ","16:07:30","RepTimWalz","Visiting St. Cloud VA today with @RepTomEmmer, working together to ensure our veterans get the best possible care",
"2015-07-17 ","21:00:06","RepTimWalz","Also stopped by @Go_Rout in Rochester--great convo w/Founder &amp; CEO Mike Rolih. Rochester's tech future is bright! http://t.co/PZkj9i5f89",
"2015-07-17 ","20:55:56","RepTimWalz","Great to visit @BrandHoot today in Rochester to talk workforce development, STEM education, &amp; growing middle class! http://t.co/HRVpCH9SJa",
"2015-07-17 ","17:45:26","RepTimWalz","Great visit to Guardian energy in Janesville today to talk homegrown energy! #RFS #RFSworks http://t.co/okl0QPDMKt http://t.co/HSIbEpxYof","RFS RFSworks"
"2015-07-16 ","15:38:30","RepTimWalz","Read my op-ed w/@RepChrisGibson in @MilitaryTimes on Military Retirement reform #FY16NDAA: http://t.co/rGUNvMItwN http://t.co/vFHfRT2nMd","FY16NDAA"
"2015-06-18 ","21:17:05","RepTimWalz","Today my staff got a tour of the expansion at the Hormel Institute! More jobs coming to Austin! http://t.co/SQJNneNtG0",
"2015-06-18 ","17:46:22","RepTimWalz","I voted against #TPA again today. I’m for trade as long as it’s fair trade, but we can’t ensure that's the case if we fast track agreement","TPA"
"2015-06-17 ","19:22:46","RepTimWalz","Held my quarterly roundtable meeting w/VSOs &amp; @NancyPelosi today. Great to hear from these steadfast vets advocates http://t.co/DumuAOrKDk",
"2015-06-17 ","13:12:25","RepTimWalz","Great to hear from Asst Sec Lumpkin and Gen Votel, a native Minnesotan &amp; Commander of @USSOCOM this morning http://t.co/zwPRsb9sQR",
"2014-10-25 ","22:02:58","RepTimWalz","We all do better when we all do better. Remembering Paul &amp; Sheila Wellstone today. May we strive to live our lives with their passion.",
"2014-10-24 ","18:57:01","RepTimWalz","Honored to receive the Friend of Farm Bureau award from the @MNFarmBureau this afternoon! http://t.co/lBzP1UJ2iV http://t.co/SJvkHpnWbU",
"2014-05-23 ","16:20:31","RepTimWalz","I had great meeting yesterday w/group of Army Sgts Major working on innovative ways to protect our national security http://t.co/CQ7fSh7ofs",
