"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","13:30:06","repcleaver","Today the @NMAAHC opens on the National Mall. This is a @smithsonian museum literally hundreds of years in the making. #APeoplesJourney https://t.co/ZeSntZoP8w","APeoplesJourney"
"2016-09-23 ","20:00:44","repcleaver","Joining @jaketapper on @CNN in just a few. #Charlotte #Tulsa","Charlotte Tulsa"
"2016-09-23 ","19:10:51","repcleaver","But the past PD Chiefs have convinced the majority of the force that self-command &amp; self-control are far more powerful law enforcement tools",
"2016-09-23 ","19:07:54","repcleaver","We have had a series of good police chiefs. Yes, from time to time, there are very real cases of raw racial run-ins.",
"2016-09-23 ","19:07:20","repcleaver","It's not an accident that #KCMO has been spared the police/minority community conflict that've stained a number of cities around the nation.","KCMO"
"2016-07-08 ","20:52:36","repcleaver","My condolences to the families who have lost the people they love. This has to stop. #Dallas #DisarmHate https://t.co/JwxhSR7yNK","Dallas DisarmHate"
"2016-07-08 ","19:52:20","repcleaver","#Dallas #DisarmHate  https://t.co/Vk2urtkhKE","Dallas DisarmHate"
"2016-07-08 ","17:13:58","repcleaver","This week has seen too much death and heartbreak – in #Dallas, in Minnesota and in Baton Rouge. We can and must do better. #DisarmHate","Dallas DisarmHate"
"2016-07-08 ","14:34:42","repcleaver","The whole nation is crying and we in this body are crying with the city of #Dallas. #DisarmHate","Dallas DisarmHate"
"2016-07-08 ","14:32:39","repcleaver","Words can hurt, words can horrify, words can hinder, but words can also heal. #DisarmHate #Dallas","DisarmHate Dallas"
"2016-07-08 ","14:17:25","repcleaver","About to speak on the @HouseFloor. https://t.co/G8NzQUoKRy",
"2016-07-07 ","17:08:35","repcleaver","The #BlackLivesMatter movement exists because we keep seeing senseless events like this. https://t.co/3AhHxp5I5J https://t.co/ubFJCsfnpS","BlackLivesMatter"
"2016-06-13 ","22:35:41","repcleaver","...because it is the dark room where negatives are developed. #Orlando","Orlando"
"2016-06-13 ","22:35:23","repcleaver","Over the next few days we, the elected leaders of our great country, must be careful not to stoke the understandable embers of fear #Orlando","Orlando"
"2016-06-13 ","22:34:45","repcleaver","My evening prayer will be for the families of those murdered and those who suffered injuries from this senseless act of violence. #Orlando","Orlando"
"2016-06-13 ","22:34:28","repcleaver","Words cannot express the sadness of the events that took place in #Orlando. https://t.co/3BaDr3Rbrc","Orlando"
"2016-06-12 ","20:33:12","repcleaver","Salvy with a great insurance home run in the 9th!  @Royals up 3-1. #ForeverRoyal","ForeverRoyal"
"2016-02-26 ","22:02:31","repcleaver","Very pleased to hear that @POTUS has banned importing goods made by slave labor in Thailand. #shrinkfromtheshrimp  https://t.co/HYMLhlWhOK","shrinkfromtheshrimp"
"2016-02-26 ","21:09:29","repcleaver","It was a pleasure to meet with COL Hamilton today.  The @USArmy liaison has a great leader on the Hill. https://t.co/ZypNiUovQG",
"2016-02-26 ","20:41:05","repcleaver","Met w/Thai Amb Pisan Manawapat, discussed finding solutions to child labor/human trafficking/abused workers at sea. https://t.co/3wOFMHnx49",
"2016-02-26 ","18:42:06","repcleaver","Fascinating meeting with #KC @CivilAirPatrol cadets yesterday. They are our future military and community leaders. https://t.co/heuk4oJ28u","KC"
"2016-02-26 ","17:57:50","repcleaver","Enjoyed meeting with Beth from @KCHealthyKids. The Double Up Food Bucks program works! https://t.co/lshurmc7wJ",
"2016-02-26 ","17:27:05","repcleaver","Wonderful @WW1CC panel on African-Americans during WWI here on Capitol Hill yesterday. https://t.co/iD0K37Q7Te",
"2016-02-26 ","17:21:51","repcleaver","I enjoyed my visit with former KC @Chiefs player Dr. Pellom McDaniels. He is doing great work  with the @WW1CC. https://t.co/yaUgpEYRzJ",
"2016-02-26 ","15:31:05","repcleaver","Just because we have a strong feeling about something &amp;held such a belief for a long period of time doesn't make it a fact. #civilityfridays","civilityfridays"
"2016-02-26 ","15:30:17","repcleaver","Democracy demands deal making. #civilityfridays","civilityfridays"
"2016-02-26 ","15:28:30","repcleaver","Compromising on beliefs related to a legislative policy is not blasphemously violating ones values, it is doing democracy. #civilityfridays","civilityfridays"
"2016-02-25 ","21:32:13","repcleaver","Great to meet with KC's own @NEAJaneChu today! Discussed how arts can make a great impact on communities. @NEAarts https://t.co/SrwDSaHoLb",
"2015-12-02 ","21:26:41","repcleaver","This year my Christmas list has just one thing on it: peace. Thoughts and prayers are not enough. #SanBernadino","SanBernadino"
"2015-12-02 ","19:45:10","repcleaver","Unsure why you should renew your health plan by Dec 15? Read more: https://t.co/PcX69gtcFL #GetCovered #StayCovered https://t.co/82OlYkqTdd","GetCovered StayCovered"
"2015-12-02 ","19:00:20","repcleaver","Thnx to the Affordable Care Act, 87,000 fewer patients died in hospitals &amp; nearly $20 billion in costs were saved  → https://t.co/sjvvYpEMOs",
"2015-12-02 ","18:30:20","repcleaver","To 9/11 first responders &amp; advocates calling for a vote on the #Zadroga Act, @HouseDemocrats stand with you. Let's pass this for our heroes!","Zadroga"
"2015-12-02 ","17:55:04","repcleaver","Planned Parenthood plays a critical role in meeting the health care needs of millions of low-income &amp; underserved men &amp; women. #StandWithPP","StandWithPP"
"2015-12-02 ","17:50:04","repcleaver","2.7 million men &amp; women go to @PPFA each year for everything from cancer screenings to HIV tests. #StandWithPP","StandWithPP"
"2015-12-02 ","17:45:57","repcleaver","Approximately 1 in 5 women has relied on a Planned Parenthood health center for care in her lifetime. #StandWithPP https://t.co/P9hb0rmJB3","StandWithPP"
"2015-11-01 ","18:53:55","repcleaver","Every American deserves quality, affordable health care. Open season begins today. Go to https://t.co/v3R3XTRmjc and sign up now.",
"2015-11-01 ","17:35:15","repcleaver","Congratulations to the @chiefs on another much needed win!  Now let's go get one more KC win tonight @Royals. #NFLUK #TakeTheCrown","NFLUK TakeTheCrown"
"2015-11-01 ","17:19:00","repcleaver","The TD's just keep coming. Great running game today. A Spencer Ware TD runs puts the @chiefs up 45-10 against the Lions. #nfllondon #NFLUK","nfllondon NFLUK"
"2015-11-01 ","17:03:06","repcleaver","Maclin with a great catch in the end zone to put the @chiefs up 38-3 in London!  #nfllondon","nfllondon"
"2015-11-01 ","16:51:44","repcleaver","Big sack for Hali and Houston on 4th down!  The @chiefs have 1st down and great field position. Let's go Chiefs! #nfllondon","nfllondon"
"2015-11-01 ","16:27:14","repcleaver","Smith to Kelce for a @chiefs TD!  31-3 Chiefs in London. #nfllondon","nfllondon"
"2015-11-01 ","15:42:07","repcleaver","Charcandrick West with an 8 yard TD run for the @chiefs. 24-3 in London. #nfllondon","nfllondon"
"2015-11-01 ","15:22:21","repcleaver","Alex Smith takes it to the house for the @chiefs. We are up 14-3 in London!",
"2015-11-01 ","15:16:08","repcleaver","Alex Smith in London: QB or RB?  Big run for the @chiefs.",
"2015-11-01 ","14:56:51","repcleaver","The @chiefs take the lead in London with a great opening drive down the field against the Lions. 7-3 @chiefs",
"2015-11-01 ","03:39:05","repcleaver","Great relief pitching by Davis and heads up baseball bat Moose!  @Royals are up 3-1 in the series. #TakeTheCrown","TakeTheCrown"
"2015-11-01 ","03:04:29","repcleaver","Salvy with a big hit to score Hosmer. @Royals up 2 in the 8th. Let's keep it rolling!  #TakeTheCrown","TakeTheCrown"
"2015-11-01 ","02:59:51","repcleaver","Moose with a great hit and the @Royals take the laD in the 8th!!!  #TakeTheCrown","TakeTheCrown"
"2015-11-01 ","00:23:50","repcleaver","Rios with a great catch in right field for the @Royals to end the 1st!  #TakeTheCrown","TakeTheCrown"
"2015-10-31 ","00:45:59","repcleaver","Good hitting and just great baseball so far by the @Royals.  Up one in the 3rd. #TakeTheCrown","TakeTheCrown"
"2015-10-02 ","19:19:42","repcleaver","Civility in legislative business helps restore collegiality &amp; build consensus for addressing problems facing the nation. #civilityfridays","civilityfridays"
"2015-10-02 ","19:17:29","repcleaver","Civility is vital to the United States Congress, and its absence only creates deeper divides among the American people. #civilityfridays","civilityfridays"
"2015-10-02 ","19:00:00","repcleaver","All of us in Congress have a desire to build a stronger, more prosperous America. Let’s start there. #civilityfridays","civilityfridays"
"2015-10-02 ","14:26:53","repcleaver","I am saddened by fmr Senator Harold Caskey's passing. He was a statesman of the highest order for Missouri. My prayers are w/Kay &amp; family.",
"2015-10-01 ","20:25:40","repcleaver","Terrible news coming out of Oregon today. My thoughts and prayers are with the victims, their families, and the community.",
"2015-10-01 ","14:44:26","repcleaver","Congrats to @SportingKC with a penalty-kick win over Philadelphia to take the 102nd US Open Cup last night! #SportingKC.","SportingKC"
"2015-07-17 ","21:17:51","repcleaver","As we wrap up another week, it's time for some #FunFriday with  @exploreorg #WalrusCam on Round Island: http://t.co/4Q19IhZs9j","FunFriday WalrusCam"
"2015-07-17 ","20:25:59","repcleaver","Mark Twain, my homeboy from MO said, “Forgiveness is the fragrance that the violet sheds on the heel that has crushed it.” #CivilityFridays","CivilityFridays"
