"Date","Time","screen_name","text","hashtags"
"2016-07-18 ","20:46:58","BennieGThompson","This is the last week of the Democratic Social Media All Star Challenge. This is a competition… https://t.co/BcrLRcCedh",
"2016-07-18 ","19:49:39","BennieGThompson","Last week, Mississippi lost one of its true legends - Willie ""Po Monkey"" Seaberry. Mr. Seaberry… https://t.co/vbcNsDsleO",
"2016-07-18 ","18:55:36","BennieGThompson","The @cbcinstitute has kicked off its Political Boot Camp in Piney Point, MD. It's great to see… https://t.co/4jhQwGcGqd",
"2016-07-08 ","19:33:42","BennieGThompson","Today, I want to recognize Commander Zeita Merchant as she relieves Capt. Ryan Manning as… https://t.co/PO7a7gyuzs",
"2016-07-08 ","19:15:18","BennieGThompson","My colleague from Dallas, @RepEBJ, gave a moving address on the House floor today. https://t.co/pjHd8J8uNd",
"2016-06-13 ","13:18:20","BennieGThompson","Here's my statement regarding Orlando mass shooting:

June 12, 2016 (WASHINGTON) - Today, Rep.… https://t.co/cmTWyY4YoF",
"2015-07-16 ","23:12:27","BennieGThompson","One of my summer interns, Laura Cooper, at tonight's CBCF Mock Congress. She is already an excellent… https://t.co/4kLYq3uAVD",
"2015-06-18 ","16:06:14","BennieGThompson","Congressman Thompson Statement on Church Shooting in Charleston, SC: http://t.co/EWLkfMv9UD",
"2014-02-21 ","15:05:46","BennieGThompson","Day 2 of the ACA tour! Come join me today from 8:00 -11:00 a.m. at the Indianola Promise Community Office! http://t.co/uJv6EKQuww",
"2014-02-20 ","14:44:19","BennieGThompson","@BennieGThompson begins his ACA tour today at Tougaloo College! http://t.co/cAPg6C8e8w",
"2013-09-16 ","20:41:00","BennieGThompson","My prayers are with the victims of today's Navy Yard tragedy.",
"2013-04-22 ","20:34:21","BennieGThompson","Today, I announced the winners of the Second Congressional District’s “Artistic Discovery” Art Competition. Rep.... http://t.co/xDBA7dxet9",
"2013-04-22 ","20:33:12","BennieGThompson","Today, Congressman Bennie G. Thompson (MS-02), announced the winners of the Second Congressional District’s... http://t.co/X4VlX0GXHh",
"2013-04-22 ","16:42:42","BennieGThompson","Thank-you for joining me on MSNBC's @ThomasARoberts, as I discussed the implications of the Boston investigation.... http://t.co/6HOc7p7LiN",
"2013-04-22 ","14:59:39","BennieGThompson","Happening now! I will appear with @ThomasARoberts to discuss the #Boston investigation.","Boston"
"2013-04-22 ","14:08:17","BennieGThompson","Today at 11AM ET, I  will appear on @ThomasARoberts to dicuss the Boston investigation.",
"2013-04-22 ","01:21:07","BennieGThompson","Thanks to everyone who tuned in to ABC's ""This Week,"" as I discussed the latest developments on the Boston... http://t.co/vjZbX5LJk1",
"2013-04-22 ","01:15:56","BennieGThompson","You can view my interview on ABC's ""This Week,"" where I discussed the Boston investigation's latest developments.... http://t.co/mYJv3KQa69",
"2013-04-21 ","14:04:08","BennieGThompson","HAPPENING NOW! Discussion on #Boston on @ThisWeekABC!","Boston"
"2013-04-21 ","13:56:44","BennieGThompson","Thank you!RT @SDSLivesUnited: Will check u out.  RT @BennieGThompson: Today on @ThisWeekABC I will discuss the#Boston bombing investigation.",
"2013-04-21 ","11:50:38","BennieGThompson","Today on @ThisWeekABC I will discuss the#Boston bombing investigation.",
"2013-04-21 ","03:54:06","BennieGThompson","Sunday on a special edition of “This Week,” George Stephanopoulos and I will discuss the latest developments in... http://t.co/FmSAPyN92z",
"2012-07-20 ","15:23:31","BennieGThompson","Click here to learn about more than $35,000,000 in HUD funding to the State of Mississippi: http://t.co/FJPOy21b",
"2012-07-20 ","14:01:11","BennieGThompson","My thoughts and prayers are with the folks in Colorado. #Aurora","Aurora"
"2012-02-22 ","20:43:48","BennieGThompson","I'm speaking this week at @GJCP's Friday Forum at @Koinonia316 Coffee House.",
"2012-02-22 ","03:56:56","BennieGThompson","Looking forward to seeing the good folks at @generalelectric in Batesville, MS tomorrow.",
