"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","20:45:04","RepAdams","We all deserve the truth &amp; justice. We will emerge from this stronger &amp; safer b/c we chose to address our problems even after tv crews leave https://t.co/yxF6GJuXrC",
"2016-09-24 ","20:41:04","RepAdams","I continue to believe in in the need for greater transparency, accountability, collaboration &amp; cooperation.",
"2016-09-24 ","20:40:10","RepAdams","I am glad to hear city officials heeded my calls and the calls of others to release the #KeithLamontScott  video footage today. https://t.co/SP4qdOwoY3","KeithLamontScott"
"2016-09-23 ","15:35:28","RepAdams","Watch live on on @CNN now. https://t.co/bGEJ4jDXv7",
"2016-07-18 ","20:38:33","RepAdams","Following the verdict in the #FreddieGray case and reports of the recent attacks on police officers Baton Rouge, now is the time for peace.","FreddieGray"
"2016-07-18 ","18:59:37","RepAdams","Join us this week for Mobile Office Hours! These hours are designed to better serve you. https://t.co/FiZRa2TMmp",
"2016-07-18 ","17:41:51","RepDavidEPrice","Excited to announce the 2016 Congressional App Challenge, challenging h.s. students to develop an idea for an app https://t.co/erhWGXbV9M",
"2016-06-13 ","22:28:03","RepDavidEPrice","We must #StandWithOrlando by taking action to end gun violence. https://t.co/kFSejDklE8","StandWithOrlando"
"2016-06-13 ","16:54:59","RepDavidEPrice","Thoughts and prayers are not enough. The time has come for Congress to acknowledge the problem and do something to stop the violence. (3/3)",
"2016-06-13 ","16:49:38","RepDavidEPrice","To stand in solidarity w/ the victims and the LGBT community, we must adopt common-sense gun reforms to help prevent the next tragedy (2/3)",
"2016-06-13 ","16:45:10","RepDavidEPrice","Yesterday's horrific attack was the latest in a series of tragedies that should have spurred us to action on gun violence. (1/3)",
"2016-06-12 ","13:48:44","RepDavidEPrice","I am deeply saddened by the news from Orlando. My thoughts are with the victims and those who love them.",
"2016-02-26 ","21:34:33","RepDavidEPrice","Tomorrow from 9 AM to noon, the @DeptVetAffairs will host a Nat'l Stand Down event to help veterans w/ urgent care: https://t.co/E1BL3qKOya",
"2015-12-02 ","16:11:27","RepDavidEPrice","Joined @Drsforamerica to announce a petition by Drs in all 50 states urging repeal of the gun violence research ban https://t.co/KfppuIl0MS",
"2015-10-01 ","20:11:22","RepDavidEPrice","My thoughts are with the victims of the Oregon shooting. Without decisive action, I fear these gun violence tragedies will continue to occur",
"2015-10-01 ","15:53:41","RepDavidEPrice","Proud to stand on the right side of history w/ a perfect score on the @HRC congressional scorecard! #equalityforward http://t.co/vbQlSF9lJK","equalityforward"
"2015-07-17 ","21:43:21","RepDavidEPrice","Thrilled to welcome @NEHgov Chair Bro Adams to the #HuntLibrary to showcase @NCState 's cutting-edge humanities work. http://t.co/9Eh1F9XBlY","HuntLibrary"
"2015-07-17 ","21:21:34","RepDavidEPrice","Had a great conversation this afternoon with @crabberwral for an upcoming @WRAL segment http://t.co/L56dJkWAtp",
"2015-07-17 ","15:40:28","RepDavidEPrice","Thanks to the talented team @Novozymes @NovozymesNA for hosting me today, and for your work improving lives worldwide http://t.co/f7UL4ZZhR4",
"2015-07-16 ","17:04:42","RepDavidEPrice","Proud to stand with @Clyburn and @HouseDemocrats to emphasize the fundamental importance of protecting voting rights http://t.co/M7SmKApjEt",
"2015-07-16 ","14:51:29","RepDavidEPrice","Thrilled that Durham will participate in #ConnectHOME, a @HUDgov partnership w/ @googlefiber expanding broadband to HUD-supported housing!","ConnectHOME"
"2015-06-18 ","15:58:05","RepDavidEPrice","Today, we come together in mutual faith to express sympathy and solidarity and resolve anew to find a way to put a stop to such violence.",
"2015-06-17 ","21:42:53","RepDavidEPrice","Judging by the winners of the Community College Innovation Challenge, the future of STEM is bright! @NSF @Comm_College",
"2015-06-12 ","16:30:08","RepDavidEPrice","I announced this morning that I will be voting against TPA, or ""Fast Track"". You can read my floor statement here: http://t.co/Nf9yV0LjYs",
"2015-06-11 ","12:36:39","RepDavidEPrice","Happening now: I am discussing transportation funding on @cspan Wash Journal call-in show. Hope to hear from you! http://t.co/0PxDjm3TVF",
"2014-10-24 ","19:32:51","RepDavidEPrice","This United Nations Day, we celebrate 69 years of the @UN and are reminded of the importance of its mission #UNDay","UNDay"
"2014-10-24 ","15:13:14","RepDavidEPrice","Thanks @IntraHealth for hosting me today--&amp; for your contribs to the Ebola response &amp; other global health challenges. http://t.co/ujLWjLvxvE",
"2014-04-03 ","18:56:13","RepDavidEPrice","The #GOPBudget gives Srs a coupon (that decreases in value) to buy health care &amp; ends the Medicare guarantee. #ncpol http://t.co/HwRMC4PjYp","GOPBudget ncpol"
"2014-04-03 ","18:55:30","RepDavidEPrice","The #GOPBudget could leave 3.5M American workers w/o critical job training services they need in 2016. http://t.co/tcy1fIcpdl #ncpol","GOPBudget ncpol"
"2014-04-03 ","18:55:05","RepDavidEPrice","#GOPBudget will gut investments in highways, rail, &amp; ports despite the serious need to rebuild America &amp; put people back to work. #ncpol","GOPBudget ncpol"
"2014-04-03 ","18:50:42","RepDavidEPrice","The #GOPBudget would endanger Head Start, w/cuts that could throw 170K children out of prog. in 2016. http://t.co/tcy1fIcpdl #ncpol","GOPBudget ncpol"
"2014-04-03 ","18:41:52","RepDavidEPrice","ICYMI-@AARP on how the #GOP budget shifts costs to seniors &amp; future retirees/ends Medicare guarantee: http://t.co/suUfjGChLa #ncpol @AARPNC","GOP ncpol"
"2014-02-20 ","16:03:49","RepDavidEPrice","David's path is a testament to the power of comm. colleges. I took a similar path from @MarsHillU (then a 2-yr college) to UNC-CH. #ncpol","ncpol"
"2014-02-20 ","16:03:31","RepDavidEPrice","Just met @waketechcc Student Body Pres. David Roman. He plans to start @ UNC-CH in the fall. #ncpol http://t.co/lftKJRtATL","ncpol"
"2014-02-20 ","15:51:02","RepDavidEPrice","Talking w/Pres. Scott &amp; instructors @waketechcc who work w/unemployed folks teaching job search skills. #ncpol http://t.co/RBG17CuVZZ","ncpol"
"2014-02-20 ","15:20:46","RepDavidEPrice","Visiting @waketechcc this AM for a roundtable w/teachers, administrators &amp; unemployed students about the need to #RestoreUI. #ncpol","RestoreUI ncpol"
"2013-09-17 ","19:27:09","RepDavidEPrice","Good luck to @DurhamBulls ahead of tonight's #TripleAChampionship game! #ncpol","TripleAChampionship ncpol"
"2013-09-17 ","13:41:50","RepDavidEPrice","Speaking to @DiscoverForum this AM-intnl trade is key to our economic success &amp; job creation in #NC. #ncpol @TradeGov http://t.co/lF5h3VHhkz","NC ncpol"
"2013-04-22 ","20:05:05","RepDavidEPrice","Insightful meetings and town hall with @UNCCIDD staff and faculty this afternoon. #ncpol http://t.co/MKQ1P5sPWo","ncpol"
"2013-04-22 ","16:35:59","RepDavidEPrice","As we mark Earth Day, a reminder that admission to nat'l parks is free through Apr 28 for National Park Week #ncpol http://t.co/dfFKgpHMv9","ncpol"
"2013-04-22 ","16:06:37","RepDavidEPrice",".@CarolinaChamber Thank you for hosting me this morning. I enjoyed the conversation. #ncpol","ncpol"
"2013-03-14 ","14:54:36","RepDavidEPrice","DHS subcommittee hearing w/ICE underlines (again) that sequestration's across-the-board cuts are unwise and inflexible. #AppropsDems #ncpol","AppropsDems ncpol"
"2013-03-14 ","14:51:57","RepDavidEPrice","Requiring that @DHSgov / ICE maintain 34k detention beds under #GOPsequester = fewer arrests of drug traffickers &amp; child pornographers.","GOPsequester"
"2013-03-14 ","14:00:21","RepDavidEPrice","The Army's difficult decision to suspend Tuition Assistance in the wake of the #GOPsequester only underlines that these cuts are inflexible","GOPsequester"
"2013-03-14 ","14:00:12","RepDavidEPrice","I applaud the decision by Methodist U @KingMonarch to support our troops by giving active duty soldiers free tuition. #ncpol","ncpol"
"2013-03-13 ","20:29:08","RepDavidEPrice",".@NCNationalGuard provides vital service to the people of NC and our country. #ncpol","ncpol"
"2013-03-13 ","20:28:22","RepDavidEPrice","Enjoyed meeting w/ @NCNationalGuard TAG MG Lusk today regarding the needs of #NCNG men &amp; women who serve our state every day. #ncpol","NCNG ncpol"
"2013-03-13 ","19:06:45","RepDavidEPrice",".@samsteinhp In #NC04, Durham Schools are losing $1.7M b/c of sequestration's inflexible across-the-board cuts #ncpol http://t.co/RO5a8GAqzK","NC04 ncpol"
"2013-03-13 ","17:13:39","RepDavidEPrice","Blocking Medicaid expansion hurts #NC. Employers will pay $70M-$100M more in penalties acc. to report #NCGA #ncpol http://t.co/jVv67iX09H","NC NCGA ncpol"
"2013-03-13 ","15:49:13","RepDavidEPrice","As this CBS News article explains, cuts to disaster prep are penny-wise and pound-foolish. #AppropsDems #ncpol http://t.co/wub2wgYDZ9","AppropsDems ncpol"
"2013-03-13 ","15:41:13","RepDavidEPrice","We can't continue to focus just on rebuilding after a disaster. We need to pay equal attention to prevention. #ncpol #AppropsDems","ncpol AppropsDems"
"2013-03-13 ","15:38:37","RepDavidEPrice","Asked @fema Administrator Fugate about the importance of pre-disaster prep in today's hearing. #ncpol #AppropsDems","ncpol AppropsDems"
"2012-09-28 ","13:13:50","RepDavidEPrice","ICYMI-Democracy 21 Endorses my Empowering Citizens Act to put elections back into your hands @FredWertheimer #ncpol http://t.co/oIlpiU82","ncpol"
"2012-09-28 ","13:04:59","RepDavidEPrice","Joining the @raleighchamber this morning in honoring our Wake County first responders; some of the true heroes among us #ncpol #nc04","ncpol nc04"
"2012-07-20 ","18:58:50","RepDavidEPrice","Important new Dept. of Ed site helps students navigate financial aid process: http://t.co/7IcMpjWK",
"2012-07-20 ","13:34:54","RepDavidEPrice","@donnascan No ? we need to keep VA funding robust. This year's VA funding bill does so &amp; beefs up $ for PTSD and brain injury research.",
"2012-07-20 ","13:27:56","RepDavidEPrice","@TheTruthPlz Working on it in the VA funding bill-it funds the Obama Admin's initiative to end homelessness among vets: http://t.co/1IunCrTL",
"2012-05-21 ","17:32:50","RepDavidEPrice","Lunch with a trade delegation from Turkey today including member of parliament Oksuzkaya &amp; Mayor Ozhaseki from Kayseri.",
"2016-09-24 ","13:14:34","GKButterfield","Witnessing history today as we welcome the opening of the National Museum of African American History &amp; Culture! @NMAAHC #APeoplesJourney","APeoplesJourney"
"2016-09-23 ","13:37:12","GKButterfield","About to join @CarolCNN on @CNNnewsroom to discuss @OfficialCBC's call for federal investigations into the recent police shootings. Tune in",
"2016-07-18 ","13:49:26","GKButterfield","HIV/AIDS doesn't discriminate. Let's work together to #EndAIDS2030! We can do it! @pepfar #AIDS2016 https://t.co/OqJTjf1xRe","EndAIDS2030 AIDS2016"
"2016-07-08 ","15:04:58","GKButterfield","""The @OfficialCBC not only supports Black Lives Matter, we embrace it.""",
"2016-07-08 ","04:21:14","GKButterfield","I'm praying for the police officers who lost their lives in Dallas protecting the rights of citizens to peacefully protest.",
"2016-07-08 ","04:15:04","GKButterfield","Praying for the families of the officers and those injured in Dallas. This is a tragedy. Violence is not the answer.",
"2016-07-07 ","23:48:05","GKButterfield","Enough is enough. It's past time for GOP to take the gun violence epidemic seriously and expand background checks. https://t.co/ws2APtdSJK",
"2016-07-07 ","20:15:20","GKButterfield","Thanks for joining us today for #AskDems. I will continue to fight for legislation to address the gun violence epidemic. #DisarmHate","AskDems DisarmHate"
"2016-07-07 ","20:05:54","GKButterfield",".@KellyEWRoskam I support the 2nd Amendment. Expanded background checks will keep suspected terrorists/criminals from buying guns. #AskDems","AskDems"
"2016-07-07 ","20:01:01","GKButterfield",".@babsiemay 91 Americans are killed every day from a gun. Americans must continue to demand a vote on commonsense #gunreform. #AskDems","gunreform AskDems"
"2016-07-07 ","19:48:24","GKButterfield",".@DisarmHate We must continue to stand with the LGBT community, and recognize discrimination is discrimination. Period. #AskDems","AskDems"
"2016-07-07 ","19:39:16","GKButterfield",".@LauraWinston Continue to call, email, and write your reps. Listening to YOU is our most important job. #AskDems","AskDems"
"2016-07-07 ","19:33:39","GKButterfield",".@SpillersDavid Right now. #NoFlyNoBuy bill aims to stop those who are suspected terrorists/criminals.. #AskDems","NoFlyNoBuy AskDems"
"2016-07-07 ","19:27:43","GKButterfield","RT if you agree: Americans want a vote on commonsense gun violence prevention legislation. #DisarmHate #AskDems https://t.co/8tB9Cb1XUo","DisarmHate AskDems"
"2016-07-07 ","19:24:13","GKButterfield",".@Marques__X As a nation, we must work to do better and come together so our children see that their lives matter. #AskDems","AskDems"
"2016-07-07 ","19:17:45","GKButterfield",".@NewtownAction It is so important to stay engaged and contact your reps to stand up for issues relating to gun violence. #AskDems","AskDems"
"2016-07-07 ","18:36:29","GKButterfield","Now: Addressing the police violence epidemic in America with @OfficialCBC. The senseless shootings must end. https://t.co/jfRPWXrgnz",
"2016-07-07 ","17:08:29","GKButterfield","We should let recent events serve as a reminder that we must continue to be vocal on issues in our community. https://t.co/gCYhO7hHZ5",
"2016-06-13 ","19:06:47","GKButterfield","I #StandWithOrlando. My statement on yesterday's tragic shooting: https://t.co/SYkFtL4vhH https://t.co/tmqjC1haUA","StandWithOrlando"
"2016-06-13 ","14:21:12","GKButterfield","It's National #MensHealthWeek- a time to encourage men and boys to make their health a priority. https://t.co/MGJET796So","MensHealthWeek"
"2016-06-12 ","13:58:29","GKButterfield","I am deeply saddened to hear about the tragedy in #Orlando. My thoughts are with the victims, their families, and the city.","Orlando"
"2016-02-26 ","18:39:14","GKButterfield","This Sunday, I join my friend &amp; colleague, @RepJeffries at Mt. Vernon Baptist Church in Durham  #BHM https://t.co/DAFEEv39P6","BHM"
"2016-02-25 ","20:20:38","GKButterfield","Today, I honored the life of Earl T. Brown on the @USHouseFloor. Eastern NC benefited from his many years of service https://t.co/gtem5MCkU2",
"2016-02-25 ","19:56:06","GKButterfield","While we’ve made significant progress toward #jobsandjustice since Senator Revels time, there is much to be done #BHM","jobsandjustice BHM"
"2016-02-25 ","18:54:03","GKButterfield","Senator Revels faced many obstacles during his time in Congress, but his story is an extraordinary testament to our will #BHM","BHM"
"2016-02-25 ","18:53:52","GKButterfield","Earl Brown was a true leader.His contributions to @GreenvilleGov will not be forgotten. My prayers are w/ his family https://t.co/VoMPdLPr4L",
"2016-02-25 ","16:56:02","GKButterfield","Senator Revels used his time in the Senate to advocate on behalf of freed African Americans all over the US #BHM https://t.co/0k7NvxsVvb","BHM"
"2016-02-25 ","16:31:16","GKButterfield","I’ll be on the House Floor at noon to honor the life of Greenville resident Earl T. Brown. Watch on @cspan. https://t.co/kOshLxdh3D",
"2016-02-25 ","15:53:07","GKButterfield","On this day in 1870, NC Native Hiram Rhoades Revels took his oath of office as the 1st African American Senator in the US #BHM","BHM"
"2016-02-20 ","18:51:05","GKButterfield","A quality STEM Education not only helps US competitiveness, but is an investment in our children’s futures #STEMMatters #JobsandJustice","STEMMatters JobsandJustice"
"2016-02-20 ","17:00:21","GKButterfield","To compete in today’s global economy, we must train students in STEM fields #STEMMatters","STEMMatters"
"2016-02-20 ","15:50:05","GKButterfield","On this day in 1962, Astronaut John Glenn became the first American to orbit earth #STEMMatters https://t.co/Sd99KbXkic","STEMMatters"
"2015-12-03 ","22:09:31","GKButterfield","On Tuesday I will host a tele-town hall for residents of the First Congressional District. Go to my website for info.https://t.co/xy3H1P4UtF",
"2015-12-03 ","21:32:11","GKButterfield","Today,@RepBarbaraLee &amp; I convened top African American orgs to announce new initiatives to increase #techdiversity. https://t.co/5Dbs0fuS4N","techdiversity"
"2015-12-03 ","21:04:42","GKButterfield","I just published “Moving Beyond The Pipeline Discussion: African American Tech Talent Is Ready, Willing, &amp; Able” https://t.co/zaElx3msDY",
"2015-10-02 ","15:34:08","GKButterfield","My bill, HR1288, honors these &amp; other heroes that helped to safeguard America. https://t.co/e1JUV4Go4k",
"2015-10-02 ","15:00:29","GKButterfield","Great pic of 2 generations of WWII Coastwise #MerchantMariners (L to R: Jack, William, and Don)... http://t.co/yqALEXzqmS","MerchantMariners"
"2015-10-02 ","14:11:09","GKButterfield","Grateful for the support of @congbillposey,@repsires,@repscottrigell,@repfitzpatrick,@repkarenbass for my bill, HR 1288. #merchantmariners","merchantmariners"
"2015-10-01 ","19:58:24","GKButterfield","Happy 91st Birthday to my good friend and 39th President of the United States, Jimmy Carter!  #JimmyCarter91 https://t.co/8wmOYi7S7u","JimmyCarter91"
"2015-10-01 ","17:24:03","GKButterfield","Get prepared for #hurricaneJoaquin by visiting http://t.co/DLvG05oQNH","hurricaneJoaquin"
"2015-10-01 ","17:23:21","GKButterfield","@PatMcCroryNC declared a State of Emergency in advance of #HurricaneJoaquin. Be safe &amp; check in w/ your friends &amp; neighbors.","HurricaneJoaquin"
