"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","19:30:16","RepBradAshford","I'm looking forward to seeing @HuskerFBNation take on Northwestern tonight in their new chrome uniforms. How about you? #GBR #Huskers https://t.co/CtQqkwMdFr","GBR Huskers"
"2016-09-24 ","16:00:19","RepBradAshford","It was a pleasure speaking with Nicole from Big Brothers Big Sisters this morning about the great work they do in #NE02. Thanks, Nicole! https://t.co/4bjy3N3772","NE02"
"2016-09-24 ","01:05:02","RepBradAshford","High health care costs shouldn't be a burden for Nebraskans trying to get ahead. RT if you agree! #NE02 https://t.co/xacjmq1bcA","NE02"
"2016-09-23 ","21:15:13","RepBradAshford","My message to Republican and Democratic leaders: Time is ticking, work together and pass a budget. Statement: https://t.co/tZLJxpey7O #NE02 https://t.co/HFeNPcwAvs","NE02"
"2016-09-23 ","17:45:12","RepBradAshford","From Omaha to Washington, get all the news you need to know in one email. #NE02 https://t.co/ZJFoqeb5Gr","NE02"
"2016-09-23 ","15:43:08","RepBradAshford","As the son of a veteran, I am grateful for every man and woman who sacrificed their life for our country. #NE02 https://t.co/aRFPNXvsGb","NE02"
"2016-09-23 ","02:22:03","RepBradAshford","Had the honor of commemorating John R. Sodoro's life today. He was a selfless servant and will be missed. https://t.co/AvY39Ck3BK #NE02","NE02"
"2016-07-18 ","23:41:40","RepBradAshford","Olympic Curling Trials are coming to Omaha in 2017. I am excited to see the talent visiting our great city. https://t.co/kgdqJq7hZB",
"2016-07-18 ","22:33:05","RepBradAshford","Learn more about my 2nd Annual Local Foods for Local Tables on August 19th. #NE02 https://t.co/JUATElRufS","NE02"
"2016-07-18 ","21:30:08","RepBradAshford","My VOLT Act connects veterans with high-paying construction jobs in their communities. #NE02 https://t.co/apF68sWoCo","NE02"
"2016-07-18 ","20:37:08","RepBradAshford","If you missed my interview on @1290KOIL last Friday, you can listen online. https://t.co/7LjmodwDlT #NE02 https://t.co/61nAa5iSF4","NE02"
"2016-07-18 ","19:30:34","RepBradAshford","Congress is on its longest break in 3 decades while we face a threat from ISIS and have no budget. #NE02 https://t.co/5kukjpKpA8","NE02"
"2016-07-18 ","18:00:19","RepBradAshford","Interested in interning in my DC or Omaha office? Apply by August 5th for a Fall internship! https://t.co/C0PbH58SMl #NE02","NE02"
"2016-07-18 ","16:30:20","RepBradAshford","My staff will be in Ralston this afternoon. My caseworkers are ready to answer your questions. #NE02 https://t.co/9yvS90EjiQ","NE02"
"2016-07-18 ","15:00:28","RepBradAshford","Congress is on the longest summer break in decades w/o passing a budget, addressing ISIS, or funding Zika research. https://t.co/c8hOtoOjA7",
"2016-07-18 ","13:34:04","RepBradAshford","My voting record is clear. I am not beholden to either political party. #NE02 https://t.co/lOC7MQ1N9v","NE02"
"2016-07-17 ","18:56:15","RepBradAshford","My heart breaks for the community of Baton Rouge and the state of Louisiana. https://t.co/REPygnhc9W",
"2016-07-17 ","18:19:05","RepBradAshford","Congress' inaction on ISIS is unacceptable. We should not be going on a 7 week summer break. https://t.co/hiXMRYY7TI #NE02","NE02"
"2016-07-17 ","14:15:06","RepBradAshford","Sign up to receive my newsletter and stay updated on my work for #NE02 https://t.co/6o1dn5i6cm","NE02"
"2016-07-08 ","21:30:11","RepBradAshford","Submit your best photo taken in NE by 5pm on 7/15 for a chance to be the featured cover photo on my Facebook page. https://t.co/kWztCyTWOn",
"2016-07-08 ","19:36:51","RepBradAshford","Law enforcement serves and protects our communities and families. Violence against law enforcement officers cannot be tolerated.",
"2016-07-08 ","19:36:32","RepBradAshford","We must come together to break this senseless and heartbreaking cycle of violence against each other.",
"2016-07-08 ","19:30:18","RepBradAshford","I am proud to support legislation that brings stability to military families. https://t.co/TlN36IutRg #NE02","NE02"
"2016-07-08 ","18:22:10","RepBradAshford","At my urging the House Appropriations Cmte increased funding for programs to reduce veteran homelessness. #NE02 https://t.co/rumNNuRSW1","NE02"
"2016-07-08 ","16:04:05","RepBradAshford","Contact my office for assistance with federal agencies and services. https://t.co/eK0nqOrL4u",
"2016-07-08 ","13:49:17","RepBradAshford","My statement on the deadly shooting in Dallas last night: https://t.co/qiaHfwaf2a #NE02","NE02"
"2016-07-07 ","22:50:01","RepBradAshford","Submit your best photo of Nebraska for a chance to be showcased on my cover photo. More: https://t.co/SJAPsLgV1U https://t.co/hU3WnA8Njh",
"2016-07-07 ","20:59:44","RepBradAshford","Congrats to Mallory on being selected to attend @cspan's Classroom’s 2016 Educators’ Conference in Washington, D.C.! https://t.co/KJoN9BLgdd",
"2016-07-07 ","19:40:08","RepBradAshford","I continue to support our military families who serve our country dutifully. https://t.co/TlN36IutRg #NE02 https://t.co/J8qFYOlGQs","NE02"
"2016-07-07 ","18:15:08","RepBradAshford","I am excited to see that Omaha's Union Station could be named a National Historic Landmark. https://t.co/LT4lsuhe5H https://t.co/groRGOvgjD",
"2016-07-07 ","17:00:15","RepBradAshford","ICYMI: I co-introduced Sarah's Law in honor of Sarah Root who was killed in Omaha in Jan. https://t.co/5PgFmx0p3F https://t.co/0lbeLgyPY3",
"2016-07-07 ","15:30:09","RepBradAshford","I voted to freeze Congressional salaries because I don't believe Members of Congress have earned a raise. #NE02 https://t.co/EEfe35wxG5","NE02"
"2016-07-07 ","14:55:52","RepBradAshford","My staff is at the @OmahaLibrary South Omaha Branch this morning. Stop and talk to them about federal services. https://t.co/XSKCBX6cD8",
"2016-07-07 ","13:15:05","RepBradAshford","Stop by my Mobile Office this morning to talk to caseworkers about federal services and agencies. #NE02 https://t.co/EAv0SocBd9","NE02"
"2016-06-13 ","21:30:19","RepBradAshford","Independent groups have highlighted my bipartisan record and desire to find common ground. https://t.co/IvjXpYHPa3 https://t.co/ypBvNpVb5P",
"2016-06-13 ","20:35:25","RepBradAshford","Today we observed a moment of silence outside the Capitol to honor the #OrlandoShooting victims. #OrlandoUnited https://t.co/ukNz5gv3aR","OrlandoShooting OrlandoUnited"
