"Date","Time","screen_name","text","hashtags"
"2014-05-23 ","22:55:53","RepSheaPorter","So pleased to attend a dinner this week with Justice Stevens, a truly brilliant Supreme Court Justice. http://t.co/Z0ZlAEJczA",
"2014-05-23 ","13:20:04","RepSheaPorter","Just spoke with @JackHeathRadio about fixing the VA and getting veterans the care they’ve earned.",
"2014-04-03 ","23:26:36","RepSheaPorter","Congrats to NH Asst Principal of the Yr, @blonerg! MT @blonerg Met with Carol Shea-Porter. Great conversation. http://t.co/75wFOjbfvA",
"2014-04-03 ","21:34:28","RepSheaPorter","Led letter w/67 bipartisan Members to support #NewStarts transit funding essential to the future of the #CapitolCorridor Project #nhpolitics","NewStarts CapitolCorridor nhpolitics"
"2014-04-03 ","16:21:33","RepSheaPorter","I stand with you, @elaina32. We need to raise awareness &amp; keep pressuring House leadership to allow a vote on #RenewUI","RenewUI"
"2014-04-03 ","14:39:55","RepSheaPorter","Great to meet with the NH Occupational Therapy Association. As always, they’re advocating for their patients. http://t.co/tH4cwYC15W",
"2014-02-20 ","21:21:32","RepSheaPorter","Great news for current &amp; future #SS recipients MT@jkuhnhenn Obama budget to drop past offer to trim cost-of-living hikes in federal benefits","SS"
"2014-02-20 ","16:22:12","RepSheaPorter","Pleased to see that DHS will NOT develop a national license-plate tracking system. We must protect our right to personal privacy #nhpolitics","nhpolitics"
"2013-09-16 ","16:30:38","RepSheaPorter","Horrified by the tragic events in DC this morning. My thoughts &amp; prayers are with the victims, first responders, &amp; individuals in the area.",
"2013-06-07 ","19:13:20","RepSheaPorter","Congratulations to @john_dingell, my beloved colleague who today becomes the longest-serving Member in House history. A true public servant.",
"2013-03-14 ","23:26:36","RepSheaPorter","Nice to see @BarackObama at a meeting today! Appreciate him reaching out to Congressional Ds and Rs -- trying to compromise.",
"2013-03-14 ","20:07:22","RepSheaPorter","Common sense: knives shouldn't be on planes. It's an unnecessary risk, and if #TSA won’t reconsider, Congress should: http://t.co/Qi6p8cUGAM","TSA"
"2013-03-14 ","16:11:35","RepSheaPorter","Read about how your New Hampshire delegation is standing up for the Nashua Municipal Airport: http://t.co/VxdcDE9aos",
"2013-03-13 ","17:57:01","RepSheaPorter","@AARP calling R budget what it is: a failure ""to address the high costs of health care"" that ""shifts costs onto seniors and future retirees”",
"2016-09-23 ","22:13:42","RepAnnieKuster","Listen to @npratc discussion of @AudrieandDaisy. We must change the culture around sexual assault &amp;support survivors https://t.co/APkLqNdC7B",
"2016-09-23 ","20:58:16","RepAnnieKuster","Powerful discussion of @AudrieandDaisy documentary on sexual assault &amp; social media on NPR. Listen on @nhpr here: https://t.co/Dj4FBcaQUf",
