"Date","Time","screen_name","text","hashtags"
"2016-07-08 ","18:02:21","RepBonnie","I shared my thoughts on @CNN New Day this morning about the events in #Dallas, Minnesota, Baton Rouge.
https://t.co/NCQqLy9mIj","Dallas"
"2016-07-08 ","11:57:43","RepBonnie",".@CapitolPolice many thanks for the patience, flexibility and compassion shown during last night's peaceful protest at the Capitol.",
"2016-07-08 ","11:35:04","RepBonnie","Going live on @CNN in just a few moments. https://t.co/viDQHj6ucM",
"2016-07-08 ","11:19:37","RepBonnie","I'll be on @CNN New Day at 7:40AM today. Tune in!",
"2016-07-08 ","11:01:08","RepBonnie","Heartbreaking news from Dallas. Praying for the families of officers killed, and survivors' recovery. Senseless violence is always wrong.",
"2016-07-07 ","22:48:43","RepBonnie","""When we see data that indicates disparities...it's incumbent on all of us to say we can do better than this,"" @POTUS. Agreed.",
"2016-07-07 ","22:41:11","RepBonnie","@lazofficial, I appreciate the encouragement. Thank you.  https://t.co/BvwZGNIp8s",
"2016-07-07 ","22:25:07","RepBonnie","Thank you for your support, @TheOrlandoJones.  https://t.co/4vI6D72hxA",
"2016-07-07 ","20:10:24","RepBonnie",".@EileenDefreest Hard to sit through most of the hearing, but I used my time to address those deaths with Comey.
https://t.co/3qpLUWld1i",
"2016-07-07 ","20:08:06","RepBonnie",".@KellyEWRoskam definitely, and polls show again and again that gun owners support many of the reforms we've called for. #AskDems","AskDems"
"2016-07-07 ","19:30:27","RepBonnie",".@ingridb1148 alongside @RepJaredPolis we asked over and over today. Here's what it looked like. #AskDems https://t.co/0b7gpbUcS8","AskDems"
"2016-07-07 ","19:23:45","RepBonnie",".@Puppy987465 interesting proposal. We need to consider all solutions. EG: I have a bill on ammunition: https://t.co/AtUwu0MUar #AskDems","AskDems"
"2016-07-07 ","19:08:35","RepBonnie",".@ESTRAsRadioShow We've got to look at that. I took some time to ask FBI Director Comey about it this AM. #AskDems https://t.co/XeGtuh3uKT","AskDems"
"2016-07-07 ","18:59:47","RepBonnie","I hear @HouseGOP lacks votes for their sham NRA bill. If they work w/ @HouseDemocrats there'd be plenty for #NoFlyNoBuy, background checks.","NoFlyNoBuy"
"2016-07-07 ","18:53:17","RepBonnie","Thank you for your support @JillHennessy.  https://t.co/iFHRVslvbS",
"2016-07-07 ","18:31:38","RepBonnie",".@HouseGOP said, ""play by the rules."" So we tried. Here's the result... #DisarmHate https://t.co/36tRm0dk0n","DisarmHate"
"2016-07-07 ","17:41:58","RepBonnie","Thank you for your support, @joanwalsh. https://t.co/RsmEdGblTa",
"2016-07-07 ","17:12:37","RepBonnie","""We believe law enforcement has a desire to keep us safe but there's a pattern. Simply being black shouldn't make you a target.""",
"2016-07-07 ","17:09:56","RepBonnie","2/2: ""Are these not happening at an alarming rate, and is this not an important space for the FBI to be working in?""",
"2016-07-07 ","17:08:59","RepBonnie","1/2: ""This morning, we woke up to another equally graphic and deeply disturbing video that actually brought me to tears,""",
"2016-07-07 ","17:03:38","RepBonnie","I'm with @OversightDems right now hearing testimony from FBI Director Comey, and I'm up next to ask questions.",
"2016-07-07 ","17:02:52","RepBonnie","Have a question for House Dems? Tweet your questions during a @Twitter Town Hall today between 3-4PM using #AskDems. #DisarmHate","AskDems DisarmHate"
"2016-06-13 ","22:34:47","RepBonnie","I joined my colleagues on the Capitol steps for a vigil in honor of the victims in Orlando. #StandWithOrlando https://t.co/GZJb239Mrb","StandWithOrlando"
"2016-06-12 ","18:36:10","RepBonnie",".@AndyGold24 looking forward to reading this. I have one bill, the Stop Online Ammunition Sales Act, and cosponsor more. #EnoughIsEnough","EnoughIsEnough"
"2016-06-12 ","18:31:11","RepBonnie","We need logical steps to keep guns out of the hands of terrorists and others who shouldn't have access to these weapons.",
"2016-06-12 ","18:30:01","RepBonnie","As we face the deadliest mass shooting in American history, I stand with @POTUS in the hope that we can turn grief into action.",
"2016-06-12 ","18:29:16","RepBonnie","As a woman of faith I believe there is nothing more powerful than prayer.  But I also know that faith without works is dead.",
"2016-06-12 ","15:21:27","RepBonnie","I'm horrified at the news from #Orlando this morning, especially during #Pride Month. Praying for the victims. https://t.co/BDFEdYssVC","Orlando Pride"
"2016-02-26 ","20:09:57","RepBonnie","Women deserve to make the choices that work for them. These laws are an absolute farce and it’s time to #StopTheSham
https://t.co/uKz2r5cGqS","StopTheSham"
"2016-02-26 ","17:07:02","RepBonnie","Headed to the House floor to fend of another GOP attack on the environment.
https://t.co/shlG11QZpo",
"2016-02-26 ","16:43:32","RepBonnie","It’s an honor to be acknowledged by an organization fighting so hard to protect our environment. Ty @LCVoters https://t.co/0ZWrNBfbVT",
