"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","20:49:25","RepLujanGrisham","#TeamMLG attended the Birthday celebration for Valle de Oro National Refuge. https://t.co/FQE6Jqnqt8","TeamMLG"
"2016-07-18 ","17:29:19","RepLujanGrisham","New Yorker piece is fascinating. https://t.co/wMTHKdG0B7",
"2016-07-08 ","04:09:14","RepLujanGrisham","This violence is too much to take. When will it stop?",
"2016-07-07 ","22:48:34","RepLujanGrisham","Are you following all of our social media accounts? Find us on Facebook: https://t.co/BkWArQqaZc https://t.co/GYJDIhyK16",
"2016-07-07 ","20:04:04","RepLujanGrisham","Thank you to everybody who participated in #AskDems gun violence Twitter Town Hall. #DisarmHate https://t.co/UulkkQjEGN","AskDems DisarmHate"
"2016-07-07 ","20:01:13","RepLujanGrisham",".@ponumurray Great idea. House leadership should encourage debate, not ban it. #DisarmHate #AskDems","DisarmHate AskDems"
"2016-07-07 ","19:59:07","RepLujanGrisham",".@33Quince  Nobody is taking away rights from responsible gun owners. Protect law abiding citizens from gun violence. #DisarmHate #AskDems","DisarmHate AskDems"
"2016-07-07 ","19:54:29","RepLujanGrisham",".@KellyEWRoskam Many shootings are #DV related. We now have more leeway to keep guns out of the hands of abusers. #DisarmHate #AskDems","DV DisarmHate AskDems"
"2016-07-07 ","19:48:42","RepLujanGrisham",".@robinlkd Everybody should have due process. Keeping guns out of the hands of criminals does not violate due process #DisarmHate #AskDems","DisarmHate AskDems"
"2016-07-07 ","19:43:06","RepLujanGrisham",".@mandiperlmutter We need universal background checks. It’s not partisan. #DisarmHate #AskDems","DisarmHate AskDems"
"2016-07-07 ","19:37:40","RepLujanGrisham",".@SUPGVNetwork My cousin committed suicide with a gun prior to my election to Congress. Many suicides involve easy access to guns. #AskDems","AskDems"
"2016-07-07 ","19:33:41","RepLujanGrisham",".@drewhuntre Keep up the pressure. @SpeakerRyan should know how all of his constituents feel about gun violence. #DisarmHate #askdems","DisarmHate askdems"
"2016-07-07 ","19:28:50","RepLujanGrisham",".@eranryin More should be done to keep guns out of the hands of criminals. Common sense legislation. #askdems #DisarmHate","askdems DisarmHate"
"2016-07-07 ","19:25:16","RepLujanGrisham",".@NevomP Agree. GOP should allow a vote on HR 1217. It has bipartisan support and would pass if we get the opportunity. #askdems #DisarmHate","askdems DisarmHate"
"2016-07-07 ","19:18:56","RepLujanGrisham",".@Fight4Gambia I co-sponsored HR 1217 to strengthen life-saing background checks to keep guns out of the wrong hands. #askdems #DisarmHate","askdems DisarmHate"
"2016-07-07 ","19:11:42","RepLujanGrisham",".@WhiskeyNick States are doing more to keep guns out of the hands of criminals and others who should not have them. #askdems #Disarmhate","askdems Disarmhate"
"2016-07-07 ","19:07:48","RepLujanGrisham",".@JennierKillin We are experiencing this in my community. Must change the culture in troubled police departments. #askdems #Disarmhate","askdems Disarmhate"
"2016-07-07 ","19:05:01","RepLujanGrisham",".@rladdi1 If it were up to me, we would still be sitting on the House floor. We deserve a debate and a vote to #DisarmHate #askdems","DisarmHate askdems"
"2016-07-07 ","19:02:06","RepLujanGrisham","STARTING NOW: House Dems' @Twitter Town Hall begins now. Tweet your questions on gun violence with #AskDems &amp; we will respond. #DisarmHate","AskDems DisarmHate"
"2016-07-07 ","18:51:22","RepLujanGrisham","Our #AskDems @Twitter Town Hall starts in 10 minutes. #DisarmHate https://t.co/3dFWp5OsjZ","AskDems DisarmHate"
"2016-07-07 ","18:24:43","RepLujanGrisham","""No more victims."" #DisarmHate https://t.co/GIVcglE8D4","DisarmHate"
"2016-07-07 ","18:07:12","RepLujanGrisham","This #CD1 veteran says military weapons should only be used by the military. #DisarmHate https://t.co/BydJkuL7ea","CD1 DisarmHate"
"2016-07-07 ","18:00:52","RepLujanGrisham","I agree. Congress should lead the way, which is why we are fighting to the opportunity to vote. #DisarmHate https://t.co/5ZaSZDWpt5","DisarmHate"
"2016-07-07 ","17:45:26","RepLujanGrisham","#CD1 constituent: ""My cousin was shot while trying to protect a young friend who was being threatened."" #DisarmHate https://t.co/vCW52UUkhC","CD1 DisarmHate"
"2016-07-07 ","17:37:49","RepLujanGrisham","Sarai illustrates the magnitude of the impact of gun violence in America. #DisarmHate https://t.co/ficvTmkBjj","DisarmHate"
"2016-07-07 ","17:24:53","RepLujanGrisham","We all should feel safe and not worry about our children being exposed to gun violence. #DisarmHate https://t.co/RZhnDb2kn4","DisarmHate"
"2016-07-07 ","17:10:53","RepLujanGrisham","Another compelling statement from a #CD1 constituent. #DisarmHate https://t.co/TPFMFfPZVK","CD1 DisarmHate"
"2016-07-07 ","16:58:34","RepLujanGrisham","I'm sorry to hear this constituent lost a brother to gun violence. #DisarmHate https://t.co/mxvm1CNqMU","DisarmHate"
"2016-07-07 ","16:48:30","RepLujanGrisham","Interesting point by a #CD1 constituent about gun ownership. #DisarmHate https://t.co/KyLJ2tmpJw","CD1 DisarmHate"
"2016-07-07 ","16:39:08","RepLujanGrisham","Another #CD1 constituent: ""I refuse to believe thee is nothing we can do to end this terrible epidemic."" #DisarmHate https://t.co/eRF0BTRCjJ","CD1 DisarmHate"
"2016-07-07 ","16:34:00","RepLujanGrisham","Question for House Dems? Tweet your questions during a @Twitter Town Hall between 3-4PM using #AskDems. #DisarmHate https://t.co/gScqBlggW7","AskDems DisarmHate"
"2016-07-07 ","16:30:08","RepLujanGrisham","Lauren, a constituent, argues: ""Guns should be registered like cars!"" #DisarmHate https://t.co/CsXHFMJvpM","DisarmHate"
"2016-07-07 ","16:15:56","RepLujanGrisham","Robin says she has been affected by gun violence. #DisarmHate https://t.co/nvNJHPuvRS","DisarmHate"
"2016-07-07 ","16:01:18","RepLujanGrisham","Join House Dems today from 3-4PM for a @Twitter Town Hall on gun violence. #AskDems #DisarmHate https://t.co/1hinVkj6Cg","AskDems DisarmHate"
"2016-06-13 ","02:54:47","RepLujanGrisham","#ABQ #PrayForOrlando https://t.co/b9FdohJxIp","ABQ PrayForOrlando"
"2016-06-13 ","02:53:51","RepLujanGrisham","The candles were lit while the NM Gay Men's Chorus sang Over the Rainbow #PrayForOrlando https://t.co/T31xfcVy0Z","PrayForOrlando"
"2016-06-12 ","18:56:52","RepLujanGrisham","Albuquerque's LGBTQ community will host a candlelight vigil this evening from 7:30 to 9 p.m. at Morningside Park. #Orlando","Orlando"
"2016-06-12 ","15:03:33","RepLujanGrisham","Orlando massacre especially painful after we celebrated at NM's Pride Parade. My heart breaks again for the victims. https://t.co/C4YHtH5tY4",
"2016-02-26 ","13:35:16","RepLujanGrisham","Where's the Republican #budget? We're waiting, @SpeakerRyan. https://t.co/KETGXGTs5Q","budget"
"2016-02-25 ","15:42:53","RepLujanGrisham","ICYMI: @thenewmexican reports on our request to investigate the Martinez Admin for mismanaging behavioral health. https://t.co/nhptYBDP13",
"2016-02-20 ","21:06:00","RepLujanGrisham","ICYMI: My interview with KOB-TV on the behavioral health crisis created by the Martinez administration. https://t.co/JXNttdTgUD",
"2015-12-02 ","22:49:22","RepLujanGrisham","We haven't healed from the Planned Parenthood shootings; now another tragedy in #SanBernardino This is so awful.","SanBernardino"
"2015-12-02 ","22:47:01","RepLujanGrisham","We haven't heeled from the Planned Parenthood shootings; now another tragedy in #SanBernardino This is so awful.","SanBernardino"
"2015-12-02 ","18:56:25","RepLujanGrisham","Instead of working with us on policies to help families across the country, the GOP is attacking women’s health &amp; rights. #StandWithPP","StandWithPP"
