"Date","Time","screen_name","text","hashtags"
"2016-07-18 ","22:04:43","StevenHorsford","Extremely proud to be life partners with this incredible, intelligent, remarkable woman! Congrats, you deserve it!  https://t.co/0AQc1NIdF6",
"2016-02-20 ","20:07:11","StevenHorsford","Tune in to @hardball with Chris Matthews at 12:15 PST as we discuss the #NVDemsCaucus, comparisons to 2008 cycle and returns from #NVcaucus","NVDemsCaucus NVcaucus"
"2016-02-20 ","20:05:04","StevenHorsford","Tune in to @hardball with Chris Mathews at 12:15 PST as we discuss the #NVDemsCaucus, comparisons to 2008 cycle and returns from #NVcaucus","NVDemsCaucus NVcaucus"
"2015-12-03 ","04:02:18","StevenHorsford","Enough! Please God. It is time to take action NOW!  https://t.co/9aQcFjogYE",
"2015-07-16 ","02:50:45","StevenHorsford","@SonyaHorsford and Ella enjoying a mother/daughter moment today.  So grateful for their special bond. #prouddad  https://t.co/0RymIavnHZ","prouddad"
"2014-10-25 ","22:38:41","StevenHorsford","Are you joining me for the get-out-the-vote rally with @billclinton on Tuesday? Get your tickets here: http://t.co/X3MqGBWFDk. #GOTV #nv04","GOTV nv04"
"2014-10-25 ","21:09:14","StevenHorsford","#1more #GOTV RT @CedricCrear: Have you voted yet, I have!  #Vote http://t.co/0YoMxD6C6f","1more GOTV Vote"
"2014-10-25 ","21:00:11","StevenHorsford","This election is about turnout: we'll win if you vote! http://t.co/3AXyI0FvnN RT if I have your support! #1more. http://t.co/EGlxmWGOCz","1more"
"2014-10-25 ","18:49:06","StevenHorsford","Lots of organizers ready to get out the vote for #nv04 at the @NVAFSCME picnic. Thanks for all your hard work! #GOTV http://t.co/Aqdnh9plQi","nv04 GOTV"
"2014-10-25 ","18:42:50","StevenHorsford","Great meeting w/@OutsideLasVegas today! We've got to keep our environment clean for future generations! #GOTV #nv04 http://t.co/FQpd0S6uPj","GOTV nv04"
"2014-10-25 ","04:23:25","StevenHorsford","#1more MT @nevada_hiker: I know all my southern NV friends will vote early for @StevenHorsford. We need leaders to lead us into future.","1more"
"2014-10-24 ","22:44:41","StevenHorsford","Thx for your vote! #1more RT @ChristineKramar Shout out to @StevenHorsford this guy voted for his fav Congressman too http://t.co/7HoRqp47KB","1more"
"2014-10-24 ","19:41:03","StevenHorsford","RT @katkinson702: The best choice for CD04! Congressman Horsford! http://t.co/qWNCr1NLH2 #nv04","nv04"
"2014-05-24 ","22:21:28","StevenHorsford","Look who also just voted.  #teacherfathermarine @votehinton. http://t.co/5HmI0pNsKB","teacherfathermarine"
"2014-05-24 ","22:19:15","StevenHorsford","Team @StevenHorsford finished casting their votes for the primary!  Let's all get out and have our voices heard! http://t.co/9whFXMzFPq",
"2014-05-24 ","21:46:52","StevenHorsford","Ready to vote with a crew of great Democrats!  Have your voice heard!  Early voting runs thru June 6. http://t.co/gKvZoDZ7Z7",
"2014-05-24 ","19:25:03","StevenHorsford","Early voting has started in Nevada. Find out where to vote and make your voice heard! #nv04 http://t.co/sa7OvSG3bj","nv04"
"2014-02-21 ","19:37:00","StevenHorsford","Tomorrow is Caucus Day! Looking fwd to joining #nv04 residents at our precinct caucuses. Start time: 10am Sat, Feb 22 http://t.co/PEGdXxlelY","nv04"
