"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","17:19:05","TimRyan","How disastrous would a @realDonaldTrump presidency be? Read here. The @Enquirer endorses @HillaryClinton for POTUS. https://t.co/FEHAzFX6zW",
"2016-09-23 ","14:20:14","TimRyan","Hmm, yeah, we gave up all that whole ""kneeling before leaders"" thing a couple hundred years ago. https://t.co/BjUknMgdgT?",
"2016-09-23 ","13:47:23","TimRyan","Is this the president we want for our daughters? https://t.co/xCT5doH6pL",
"2016-09-23 ","13:32:51","TimRyan","Classic. https://t.co/zDPI2GJlvM",
"2016-07-18 ","22:44:11","TimRyan","CLE Ward 10 is #ReadyForHillary and so are @repjoecrowley and I! Let's win this! https://t.co/TJ9xViVC5s","ReadyForHillary"
"2016-07-18 ","22:20:53","TimRyan","So great to meet you! Thank you for your hard work, we're gonna win this thing! #ImWithHer #OhHillYes  https://t.co/yKOBdlLJ1Q","ImWithHer OhHillYes"
"2016-07-18 ","21:19:01","TimRyan","So it begins! I'll be in CLE this week to discuss why the GOP platform is wrong for America.  https://t.co/U49qtPDzeD",
"2016-07-18 ","15:40:02","TimRyan","Classic  https://t.co/cKCnS7Q7tb",
"2016-07-18 ","14:37:55","TimRyan","Great video w/ an important message. https://t.co/bUiekpHqZk",
"2016-07-17 ","15:46:10","TimRyan","These horrors cannot continue. My thoughts and prayers are with these offices and their families. @BRPD  https://t.co/wwNcVdWrhK",
"2016-07-17 ","01:28:05","TimRyan","@MrMattKaplan Thanks, Kappy!",
"2016-07-07 ","17:00:56","TimRyan",".@politico we're talking about preventing suspected terrorists from purchasing guns. It shouldn't be a difficult decision. #NoFlyNoBuy","NoFlyNoBuy"
"2016-07-07 ","16:59:20","TimRyan",".@politico our kids deserve better. The families who have suffered loss deserve better. #EnoughIsEnough","EnoughIsEnough"
"2016-07-07 ","16:57:57","TimRyan","The GOP in chaos. Alas, I repeat myself.  https://t.co/7LUIJO4fxh",
"2016-07-07 ","13:42:02","TimRyan","FYI https://t.co/bpbCH6WMbk",
"2016-07-07 ","13:13:11","TimRyan","Can you tell @realDonaldTrump is in town? Had to swing by the welcoming party. #DumpTrump https://t.co/2EhODjJxEC","DumpTrump"
"2016-06-13 ","17:44:48","TimRyan","Defeating ISIS will take expertise &amp; laser focus - not three tweets in a row. This is unacceptable. https://t.co/eKUTQfWTbC",
"2016-06-12 ","14:32:11","TimRyan","Disgusted and horrified at this act of unspeakable violence.  https://t.co/9nbj81sYzL",
"2016-02-26 ","03:30:28","TimRyan","Live update from tonight's #GOPDebate https://t.co/S8BNcUAj90","GOPDebate"
"2016-02-25 ","15:32:36","TimRyan","#TBT to spending time with @billclinton on the trail for his wife, and future #POTUS, @HillaryClinton!!! #ImWithHer https://t.co/sUi6wVKVtN","TBT POTUS ImWithHer"
"2016-02-21 ","19:47:15","TimRyan","HA! If they feel that way, imagine the people on the receiving end of his disastrous policies... #NoThanksTed  https://t.co/jQCjtBOJSP","NoThanksTed"
"2016-02-21 ","18:17:11","TimRyan",".@osudems 🙌🏼 exactly. Quite the ruse he's selling.",
"2016-02-21 ","17:47:28","TimRyan","Unconscionable decision, @JohnKasich. Ohio deserves better than this. #IStandWithPP  https://t.co/CBQ5rCKrnJ","IStandWithPP"
"2016-02-20 ","22:35:36","TimRyan","Congratulations to @HillaryClinton on her win in the Nevada Caucuses! #ImWithHer","ImWithHer"
"2016-02-20 ","01:06:40","TimRyan","Great event with the Ohio leadership council kickoff for @HillaryClinton #ImWithHer https://t.co/l5sEYbOJUJ","ImWithHer"
"2015-11-01 ","21:27:14","TimRyan","Great to see NH State Senator D'Allesandro and Pappy's Pizza owner here in New Hampshire https://t.co/JVYuHGQLEU",
"2015-10-31 ","20:24:33","TimRyan","Best of luck to my friend and a great Board of Education member in Niles, Ohio Sue Longacre. https://t.co/dVXqjKKvr6",
"2015-10-02 ","19:34:07","TimRyan","Celebrating Manufacturing Day at America Makes with junior and senior students from Chaney High School! http://t.co/Kf7b4azsBD",
"2015-10-02 ","16:24:02","TimRyan","Started the day off by speaking at The Trumbull County Court of Common Pleas Probate Division: 35th Annual Seminar. http://t.co/LHAm00BCp8",
"2015-10-02 ","01:08:08","TimRyan","Supporting the Ohio Workers with Big Ed! http://t.co/VDv8ugby6P",
"2015-10-02 ","00:34:16","TimRyan","Ed Schultz motivates the 500 plus crowd in Niles, Ohio! http://t.co/pzg6kmZ3hx",
"2015-10-02 ","00:21:34","TimRyan","Inspiring speech from our future Senator, Ted Strickland! http://t.co/BfuWrnsxV1",
"2015-10-02 ","00:19:17","TimRyan","Great night speaking at the Mahoning-Trumbull AFL-CIO Labor Council Annual Banquet in Niles, Ohio. http://t.co/zhhstOV988",
"2015-10-01 ","01:17:18","TimRyan","This is what we suspected. Republicans wasting millions of taxpayer dollars on a
political witch hunt against Hillary.",
