"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","17:39:27","RepBonamici","Happy National Public Lands Day! Earlier this summer I visited Oregon’s newest marine reserve at… https://t.co/ocsXHnkwpI",
"2016-07-07 ","19:15:06","RepBonamici","RT if you agree: Moments of silence aren’t enough—Congress must pass meaningful legislation to address gun violence. #DisarmHate","DisarmHate"
"2016-07-07 ","19:09:00","RepBonamici","Go team @oregoneducation! Look forward to working together to implement #ESSA and strengthen public education. https://t.co/4BwUB5Dq8U","ESSA"
"2016-06-13 ","22:26:22","RepBonamici","Today I stood on the Capitol Steps with House Chaplin Father Conroy, the LGBT Congressional… https://t.co/uNu3ot7OLt",
"2016-02-26 ","17:19:56","RepBonamici","One of my favorite parts of representing Oregon’s First Congressional District is meeting with… https://t.co/MQZtf99xVY",
"2016-02-25 ","21:57:49","RepBonamici","We need to make sure #ESSA is implemented in ways that support teaching and learning. WATCH:  https://t.co/IZDMwyOve1","ESSA"
"2015-12-03 ","18:57:10","RepBonamici","Bipartisan #transportation bill will strengthen OR, US transportation systems &amp; give certainty to states https://t.co/zZrEH0EC5m","transportation"
"2015-12-03 ","18:26:40","RepBonamici","Berry Gordy at the Capitol! Music can bring us together. https://t.co/jiM9aYJXDh",
"2015-12-03 ","02:12:02","RepBonamici","Combating #oceanacidification is vital to Oregon's economy, fisheries, &amp; people. The time for action is now. https://t.co/D0X52Q4uPy","oceanacidification"
"2015-12-03 ","00:26:03","RepBonamici","Proud to vote for #ESEA bill to strengthen public education, including my provisions to eliminate unnecessary testing and encourage #STEAM","ESEA STEAM"
"2015-12-02 ","21:57:37","RepBonamici","My thoughts are with those in #SanBernardino. Enough is enough. We must do more to keep our communities safe and prevent gun violence.","SanBernardino"
"2015-12-02 ","18:40:31","RepBonamici","Great to hear from @StationCDRKelly @astro_kjell about life on the International Space Station! https://t.co/IYGRwDyMrL",
"2015-11-28 ","19:49:17","RepBonamici","Celebrated #SmallBizSaturday @FlairWalk &amp; @theasvintagepdx to support our local small businesses #shopsmall https://t.co/rQqw5etjQ3","SmallBizSaturday shopsmall"
"2015-10-01 ","22:10:57","RepBonamici","My statement on the tragedy at Umpqua Community College https://t.co/LMoOauDJRk",
"2015-10-01 ","19:25:36","RepBonamici","Horrified by news reports about the shooting at Umpqua CC. My thoughts are with the community, and friends and family of those affected.",
"2015-07-17 ","04:41:17","RepBonamici","The Senate passed a bipartisan bill to reauthorize #OAA today. Time for the House to take action http://t.co/hi1aglaemF.","OAA"
"2015-07-16 ","23:09:51","RepBonamici","Glad Senate passed #ESEA, but there’s still work to do to fix NCLB and increase access to quality education for all: http://t.co/c4BpWIoMeJ.","ESEA"
"2015-07-16 ","20:18:31","RepBonamici","2 yrs since @HouseDemocrats launched #WomenSucceed. #TBT to last year w/@NancyPelosi in #PDX highlighting paid leave. http://t.co/mhpUkawdSx","WomenSucceed TBT PDX"
"2015-07-16 ","19:22:42","RepBonamici","Joined my colleagues to call for action to restore and protect voting rights #VRA. http://t.co/pogMyOWlPJ","VRA"
"2015-07-16 ","02:48:28","RepBonamici","The health of our oceans reflects the health of our planet. Great to meet with advocates from @OurOcean today. http://t.co/1KhVUvbaS3",
"2015-07-16 ","01:43:46","RepBonamici","Great meeting with UO graduate  Andrew Lubash from Beaverton, who was awarded the prestigious Truman Scholarship! http://t.co/EKhJ6VfWmB",
"2015-06-18 ","18:49:28","RepBonamici","The horrific attack on the Emanuel AME Church in SC has left the country devastated and heartbroken #Charleston: http://t.co/tcMiq2CT4E","Charleston"
"2015-06-17 ","19:00:23","RepBonamici","We must do more to address the problem of sexual assault on college campuses. Important meeting with @endrapeoncampus http://t.co/3CNq1igZAO",
"2015-06-12 ","01:38:57","RepBonamici","Great night for some baseball! #cbg2015 http://t.co/lGzL5xtemJ","cbg2015"
"2015-06-11 ","19:24:25","RepBonamici","Spoke on the floor about the importance of addressing #climatechange http://t.co/YYq41ra5s3.","climatechange"
"2014-10-24 ","21:09:29","RepBonamici","Applications for my winter/spring internship program are now open! Apps are due Nov. 14th. More info here: http://t.co/2c7GPOEj38",
"2014-05-24 ","20:05:42","RepBonamici","Portland's water boil alert has been lifted. Here's what to do to make sure your water is safe: http://t.co/ywP5YzfhKC.",
"2014-05-23 ","18:35:01","RepBonamici","A boil water notice has been issued for Portland and some surrounding areas. Check to see if you are affected: http://t.co/nweBdggJG0.",
"2014-05-23 ","01:39:57","RepBonamici","Introduced a bipartisan resolution today recognizing May as Older Americans month: http://t.co/AaKM3KbZAO.",
"2014-04-03 ","18:33:28","RepBonamici","Talked about how to continue to support OR’s thriving wine industry with members of the OR Winegrowers Association. http://t.co/fiRTjnGuH3",
"2014-02-21 ","23:14:11","RepBonamici","Today I delivered meals to Beaverton seniors who rely on Meals on Wheels. I am committed to continuing this program. http://t.co/C52WdIkI5o",
"2013-09-16 ","18:52:07","RepBonamici","Thanks Cover Oregon and others for joining my Affordable Care Act info session for small businesses on enrollment resources and tax credits.",
"2013-06-07 ","20:42:26","RepBonamici","Thanks 2 @pdxcityclub for inviting me to speak about education policy. Tune into @OPB 7pm tonight for the audio! http://t.co/kOYIM0XcYg",
"2013-04-22 ","17:53:30","RepBonamici","#EarthDay is a time to discuss why we need action on #climatechange. It's already affecting #OR01. http://t.co/tsv6zFxN1A","EarthDay climatechange OR01"
"2013-04-22 ","15:32:26","RepBonamici","Another town hall meeting today at 5:30 in Sherwood. I hope to see you there! Details here: http://t.co/Bjqbkbb0mY",
"2013-04-22 ","15:31:52","RepBonamici","Thanks 2 everyone who attended weekend town halls in Beaverton, Forest Grove, Columbia City and Portland! http://t.co/1XZ6cGsLxE",
"2013-03-14 ","16:07:27","RepBonamici","@RepPaulRyan Budget recycles rejected and unbalanced policies http://t.co/nI1l7xpG5f",
"2013-03-14 ","14:15:04","RepBonamici","Thanks 2 @DHarp100mH &amp; Beaverton/Hillsboro students who stopped by - great talk about our education priorities. http://t.co/DbGm6jAJqJ",
"2012-09-28 ","19:18:13","RepBonamici","Great new report from @mainstreetweets on small biz priorities for fed gov't http://t.co/AE9b3l35",
"2012-08-05 ","22:33:15","RepBonamici","The tragic shooting in Wisconsin deeply saddens me. My thoughts &amp; prayers are with the families &amp; victims of this act of senseless violence.",
"2012-07-20 ","13:57:38","RepBonamici","Sending thoughts and prayers to victims of senseless violence and their families in Aurora, Colorado.",
"2012-07-20 ","00:51:24","RepBonamici","Today I voted against the Defense Appropriations bill because it reflects the wrong priorities for Americans.",
"2016-07-07 ","20:40:08","RepSchrader","This puts us on a path to helping those with mental illnesses access treatment &amp; live normal, healthy lives without facing stigma.",
"2016-07-07 ","20:37:07","RepSchrader","The bill expands &amp; improves suicide prevention programs, crisis response systems, &amp; innovative new treatment programs.",
"2016-07-07 ","20:35:04","RepSchrader","Yesterday, we passed a bipartisan bill that makes strides toward reforming our #mentalhealth care system.","mentalhealth"
"2016-07-07 ","20:30:21","RepSchrader","Roughly one in four adults experience mental illness each year yet only half receive treatment services.",
"2016-06-13 ","17:00:11","RepSchrader","Today's your last chance to sign up to participate in a telephone town hall with me tonight at 6pm!https://t.co/fHRZEVD8uC",
"2016-02-25 ","20:17:22","RepSchrader","Great to see members of the Oregon Potato Commission yesterday-- such an important part of our ag community. https://t.co/ipX8rfReQG",
"2016-02-20 ","00:52:59","RepSchrader","Had a great tour of the @PortlandCider Company’s new Clackamas production facility today.",
"2015-12-03 ","18:34:37","RepSchrader","The #FASTAct also reauthorizes the Export-Import Bank which supports thousands of American jobs and businesses - a victory for PNW business.","FASTAct"
"2015-12-03 ","18:32:34","RepSchrader","Just voted for first long-term surface transportation bill Congress has put forward since 2005. This will give our states some certainty.",
"2015-12-03 ","15:53:31","RepSchrader","We now have a bill that rewards student &amp; teacher progress &amp; achievement. https://t.co/DqbVXGiRyp Kudos to my colleagues on their hard work!",
"2015-12-03 ","15:52:17","RepSchrader","I am very pleased that on the 50th anniversary of the ESEA we have finally succeeded in getting rid of No Child Left Behind. #ESEA","ESEA"
