"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","15:52:44","Clyburn","I am deeply saddened by the passing this week of Jacqui Ellis. She was an icon on Capitol Hill; beloved friend, mentor, colleague. RIP",
"2015-10-02 ","14:38:35","Clyburn","LIVE on #Periscope: Renaming ceremony for the J. Waties Waring Judicial Center https://t.co/SAB69qklPl","Periscope"
"2015-10-02 ","14:13:58","Clyburn","I'll be live on #periscope this morning honoring Senator Hollings and discussing his remarkable gesture to rename the Judicial Center in Chs","periscope"
"2015-10-02 ","14:08:51","Clyburn","I'm honored to be with Senator Hollings for the renaming ceremony for the J. Waties Waring Judicial Center. http://t.co/ihZ0B0JKwL",
"2015-10-01 ","00:33:24","Clyburn","My thoughts and prayers go out to the family of Gregory Alia and the Forest Acres community.",
"2015-07-16 ","17:01:04","Clyburn","There's nothing more important to us than the unfettered right to vote. #RestoreTheVRA","RestoreTheVRA"
"2015-06-18 ","23:16:04","Clyburn","I hope everyone will see this as a galvanizing   moment &amp; will come together to find some good out of this evil act. #EmanuelAME","EmanuelAME"
"2015-06-18 ","22:45:06","Clyburn","I do believe with all the bad in this situation that some good will come of this. #EmanuelAME","EmanuelAME"
"2015-06-18 ","19:31:03","Clyburn","""They must not win."" Click here to watch MSNBC’s coverage of my message at today’s prayer vigil: http://t.co/pmqttpFKao",
"2015-06-18 ","16:36:18","Clyburn","Please break your silence. Speak up! If we stay silent, they win. #EmmanuelAME","EmmanuelAME"
"2015-06-18 ","16:13:53","Clyburn","Please pray with me today for the Charleston community as they begin the healing process. #EmanuelAME","EmanuelAME"
"2015-06-18 ","16:13:30","Clyburn","We must take these horrific crimes that are happening across our states and teach our neighbors that hate is not the answer.  #EmmanuelAME","EmmanuelAME"
"2015-06-18 ","16:09:42","Clyburn","Im reminded of the words of MLK ""The ultimate tragedy is not the oppression &amp; cruelty by the bad ppl but silence over that by the good ppl.""",
"2015-06-18 ","16:06:38","Clyburn","I am distraught that this kind of hate still exists in our country and specifically in my home state of South Carolina. #EmmanuelAME","EmmanuelAME"
"2015-06-18 ","16:03:59","Clyburn","My heart goes out to the victims, including Rev. Clementa Pinckney, their friends and family and members of Emanuel AME Church. #EmmanuelAME","EmmanuelAME"
"2015-06-18 ","15:45:39","Clyburn","I am proud of how the Charleston police department and other officials responded to this tragedy. #EmmanuelAME","EmmanuelAME"
"2015-06-18 ","15:33:46","Clyburn","I'm shocked by the stunning news out of Charleston last night. I knew Rev. Clementa Pinckney very well and pray for his family and friends.",
"2015-06-17 ","18:31:36","Clyburn","Thank you to @mitchellreports for having me on your program on @MSNBC today.  https://t.co/Ti9tHHrq1f",
"2014-10-24 ","15:47:54","Clyburn","I was honored to be present for the dedication of the William Clyburn Community Health Center in Aiken today. http://t.co/b7xblplnr4",
"2014-05-23 ","13:49:35","Clyburn","This #MemorialDay, we must uphold our sacred pledge to those who bravely served our country by ensuring they receive the care they deserve.","MemorialDay"
"2014-04-04 ","14:27:55","Clyburn","RETWEET THIS to show that Americans can't afford the #GOPBudget. http://t.co/0RL7cf62ji","GOPBudget"
"2014-04-03 ","22:08:32","Clyburn","#GOPBudget = Path to prosperity for the 1%; path to permanent struggle for working families","GOPBudget"
"2014-02-21 ","21:55:24","Clyburn","Happy birthday to my dear friend and colleague @repjohnlewis. I wish him many more blessed years.",
"2013-09-17 ","19:44:49","Clyburn","#ConstitutionDay reminds us the Constitution was enacted to “form a more perfect union.” We are still striving to achieve that goal.","ConstitutionDay"
"2013-09-16 ","18:19:10","Clyburn","While details of incident at Washington Navy Yard not yet known, my thoughts and prayers go out to the victims of this senseless violence.",
"2013-06-07 ","18:02:01","Clyburn","Big congrats to my friend @John_Dingell on this historic milestone. It is an honor to serve with you in the people's House.",
"2013-03-13 ","21:01:32","Clyburn","""This ain't no joking matter."" Click here to watch my interview with @ThomasARoberts on @MSNBC. http://t.co/2PbBwNLMRB",
"2013-03-13 ","14:32:34","Clyburn","Tune in to @msnbc for my interview with  @ThomasARoberts at 11:00am.",
"2012-12-14 ","22:33:05","Clyburn","No community should fear violence in their schools. We must do whatever it takes to keep this from happening again.",
"2012-12-14 ","22:32:41","Clyburn","As a father and grandfather, my thoughts and prayers are with the victims in CT.",
"2012-08-06 ","20:15:35","Clyburn","Voting Rights Act signed into law on this date in 1965. We can't afford to turn back the clock in 2012! #VoteReady","VoteReady"
"2012-08-06 ","18:32:28","Clyburn","Thoughts and prayers go out to the #Sikh community in WI and throughout the country. All Americans deserve to be safe in houses of worship","Sikh"
"2012-07-20 ","16:04:24","Clyburn","My thoughts and prayers are with the victims of the senseless violence in Aurora, Colorado. I hope God will comfort them in their grief.",
"2012-04-02 ","21:41:41","Clyburn","Great to be back on @Morning_Joe today. Click here http://t.co/WgLGIvLg to watch the clip.",
"2011-09-06 ","16:33:38","Clyburn","Click here http://t.co/ZjUSmBW to read my Op-Ed in today's Washington Post. Three keys to Supercommittee.",
