"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","20:24:53","RepCohen","@anncarsona @bebodie I only know House rules.different for government account and political account.",
"2016-09-24 ","19:25:21","RepCohen","@anncarsona @bebodie can't on government Twitter page but clue is her state co-chairs and her pledged super delegates.",
"2016-09-23 ","20:06:29","RepCohen","Joined #PresidentObama @ WH for reception honoring @NMAAHC opening. Met #HarryBelafonte &amp;others. Saw @TSUedu marching band! #APeoplesJourney https://t.co/joCFQ3Sl4V","PresidentObama HarryBelafonte APeoplesJourney"
"2016-09-23 ","19:56:28","RepCohen","Steve Cohen wins anti-abortion hearing with a history lesson https://t.co/Gd3R012EDb # via @HuffPostPol",
"2016-07-18 ","23:56:28","RepCohen","Although Gov.Haslam has raided funds.Froze Hope Scholarships at $4000;all new $'s for wealthier&amp; less achieving.😪😱👎 https://t.co/JYOFjR2GVR",
"2016-07-18 ","23:47:59","RepCohen","It took 21 years from my introducing #lottery n #Tennessee to passing  implementing laws after '02 referendum.Proud! https://t.co/JYOFjR2GVR","lottery Tennessee"
"2016-07-18 ","23:01:00","RepCohen","The brilliant,beautiful,and melodic Jill Sobule,who may be the most under appreciated songwriter in the world https://t.co/agfdY0We8h",
"2016-07-18 ","22:40:58","RepCohen","But it is nearly,very,very,very nearly a fair representation of the Republican caucus. https://t.co/Bt9iBZwwGL",
"2016-07-18 ","15:35:43","RepCohen","Early voting has started in Shelby County and elsewhere in #Tennessee and runs thru July 30! Be sure and VOTE!It's your duty as an American.","Tennessee"
"2016-07-18 ","02:52:44","RepCohen","@winstondakid $$$$$$",
"2016-07-18 ","02:46:09","RepCohen","We're going to have to take extremely good care of our health and have a lot of luck with accidents and disasters https://t.co/h3JTZNRi3k",
"2016-07-18 ","02:37:21","RepCohen","The ticket! https://t.co/fDVXhanC0e https://t.co/l9CqzDFJeE",
"2016-07-18 ","01:31:28","RepCohen","We're all on this beautiful planet &amp; for a very very short time. So why can't we get along? Perspective needed! https://t.co/D6WwRZyVma",
"2016-07-17 ","19:19:24","RepCohen","@StevenDCSmith I'm friends with your boss.Dont fund raise off of these or any issues.ready shoot aim not attractive tactic.",
"2016-07-17 ","19:09:31","RepCohen","#BatonRouge report of ar? #AR15? &amp; #Congress is on nearly 8 wk. vacation rather than vote on #NoFlyNoBuy or no hi capacity mags.#gunsense","BatonRouge AR15 Congress NoFlyNoBuy gunsense"
"2016-07-17 ","16:58:21","RepCohen","Everybodies at war these days; let's have a mini surrender.I need some sentimental hygiene. Warren Zevon 1987. Unfortunately still true.",
"2016-07-17 ","15:42:43","RepCohen","#BatonRouge.3 #police killed by ambush.Like Nice, France sick, hateful taking of lives. We need peace and love not hate.#MLK #ElieWiesel","BatonRouge police MLK ElieWiesel"
"2016-07-08 ","03:41:58","RepCohen","#DallasPolice have my sympathy.Guns,hate,anger come together in terror attack.Hoping perpetrators are captured and we lose no other officers","DallasPolice"
"2016-07-07 ","16:48:19","RepCohen","Need hearing on Police Training&amp; Indep Rev Act in wake of #AltonSterling &amp; #PhilandoCastile deaths #BlackLivesMatter https://t.co/yLkzvb9SO1","AltonSterling PhilandoCastile BlackLivesMatter"
"2016-07-07 ","14:30:16","RepCohen","62 cosponsors: Must have fair &amp; independent review of #policeshootings. Pass HR 2302 #AltonSterling #PhilandoCastile https://t.co/pgrbja2Xli","policeshootings AltonSterling PhilandoCastile"
"2016-06-13 ","14:30:26","RepCohen","Spoke@ #Ramadan #Memphis #Interfaith dinner&amp; @mglcc #LGBT #OrlandoShooting vigil. Supporting groups fearing violence https://t.co/8mbByijjBD","Ramadan Memphis Interfaith LGBT OrlandoShooting"
"2016-06-12 ","19:12:18","RepCohen","@tampahokie @ReElectCohen I was serving in Congress,as I have been since 07, and was upfront on ban!",
"2016-06-12 ","19:07:52","RepCohen","@stargatedude wrong guy. No one in Tn.has been more for #lgbt rights.Strong supporter in #Congress as well.Expressed regret as #hate crime.","lgbt Congress hate"
"2016-06-12 ","18:24:42","RepCohen","@stargatedude your child has been using your account",
"2016-06-12 ","18:06:40","RepCohen","In wake of #OrlandoShooting, I call on @SpeakerRyan to bring bill to the @HouseFloor banning all assault weapons &amp; high capacity magazines.","OrlandoShooting"
"2016-06-12 ","18:01:30","RepCohen","Saddened &amp; horrified by #OrlandoShooting at #Pulse. Thoughts go out to victims, families, &amp; entire #LGBT community. https://t.co/MPbN1jFVSu","OrlandoShooting Pulse LGBT"
"2016-09-24 ","21:06:40","repjimcooper","@HONashville @MayorMeganBarry a  great day for Nashville!",
"2016-09-23 ","18:48:13","repjimcooper","Proud of the @tsuaristocrat of Bands! https://t.co/c9GSwjWOia",
"2016-09-23 ","15:33:43","repjimcooper","Coach Temple broke barriers and made history from Nashville to the Olympics. What an amazing life, what an amazing man.",
"2016-09-23 ","15:33:26","repjimcooper","Ed was one of the greatest coaches of any sport in history. His TSU Tigerbelles set the standard for track and field.https://t.co/HtRFeU3aWW",
"2016-07-08 ","17:29:19","repjimcooper","The answer is never more violence. We must all work together. Our strength is in our numbers, standing as one. https://t.co/UHNrvSYnXg",
"2016-07-08 ","13:36:20","repjimcooper","All Cooper staff and interns are accounted for. https://t.co/p4602fufcH",
"2016-07-07 ","21:46:10","repjimcooper","This is a home run! The next step of the human genome project will happen in our backyard. Congrats to Vanderbilt! https://t.co/xSSk61sOvq",
"2016-07-07 ","19:22:21","repjimcooper","ICYMI: My remarks in today's OGR Committee hearing with FBI Director Comey. https://t.co/7bL0nUtQwM https://t.co/2KGe1ZFwRb",
"2016-06-13 ","21:27:34","repjimcooper","Members of Congress and Congressional Staff hold a vigil at the Capitol. We stand against hate and #StandWithOrlando https://t.co/mr4C789Zmx","StandWithOrlando"
"2016-06-13 ","01:05:40","repjimcooper","But I am already in Washington for votes tomorrow in Congress. #StandwithOrlando","StandwithOrlando"
"2016-06-13 ","01:03:51","repjimcooper","I wish I could be at the Nashville vigil tonight to support our great mayor in her efforts to mourn our dead and heal our nation.",
"2016-06-13 ","01:02:51","repjimcooper","I stand with all the victims and their families and loved ones, particularly with the LGBT community that was deliberately targeted.",
"2016-06-12 ","17:50:46","repjimcooper","Horrible news out of Orlando. We must be resolute against terrorism &amp; do more to keep guns out of the hands of maniacs who would do us harm.",
"2015-07-16 ","21:30:41","repjimcooper","A horrible day in Chattanooga. My thoughts and prayers are with the victims of another senseless shooting.",
"2015-06-18 ","14:02:12","repjimcooper","A sad day in #Charleston. Praying for victims and families of this horrific shooting.","Charleston"
"2015-06-17 ","16:31:30","repjimcooper","Agree. Everyone should be able to read what Congress is reading. http://t.co/m0Hus5EL4I http://t.co/6WjuBIVcfF",
"2015-06-11 ","16:07:08","repjimcooper","Had the privilege to meet @reganhofmann. Her story is touching, honest &amp; powerful. https://t.co/STsYDV4Rrw #endAIDS @amfAR","endAIDS"
"2014-05-23 ","15:10:27","repjimcooper","The problems at the VA are inexcusable. I’m glad the House passed the VA Management Accountability Act: http://t.co/b1lKPcBhVp",
"2014-04-04 ","20:17:47","repjimcooper","Congress should note RFK’s grace under pressure in one of America's darkest hours. Let’s remember his approach. http://t.co/0Gl1ywq0d0",
"2014-02-20 ","20:48:11","repjimcooper","#TBT to a visit w/ the 42nd #POTUS and a lifelong public servant @billclinton @ClintonFdn http://t.co/xW7d4VVTwe","TBT POTUS"
"2013-09-17 ","18:57:34","repjimcooper","I hope you will join with me in praying for the victims, first responders and families affected by yesterday’s tragedy in Washington.",
"2013-04-22 ","20:46:34","repjimcooper","Happy Earth Day! Can't think of a better way to celebrate than to honor a local student activist. http://t.co/Iy8SmYWuV1",
"2012-12-15 ","02:48:52","repjimcooper","I hope we all will hold our kids closer tonight and think about what we, as adults, can do to stop tragedies like this. http://t.co/4cejjSfp",
"2012-04-02 ","20:23:06","repjimcooper","Deadlines work. Congress should, too. http://t.co/8HBu7jbN",
"2011-10-12 ","20:11:10","repjimcooper","In the presence of heroes at the World War II Memorial http://t.co/K9oqBKXz #honorflight","honorflight"
"2011-09-06 ","20:15:44","repjimcooper","Will civility prevail? http://t.co/F8kd2BW",
"2011-09-06 ","17:55:44","repjimcooper","@WoodardWrites @BostonReview @rosannecash Thanks for sharing.",
"2011-09-06 ","17:12:55","repjimcooper","@calvinhgarner Thanks, Calvin.",
"2011-09-06 ","13:34:33","repjimcooper","@rosannecash Thanks Rosanne.  Hope you're doing well",
