"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","22:00:29","RepVeasey","This weekend we celebrate the opening of @NMAAHC. I hope all Americans have the opportunity to visit and experience history. https://t.co/dYTsrSJay1",
"2016-07-18 ","15:43:21","RepVeasey","Shared my experience growing up in FW &amp; stressed importance of #STEM edu for future of our country at my alma mater https://t.co/zTKoNl5h1f","STEM"
"2016-07-18 ","02:24:45","RepVeasey","#Enough violence. #DisarmHate  https://t.co/XZdnLwsJ4d","Enough DisarmHate"
"2016-07-18 ","01:20:09","RepVeasey","My prayers go out to the #BatonRouge fallen police officers &amp; their families.","BatonRouge"
"2016-07-08 ","22:34:37","RepVeasey","Joining @MSNBC now to discuss how we can support the DFW Metroplex during this tragic time #DallasStrong https://t.co/x2IhaOPWvo","DallasStrong"
"2016-07-08 ","21:04:24","RepVeasey","Tune in NOW as I join @CNNSitRoom w/ @wolfblitzer to discuss last night's horrific shooting #DallasStrong https://t.co/CwAtHqITCx","DallasStrong"
"2016-07-08 ","11:49:28","RepVeasey","The link to my full statement about last night's shooting can be found here: https://t.co/2X1yeyYoif",
"2016-07-08 ","11:48:23","RepVeasey","My thoughts &amp; prayers remain w/ the victims of last night's tragic shooting. We must remember violence never solves violence #DallasStrong","DallasStrong"
"2016-07-07 ","19:17:55","RepVeasey","Proud to stand w/ CBC as we demand justice &amp; accountability when bad actors do not honor pledge to protect &amp; serve https://t.co/CX2xT6Y6Us",
"2016-06-12 ","13:10:32","RepVeasey","Woke up to the horrible news in #Orlando. My thoughts &amp; prayers go out to the individuals and families affected by the tragedy.","Orlando"
"2016-02-25 ","17:03:51","RepVeasey","#OTD in 1870, Hiram Revels became the 1st African-American to serve in the Senate, representing the state of MS. https://t.co/QiJxgFFfxh","OTD"
"2015-12-03 ","16:30:36","RepVeasey","It's an honor to call @RepEBJ a colleague, friend &amp; mentor. Happy Birthday EBJ! https://t.co/IVIudPwV1V",
"2015-12-03 ","13:39:11","RepVeasey","Proud to vote yes on ESSA that gives states &amp; local school districts more say in how students' progress is measured. https://t.co/MV47rhsyei",
"2015-12-02 ","21:48:42","RepVeasey","This wk, I introduced an amdt to HR 8 in support CO2-EOR. It’s a win-win technology for both business &amp; environment. https://t.co/iX57XdKOdA",
"2015-12-02 ","21:38:26","RepVeasey","My thoughts &amp; prayers are with the #SanBernandino community as the tragic events in southern CA unfold.","SanBernandino"
"2015-10-02 ","18:01:12","RepVeasey","#OTD in '67 Thurgood Marshall became the first African-American #SCOTUS justice. His legacy lives on today. http://t.co/JxkEpgM5K2","OTD SCOTUS"
"2015-10-02 ","15:24:41","RepVeasey","Our thoughts &amp; prayers remain with the families affected by yesterday's tragic shooting at Oregon's Umpqua Community College.",
"2015-10-01 ","15:40:26","RepVeasey","We avoided another #GOPshutdown, but we need to stop this cycle of manufactured crises. Let's get to work &amp; invest in the American people.","GOPshutdown"
"2015-07-17 ","14:40:45","RepVeasey","Thanks #TX33 for joining me for #CoffeeWithYourCongressman to share ur concerns like the current status of #ExImBank http://t.co/xnA3VubttV","TX33 CoffeeWithYourCongressman ExImBank"
"2015-07-16 ","12:19:31","RepVeasey","@R_Oben Thank you for speaking about football safety on #TheHill!","TheHill"
"2015-06-18 ","16:28:13","RepVeasey","#OTD in 1983 Dr. Sally Ride became the first American woman in space. As a @SciCmteDems I hope many more women will add to this history.","OTD"
"2015-06-17 ","16:11:55","RepVeasey","Joining #TX33 for the Monday commute on June 22 @ 7 a.m.with @dartmedia at Westmoreland Station for my next #COYC http://t.co/FLJY4JHHwP","TX33 COYC"
"2015-06-11 ","15:28:37","RepVeasey","RT if you agree: Hard-working Americans deserve a Congress focused on their needs, their opportunities &amp; their dreams. #MiddleClassFirst","MiddleClassFirst"
"2014-10-25 ","17:00:54","RepVeasey","My best RTs this week came from: @monicaisliberal @JohnsonForTexas @MARKBIGBUCK #thankSAll via http://t.co/YoeJTq78OQ","thankSAll"
"2014-10-24 ","17:51:20","RepVeasey","Fri, Nov 21 meet w/ potential employers, prepare 4 job prospects, &amp; discover ur career path at the Job Fair http://t.co/gApAcEg5zZ",
"2014-05-23 ","22:00:40","RepVeasey","Check out this week's social media highlights on Storify! https://t.co/OYTyaAZLVu via @storify #MoveInMay","MoveInMay"
"2014-05-23 ","13:24:06","RepVeasey","This #MemorialDay, we must uphold our sacred pledge to those who bravely served our country by ensuring they receive the care they deserve.","MemorialDay"
