"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","23:45:45","GerryConnolly","Recognizing the mission and timeless service of the Vietnamese American Uniformed Services Association at their 8th annual banquet https://t.co/w8t5cjDnVg",
"2016-09-24 ","18:50:19","GerryConnolly","Honored to join @ffxfirerescue &amp; the 500+ at the 2016 Out of the Darkness Walk in support of the American Foundation for Suicide Prevention https://t.co/GZ2mSoFuDd",
"2016-09-24 ","15:49:58","GerryConnolly","Continuing Bob Simon's legacy of inclusion in #Reston at the multicultural festival https://t.co/xn2DPSPl2B","Reston"
"2016-09-24 ","15:42:25","GerryConnolly","Welcoming 25 new citizens at naturalization ceremony in Reston. Welcome fellow Americans!",
"2016-09-24 ","15:33:10","GerryConnolly","#NMAAHC opening helps tell America's story and our continued journey towards equality. Important addition to the Mall. #APeoplesJourney","NMAAHC APeoplesJourney"
"2016-09-24 ","14:34:53","GerryConnolly","Kicking off the 8th Annual NAMI Walk #walktoimagine a world without the stigma of mental health https://t.co/gMTGG71rH8","walktoimagine"
"2016-09-24 ","00:40:48","GerryConnolly","Spoke at the Dispute Resolution Board Foundation's 20th Annual meeting about the importance of innovative infrastructure, including P3s",
"2016-09-23 ","22:34:43","GerryConnolly",".@Yahoo breach is latest in rise of cyber attacks. We must ramp up investment in aggressive cyber policies",
"2016-09-23 ","17:24:22","GerryConnolly","Joined @ChrisVanHollen @RepDonBeyer in urging @USOPM to delay federal employee insurance hike.

https://t.co/4fRzvJeAZe",
"2016-09-23 ","14:40:51","GerryConnolly","My @thehill OpEd on Trump's stunning naiveté of the crisis in Ukraine: ""Trump and Crimea: from Russia with Love"" 

https://t.co/Dk4dW6Ye7l",
"2016-07-18 ","11:56:50","GerryConnolly","Terrible and heartbreaking loss in Baton Rouge. Dedicated and brave public servants who gave their all to their community.",
"2016-07-08 ","16:05:27","GerryConnolly","Another moment of silence on House Floor for another gun tragedy This time Dallas. When do we do something Speaker Ryan?",
"2016-07-08 ","14:38:33","GerryConnolly","Proud to join @RepMarkMeadows to try and give Feds more travel options during #SafeTrack

https://t.co/4CL07Oodo8","SafeTrack"
"2016-07-08 ","11:34:54","GerryConnolly","Terrible, horrific news out of Dallas. 5 officers who bravely served their community lost to senseless gun violence.",
"2016-07-08 ","02:07:53","GerryConnolly","Behind the scenes of @MaddowBlog appearance tonight...talking Director Comey's testimony. https://t.co/4DoI4kdR9Y",
"2016-07-08 ","01:23:11","GerryConnolly","Will join @SteveKornacki on @MaddowBlog to discuss today's OGR hearing with FBI Director Comey. Sadly, more GOP political theater.",
"2016-07-07 ","14:35:58","GerryConnolly","My full statement for today's hearing: 

https://t.co/sy9BfeGuRA",
"2016-07-07 ","14:35:14","GerryConnolly","This is the same FBI Director that was praised by the Chairman and GOP for his handling of the investigation before his announcement",
"2016-07-07 ","14:33:48","GerryConnolly","Of course, we will side step the inconvenient fact that Republican Secretaries of State engaged in
the same practice.",
"2016-07-07 ","14:33:19","GerryConnolly","Now we have called an emergency hearing with less than 24 hours of notice to question the FBI Director’s decision to not charge Secl Clinton",
"2016-07-07 ","14:31:24","GerryConnolly","This Committee is in the habit of discrediting any individual who becomes a subject of its ire",
"2016-07-07 ","14:29:56","GerryConnolly","Gone are the days of bipartisan investigation. OGR Committee, sadly, has become a partisan peddler of misinformation and false narratives,",
"2016-07-07 ","14:29:19","GerryConnolly","At OGR hearing w FBI Dir Comey. His testimony compelling and convincing. GOP attempt to discredit his integrity is fatuous and sordid",
"2016-06-13 ","17:13:58","GerryConnolly","Addressing inaugural InspireTJ Conference on collaboration and achieving measurable results. Thank you @TJColonials https://t.co/TiVzC5Fcao",
"2016-06-13 ","02:40:24","GerryConnolly","Proud to present the Cappie for Best Play @ the Kennedy Center tonight. Congrats to all the awardees! #Cappies2016 https://t.co/o73RaQRfWS","Cappies2016"
"2016-06-12 ","14:48:14","GerryConnolly","Thoughts and prayers are with all those impacted by this senseless and horrific tragedy. This gun violence must end.",
"2016-02-25 ","21:04:35","GerryConnolly","DMV delegation met w/ Kawasaki and stressed urgency of resuming full production and delivery  of 7000 series cars.
https://t.co/fhZwEfz8ZH",
