"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","14:12:23","PeterWelch","But it should also investigate whether #ExxonKnew its product was contributing to #climatechange &amp; failed to disclose those climate risks","ExxonKnew climatechange"
"2016-09-23 ","14:12:04","PeterWelch","Good news @SEC_News is investigating how #ExxonMobil values its assets in a world of #climatechange https://t.co/cnQeIL0Euv","ExxonMobil climatechange"
"2016-07-18 ","18:40:38","PeterWelch","Helped serve kids at Hunt M.S. as part of #SummerMealsProgram. Kids shouldn't go hungry, whether school is in or not https://t.co/Hf8UiIfR0H","SummerMealsProgram"
"2016-07-18 ","14:17:41","PeterWelch","Great to see #VT's new pre-K program giving children a head-start: https://t.co/GSzLf0H4Fo","VT"
"2016-07-07 ","21:16:34","PeterWelch","After being hammered by Irene, pleased that Brandon, #VT got $1.3 mil. @fema grant to plan for future storms: https://t.co/G7IBgeNsFT","VT"
"2016-02-25 ","18:49:22","PeterWelch","Spot on, @TimesArgus: https://t.co/PwZHDoBEuG. #VT must continue to do our part on business &amp; energy innovations that tackle climate change","VT"
"2015-12-03 ","19:25:37","PeterWelch","Another example of #VT being a leader in #energy innovation: https://t.co/mEGZ0FOQdN. Kudos to @GreenMtnPower","VT energy"
"2015-12-02 ","20:05:50","PeterWelch","REMINDER: Peter will be on Facebook today at 5 p.m. to answer your questions in a live Q &amp; A session.",
"2015-11-28 ","14:53:03","PeterWelch","Today is Small Business Saturday -- #shopsmall and support local #VT businesses that do so much for our communities https://t.co/guuUXXKbpE","shopsmall VT"
"2015-10-01 ","19:22:20","PeterWelch","One D, One R, and 4.5 hours in a Chevy. @RepMcKinley &amp; I just started our #BipartisanRoadTrip to West Virginia! https://t.co/kK29V027QB","BipartisanRoadTrip"
"2015-10-01 ","14:49:09","PeterWelch","A big thanks to our #vt #pharmacists, who are so critical to health care access around the state","vt pharmacists"
"2015-07-17 ","12:57:39","PeterWelch","I’ll be on @vprnet @vermontedition today at noon to discuss what’s going on in DC &amp; take your questions. Listen in: http://t.co/1nm9bfFpda",
"2015-06-18 ","14:23:18","PeterWelch","Check out Peter’s Facebook to see video of his reaction to @Pontifex’s encyclical on climate change https://t.co/EWzYHNJB9h",
"2014-10-24 ","16:12:51","PeterWelch","If we are going to move 2 greener energy policy, must acknowledge impact &amp; help coal country workers @NCaplanBricker: http://t.co/CJNsYrLMvm",
"2014-04-04 ","01:28:17","PeterWelch","WATCH: Obama Signs Welch-Authored Gabriella Miller Kids First Research Act   http://t.co/oVS6ZecdzV #vtpoli #VT","vtpoli VT"
"2014-04-03 ","21:52:57","PeterWelch","Great working w/ @GreggHarper &amp; @GOPLeader on #KidsFirst Act in memory of brave GabriellaMiller @smashingwalnuts http://t.co/EfJJtkMJLi","KidsFirst"
"2013-09-17 ","19:08:42","PeterWelch","TUNE IN: I will be on @thecyclemsnbc at 3:20PM.",
"2013-09-17 ","18:38:40","PeterWelch","I'm leading a letter to the President supporting his commitment to not negotiate on the debt ceiling READ MORE http://t.co/25gHUrgRBn",
"2013-09-16 ","18:55:13","PeterWelch","Great meeting you too David (@UVMProvost) and thank you for your leadership.",
"2013-09-16 ","16:56:06","PeterWelch","Today I joined with VT higher ed leaders to announce legislation that addresses nation’s sky rocketing college costs http://t.co/SsUHXGRow1",
"2013-06-07 ","16:44:26","PeterWelch","I'll be in Brattleboro tmrw for @StrollingHeifer, an important event promoting sustainable living and local food systems. #VTneedsaFarmBill","VTneedsaFarmBill"
