Date,Time,screen_name,text,hashtags
9/23/16,15:15:12,RepDennyHeck,WTO ruling is good for WA https://t.co/Hg1D2dmM9m via @theolympian,
7/8/16,0:15:08,RepDennyHeck,"Check out Lakewood's SummerFEST this Saturday, July 9! Something for everyone: https://t.co/OuYo9uyj4v #IAmLakewood",IAmLakewood
7/7/16,19:57:04,RepDennyHeck,@atlemar Thank you for your input.,
7/7/16,19:05:38,RepDennyHeck,@ESTRAsRadioShow Thank you for your question.,
7/7/16,19:04:52,RepDennyHeck,.@ESTRAsRadioShow a bill by @RepJohnConyers I support works to stop racial profiling by law enforcement. https://t.co/E5CUwfIoqX #AskDems,AskDems
7/7/16,18:55:03,RepDennyHeck,Join the discussion in 5 minutes (Noon PT). #DisarmHate #AskDems https://t.co/zjA9bYC0lN,DisarmHate AskDems
7/7/16,16:00:17,RepDennyHeck,Tweet your questions during a @Twitter Town Hall today btw Noon-1PM using #AskDems. #DisarmHate https://t.co/VlyU0ZK6ms,AskDems DisarmHate
7/7/16,2:33:05,RepDennyHeck,Moments of silence aren’t enough—Congress must pass meaningful legislation to address gun violence. #DisarmHate https://t.co/zOo8EY4kIt,DisarmHate
6/12/16,13:48:08,RepDennyHeck,"Horrified by the tragic shooting in #Orlando. My heart goes out to the victims, their families, &amp; the community. https://t.co/McpaqtVsrk",Orlando
2/25/16,22:45:19,RepDennyHeck,House of Representatives Advances the Indian Trust Asset Reform Act https://t.co/R1hMafSibg,
2/25/16,16:37:28,RepDennyHeck,Outstanding work. Thank you for sharing. Together we can #ENDALZ  https://t.co/IDyWpx2w78,ENDALZ
2/25/16,3:45:06,RepDennyHeck,We need more resources in fight against Alzheimer’s https://t.co/SQU9OpySzn https://t.co/8n2KOeDPlW,
2/21/16,21:38:56,RepDennyHeck,"Happy birthday, @repjohnlewis!",
2/21/16,18:24:04,RepDennyHeck,"When I cofounded a business, we hired a #Veteran every chance we could. Here's why: https://t.co/vwLdhPOInb #hirevets",Veteran hirevets
2/20/16,21:24:04,RepDennyHeck,Want to know more about the caucuses &amp; coalitions I'm in? Click here: https://t.co/Dfqv0i2Y6x,
2/20/16,0:02:04,RepDennyHeck,"Are you having a problem with a federal agency? If you live in #WA10, my office can help: https://t.co/NOBjDSE0xM",WA10
12/3/15,19:45:07,RepDennyHeck,Reauthorization of #ExIm4Jobs through 2019 is now one step away from the President’s desk https://t.co/zyuVGpJ8pi #hiphiphooray,ExIm4Jobs hiphiphooray
10/1/15,17:25:51,RepDennyHeck,Boeing Risks Losing $1.1 Billion Jet Order on Ex-Im Shutdown http://t.co/0uy1OcPUnD via @business #ExIm4Jobs,ExIm4Jobs
10/1/15,14:09:24,RepDennyHeck,"Another day in session, another day @HouseDemocrats ask for action to protect our homeland manufacturers. https://t.co/wc8JJm5k3S #ExIm4Jobs",ExIm4Jobs
7/17/15,16:15:08,RepDennyHeck,Great news: @DeptofDefense approved $40.3 million for construction of new Evergreen Elementary at @JBLM_PAO http://t.co/cQnrdRXi12,
7/17/15,1:34:05,RepDennyHeck,More than 200k direct jobs are supported by outdoor recreation in WA. RT&amp; follow @SEEC if you love the outdoors!,
7/16/15,23:45:03,RepDennyHeck,"U.S. outdoor recreation is an economic powerhouse, each year generating $646 billion in consumer spending &amp; 6.1 million direct jobs.",
7/16/15,23:31:04,RepDennyHeck,"Over its 50-yr history, @NPS_State_LWCF has protected land in every state &amp; supported over 41,000 state &amp; local park projects.",
7/16/15,23:00:39,RepDennyHeck,"I asked @fedreserve Chair Janet Yellen some questions on the economy yesterday, you can see the exchange here: https://t.co/U9OUuq8gPX",
7/16/15,22:45:07,RepDennyHeck,#LWCF has preserved our natural &amp; cultural heritage for 50 yrs. We should embrace this tool to conserve iconic #publiclands,LWCF publiclands
7/16/15,21:00:21,RepDennyHeck,Emergency measures needed to protect PWN salmon from extreme heat conditions http://t.co/3o84S0mknx,
7/16/15,17:30:12,RepDennyHeck,Proud to accept @NPCA’s Friend of the National Parks Award. We've got amazing local &amp; state parks in #WA10 too http://t.co/XnI0GdFHkc,WA10
7/16/15,2:56:06,RepDennyHeck,"""Finance chiefs abhor uncertainty. But Washington serves up a new dish of it with regularity."" http://t.co/2SFO0zmxhK #ExIm4Jobs",ExIm4Jobs
6/17/15,15:45:08,RepDennyHeck,Great turnout for the re-launch of the Congressional Singapore Caucus. Learn more: http://t.co/mS5hFObf7d http://t.co/JOuF2986O5,
6/11/15,18:30:22,RepDennyHeck,"My decision on trade promotion authority, also known as fast track: http://t.co/0r6FPAlVBe",
6/11/15,18:00:20,RepDennyHeck,I will oppose this fast track proposal. Read my full statement here: http://t.co/RFe9rcjqX6,
10/24/14,20:36:45,RepDennyHeck,My heart goes out to the families of Marysville-Pilchuck High School today.,
