"Date","Time","screen_name","text","hashtags"
"2016-07-07 ","22:40:53","RepRonKind","Proud to see my leg., the Jason Simcakoski PROMISE Act, headed to House &amp; Senate for final vote. https://t.co/LCU6h27V85",
"2015-12-02 ","21:29:27","RepRonKind","Thanks to everyone who submitted photos to my Hunting Fishing &amp; Outdoor photo contest! Congrats to all four winners! https://t.co/3NvAZ3wq3I",
"2015-06-18 ","16:00:10","RepRonKind","Holmen @NationalHistory Day Participant Madison took a pic w/ my DC staffer &amp; Holmen grad Wade.  CC: @wiholmen http://t.co/dCjnPSSllk",
"2015-06-17 ","20:47:37","RepRonKind","June Diary days are in full swing - hope to see you at a local WI dairy farm this month! Watch my video here:  http://t.co/JlWCTGGhQm",
"2014-02-20 ","21:56:51","RepRonKind","Have you found out if the #ACA can help you too? It's time to #GetCovered at https://t.co/7rzti6v2Fs","ACA GetCovered"
"2014-02-20 ","21:55:34","RepRonKind","There are now less than 40 days left for open enrollment through the exchanges created by the #ACA http://t.co/kM6rqMg8aU","ACA"
"2013-09-17 ","19:55:27","RepRonKind","Peace of Mind is coming Oct 1, 2013, Follow the link to learn more! http://t.co/4EuOQyCm6B http://t.co/6gyAq1qNXR",
"2013-09-16 ","17:58:12","RepRonKind","My thoughts and prayers are with the victims, their families and all those affected by the #NavyYardShooting in Washington DC today.","NavyYardShooting"
"2013-06-08 ","14:55:27","RepRonKind","Tune in now to hear me live on @WYK! Follow the link to find a radio station in your area! http://t.co/kuezUBh5IC",
"2013-06-07 ","20:46:49","RepRonKind","Thanks 2 #ACA, Medicare is firmly funded for 10yrs longer than projected, according 2 Medicare Trustees. RT the news! http://t.co/qRNaHdI1Vv","ACA"
"2013-06-07 ","19:48:03","RepRonKind","Congratulations to my friend Rep @John_Dingell for being the longest serving member of Congress &amp; for all his hard work in public service.",
"2013-06-07 ","14:30:26","RepRonKind","TOMORROW: I'll be on @WYK with @MYFeldman at 10:00 in La Crosse! RT if you'll be listening!",
"2013-04-22 ","17:21:05","RepRonKind","Which #EarthDay issues are most important to you? RT and follow the link http://t.co/bkgCyNEVp4","EarthDay"
"2013-04-22 ","16:40:14","RepRonKind","Happy Earth Day! Follow the link and share which #EarthDay issue is most important to you! http://t.co/KVS2eoHAEq","EarthDay"
"2013-03-14 ","19:22:41","RepRonKind","It's always a pleasure hearing the president speak! @BarackObama http://t.co/aY3dgUyPnf",
"2013-03-14 ","17:11:38","RepRonKind",".@lacrossetribune @WisconsinCheese Congrats to Holland's Family Cheese on being named champion of US Cheese Constest http://t.co/OPBlWsFtrv",
"2013-03-14 ","16:47:19","RepRonKind",".@WhipHoyer @ITI_TechTweets Congratulations, glad to be in attendance!",
"2013-03-14 ","00:13:50","RepRonKind","It was a busy day, a productive day, and I'm always looking for your feedback. Just remember, democracy never rests -RK #Dayinthelife","Dayinthelife"
"2013-03-13 ","21:48:19","RepRonKind","Just finished #votes for the day and ran into my friend Rep. @BruceBraley from Iowa -RK #DayintheLife http://t.co/QlQmff5zML","votes DayintheLife"
"2013-03-13 ","20:56:52","RepRonKind","Got to meet @UWEauClaire graduate, @JustinVasel to talk about federal support for scientific research #DayintheLife http://t.co/BzhWaoP7Ef","DayintheLife"
"2013-03-13 ","20:33:12","RepRonKind","This afternoon has been jam-packed with meetings about retirement, biotech, &amp; the Veteran’s History Project #DayintheLife","DayintheLife"
"2013-03-13 ","18:53:58","RepRonKind","Really great to see Mayor John Kimmel of @wiArcadia &amp; discuss business growth and expansion opportunities in #WI http://t.co/cwicTCFlfY","WI"
"2013-03-13 ","18:41:38","RepRonKind","This week's @HouseNewDems meeting focused on potential structure of comprehensive #immigration reform #DayintheLife http://t.co/of6kgXnKsS","immigration DayintheLife"
"2013-03-13 ","18:04:02","RepRonKind","Nothing makes you feel older faster than a bunch of colleagues singing 'Happy Birthday' during a weekly @HouseNewDem meeting-RK#DayintheLife",
"2013-03-13 ","17:31:58","RepRonKind","After meeting with 2 Higher Ed groups today, what programs should be more accessible in the future? Tweet back w/ answers #DayintheLife","DayintheLife"
"2013-03-13 ","17:02:15","RepRonKind",".@RepRonKind @whiphoyer #budget #dayinthelife http://t.co/tzip8bB9l1","budget dayinthelife"
"2013-03-13 ","16:57:37","RepRonKind","Met w/ @WhipHoyer, President of Center on Budget &amp; Policy Priorities Bob Greenstein to discuss sound solutions to our #budget #dayinthelife","budget dayinthelife"
"2013-03-13 ","15:50:32","RepRonKind","In a @WaysMeansCmte hearing to learn more about US-India Trade relations #DayintheLife http://t.co/ZoNTbDB1Jn","DayintheLife"
"2013-03-13 ","15:36:37","RepRonKind","“@zachvruwink: Pleased @RepRonKind took time out of his hearing to meet w/us from district. #tax #reform #publicfinance #Wi"" #dayinthelife","tax reform publicfinance Wi dayinthelife"
"2013-03-13 ","15:17:16","RepRonKind","Met with Henry Herzing, Chancellor of @Herzing_College before heading down to @WaysMeansCmte hearing #DayintheLife http://t.co/P5tmCAciIO","DayintheLife"
"2013-03-13 ","14:50:50","RepRonKind","Talked with folks from @NAFSA about the future of study abroad programs #NAFSAAD #DayintheLife http://t.co/UeuX0eMLfd","NAFSAAD DayintheLife"
"2013-03-13 ","14:23:21","RepRonKind","Shot the breeze with Bob Schmidt on his morning radio show on WLFN #DayintheLife","DayintheLife"
"2013-03-13 ","14:19:04","RepRonKind",".@HeardontheHill There's nothing like a 5 mile run around the monuments to start the day -RK #DayintheLife","DayintheLife"
"2013-03-13 ","13:58:34","RepRonKind",".@HeardontheHill I started the day by hitting the gym at 6:30 then had an apple and a bottle of water. -RK #DayintheLife","DayintheLife"
"2013-03-13 ","11:31:16","RepRonKind","Looking forward to a busy day of votes, hearings &amp; meetings. Follow along to see pics &amp; ask questions all day during #DayintheLife","DayintheLife"
"2016-09-23 ","18:19:26","RepGwenMoore","53yrs after America was promised #EqualPay, #BlackWomen are still far behind, but it's not too late to change course https://t.co/t7qknYdj36","EqualPay BlackWomen"
"2016-07-18 ","01:41:16","RepGwenMoore","Wishing @MilwaukeePolice Officer Brandon Baranowski a speedy recovery. Thank you for your service to our community. https://t.co/diByr2mn6t",
"2016-07-08 ","20:53:43","RepGwenMoore","As this tragic week comes to a close, let's remember the words of #MLK. Please take care of yourselves &amp; one another https://t.co/Fap1RPCBmp","MLK"
"2016-07-08 ","20:36:42","RepGwenMoore","It was our pleasure, @MoralesPattie! Come back &amp; visit us again soon! https://t.co/daQ8nmfCls",
"2016-07-08 ","18:08:12","RepGwenMoore","Today, I grieve for the families of #AltonSterling #PhilandoCastile @DallasPD &amp; @dartmedia. https://t.co/zkXod6lteZ https://t.co/9h36BQPhQo","AltonSterling PhilandoCastile"
"2016-07-08 ","07:25:23","RepGwenMoore","Too many are mourning in our country tonight. I'm one of them. #DallasPoliceShooting #AltonSterling #PhilandoCastile https://t.co/ZKFJu6RiYM","DallasPoliceShooting AltonSterling PhilandoCastile"
"2016-07-08 ","02:28:55","RepGwenMoore","We hear &amp; see you. We share your frustration. Join us in our collective pursuit of #JusticeForAll! #BlackLivesMatter https://t.co/9DrnqcyRgp","JusticeForAll BlackLivesMatter"
"2016-07-08 ","02:04:21","RepGwenMoore","Protesting w/ DC activists, demanding justice for #AltonSterling #PhilandoCastile #DontreHamilton! #BlackLivesMatter https://t.co/XxigPFyQTt","AltonSterling PhilandoCastile DontreHamilton BlackLivesMatter"
"2016-07-07 ","20:43:30","RepGwenMoore","Too many #BlackMen have been struck down by those who swore an oath to protect them. #PhilandoCastile #AltonSterling https://t.co/fr8OFgFTqa","BlackMen PhilandoCastile AltonSterling"
"2016-07-07 ","18:36:21","RepGwenMoore","So, @HouseGOP refuses to vote to #EndGunViolence because of petty infighting? Get your House in order, @SpeakerRyan! https://t.co/OweIdOF1te","EndGunViolence"
"2016-07-07 ","17:01:43","RepGwenMoore","#PhilandoCastile's mother to @nytimes: “I think he was just black in the wrong place.” #BlackLivesMatter #NotOneMore https://t.co/a6YKVGuKKa","PhilandoCastile BlackLivesMatter NotOneMore"
