"Date","Time","screen_name","text","hashtags"
"2014-10-24 ","18:26:39","RepNickRahall","#HeadStart is key to ensuring that early education opportunities are available to ALL kids and families. http://t.co/EGjsyRzr7X","HeadStart"
"2014-05-23 ","19:35:23","RepNickRahall","This #MemorialDay, let’s remember to Honor our #Veterans and never forget their sacrifice and what we owe them: http://t.co/hnDBFvJfbb","MemorialDay Veterans"
"2014-05-23 ","19:34:18","RepNickRahall","#VAScandal deserves full investigation. No stone should be left unturned n quest 2 find answers/improve access 2 care http://t.co/msn9falOVq","VAScandal"
"2014-05-23 ","16:48:38","RepNickRahall","Read my statement here on #VA Secretary Eric Shinseki: http://t.co/RQheui4fl8","VA"
"2014-04-04 ","20:17:20","RepNickRahall","Read my statement on 4th Anniversary of Upper Big Branch Mine Tragedy: http://t.co/Yp3TnVNwzq",
"2014-04-04 ","19:30:45","RepNickRahall","Read this week’s Rahall Report commemorating WV’s Vietnam Veterans. http://t.co/FtkfL3fcDa #veterans #WVVeterans #WV","veterans WVVeterans WV"
"2014-04-04 ","15:49:21","RepNickRahall","Mobile office until 12:30 at the Wyoming Co. Council on Aging and 1:30 to 3:00 at the McDowell Co. Commission Office. Hope to hear from you!",
"2014-04-03 ","21:27:26","RepNickRahall","Great meeting with President Adelman, Dr. Nemitz, and Mr. Shawver of @WVSOM.  Thank you for sharing your concerns. http://t.co/AHsVR7g4TI",
"2014-04-03 ","21:20:34","RepNickRahall","Happy to welcome the Bertrams of McDowell to the Capitol! Let me know anytime you'd like me to assist your DC visit. http://t.co/3ugz0HLxeJ",
"2014-04-03 ","21:17:36","RepNickRahall","Thank you Bretney Steele for your work on behalf of Cystic Fibrosis @CF_Foundation. http://t.co/SsVBGjaiWV",
"2014-04-03 ","02:45:26","RepNickRahall","Will keep fighting for every possible federal dollar for black lung clinics in WV. #blacklung #WV http://t.co/EmYTwz6Clh","blacklung WV"
"2014-02-21 ","19:36:06","RepNickRahall","Check out new Rahall Report. We must protect and defend the Constitution and our civil liberties. http://t.co/8umlQkpTmY",
"2014-02-20 ","20:55:23","RepNickRahall","At my urging, Pres. dropped bone-headed idea to cut Social Security COLAs -- thank goodness! Message finally sunk in. http://t.co/uiW0HFReMw",
