"Date","Time","screen_name","text","hashtags"
"2016-07-08 ","16:49:27","RepRickCrawford","Just in time for lunch, some grade A District 1 'Cue https://t.co/KFdIXjczSF via @arkansaslife",
"2016-07-08 ","16:24:04","RepRickCrawford","Two important lessons on #Cuba ag trade this week. 1) the will for change is there  2) the policy is solid https://t.co/XFMocU2AZy","Cuba"
"2016-07-08 ","13:09:45","RepRickCrawford","Speaking this morning via phone with @paulharrell1776. Thanks for having me on Paul! https://t.co/PqqwdmkoUC",
"2016-07-07 ","14:36:38","RepRickCrawford","If you're interested in the #catfish inspection controversy, this is a must read: https://t.co/hyYYbUP16U via @farmpress #arkansas #safefood","catfish arkansas safefood"
"2016-06-13 ","18:56:10","RepRickCrawford","Congressman Crawford: Expect more ISIS-related attacks if U.S. doesn't respond swiftly https://t.co/7ZqFFv5eCh",
"2016-06-13 ","13:12:21","RepRickCrawford","I'll be speaking w/ Reaves on @KASUradio at 8:20 CT this morning, tune in!
https://t.co/b5SlAlPIIT",
"2016-06-12 ","22:54:54","RepRickCrawford","My thoughts are with the victims and the families destroyed by the #Orlando shooting","Orlando"
"2016-02-26 ","01:48:41","RepRickCrawford","This week on my show @tuneinAR1, I'm talking #cotton and #cottonseed. Tune-In Saturday on @YouTube or @SoundCloud https://t.co/Cm3gzJQxkS","cotton cottonseed"
"2016-02-25 ","19:31:39","RepRickCrawford","50 jobs coming to Osceola: https://t.co/Pj20mfq37X",
"2016-02-25 ","16:04:56","RepRickCrawford","WATCH me question USDA's Vilsack concerning trade and lending problems https://t.co/a1TV8Byscj via @YouTube",
"2015-12-03 ","22:14:28","RepRickCrawford","Listen to #tuneinar1 on your way home, @repjohnkline joins me to talk #education and the bill replacing #NCLB #ESSA

https://t.co/E7ys6Z6vgz","tuneinar1 education NCLB ESSA"
"2015-12-03 ","20:54:05","RepRickCrawford","Congratulations, well deserved! #AR1 #arpx  https://t.co/cnRlC9UziQ","AR1 arpx"
"2015-12-02 ","14:34:15","RepRickCrawford","I'm at the #DeltaGrassrootsCaucus this morning to highlight the specific challenges that the rural south faces https://t.co/YEVXWryNoq","DeltaGrassrootsCaucus"
"2015-07-16 ","21:09:57","RepRickCrawford","My heart and prayers go out to the families of the #Chatanooga victims.","Chatanooga"
"2015-07-16 ","20:56:00","RepRickCrawford","Thx @RepFrenchHill for joining 2 Episode of @tuneinAR1 to talk TPA and TPP. Episode available here: https://t.co/eyv12GorEz @FrankDScottJr",
"2015-06-12 ","15:20:59","RepRickCrawford","Good to see so many AR-1 #bbq joints on the list. #goodeats    http://t.co/038KOD0QKA","bbq goodeats"
"2015-06-11 ","14:37:49","RepRickCrawford","“Agtech ventures in these ‘flyover states’ are building and deploying…” — @robmillis https://t.co/R6BKSoRtj6 http://t.co/33BIBNj0VW",
"2015-06-11 ","02:56:03","RepRickCrawford","COOL repeal passes the House with exactly 300 votes @ceboudreau",
"2014-05-24 ","19:10:02","RepRickCrawford","Remembering LT Christopher Edward Mosko, @USNavy EOD. KIA in Afghanistan. Awarded Bronze Star, w/ Valor, among many others. cc: @jaketapper",
"2014-05-24 ","13:35:17","RepRickCrawford","#MemorialDay is special for Stacy &amp; me as we remember the men &amp; women who gave their lives so we can be free. A debt we cannot repay. #AR1","MemorialDay AR1"
"2014-04-04 ","01:58:00","RepRickCrawford","Here are a few #arwx and #R8WX folks to follow: @ryanvaughan, @NWSLittleRock, @NWSMemphis. Good follows for severe weather updates #arwx","arwx R8WX arwx"
"2014-04-04 ","01:49:08","RepRickCrawford","As tornado warnings start to come up, please stay safe and seek shelter if you're in the path of a storm! #staysafe #arwx","staysafe arwx"
"2014-04-03 ","11:57:46","RepRickCrawford","Springtime in #AR means the threat of severe weather.  Keep a close eye on the weather and rapidly changing conditions. #staysafe #arwx","AR staysafe arwx"
"2014-04-03 ","00:00:39","RepRickCrawford","Please keep everyone at #FortHood in your thoughts and prayers in the wake of this tragedy.","FortHood"
"2014-02-21 ","20:34:24","RepRickCrawford","I've had a great Friday in SE AR. A big ""thank you"" to former AR House Speaker Robert Moore for hosting our meeting! http://t.co/KeTvAdKRew",
"2014-02-21 ","17:45:14","RepRickCrawford","Thanks to McGehee mayor Jack May for showing me the WWII Japanese American Internment Museum in McGehee. http://t.co/96AQVxWRlv",
"2014-02-21 ","17:37:49","RepRickCrawford","We had a great meeting this morning with officials at the Desha Co. Courthouse Annex in Arkansas City. http://t.co/1rXU1BRW04",
"2014-02-20 ","22:28:39","RepRickCrawford","Congratulations Jonesboro School District's Erin Hodges for winning AR's ""Milken Educator Award"" for best educators. http://t.co/JdERlTDIfW",
"2014-02-20 ","19:21:08","RepRickCrawford","A big day for @ArkansasState as Chancellor Hudson &amp; others break ground on new campus in Mexico. #AState is doing great work! #PackPride","AState PackPride"
"2014-02-20 ","03:05:44","RepRickCrawford","Please keep the family of Zack Towers &amp; community of Star City in your thoughts &amp; prayers.  Saddened to hear of Zack's passing. #prayforzack","prayforzack"
"2016-09-24 ","23:46:18","LtGovTimGriffin","It’s #NationalHuntingandFishingDay! Talking #catfish w/ Big Sarge LIVE TOMORROW at 9AM! @1037TheBuzz","NationalHuntingandFishingDay catfish"
"2016-09-24 ","15:49:46","LtGovTimGriffin","So many kids &amp; families at #AETNFamilyDay! Fun way to celebrate 50 years of @AETN! https://t.co/AUoJfKCGnm","AETNFamilyDay"
"2016-09-23 ","14:40:59","LtGovTimGriffin","El Dorado: TUNE IN to 98.7 KLBQ at 9:15 AM THIS SUNDAY 9/25. Discussing govt reform &amp; South Arkansas food! https://t.co/ROv3elLMpm",
"2016-09-23 ","00:41:42","LtGovTimGriffin","Spoke w/ Magnolia Chamber &amp; Mayor today regarding Amfuel &amp; way forward.",
"2016-07-17 ","18:42:08","LtGovTimGriffin","Another sad day 4 law enforcement &amp; America. Thoughts &amp; prayers are w/ our neighbors in Louisiana. #BatonRouge","BatonRouge"
"2016-07-08 ","20:34:19","LtGovTimGriffin","Words can't express the evil &amp; horror of senseless wounding &amp; killing of police officers. #DallasPoliceShootings https://t.co/qi55iVwxWA","DallasPoliceShootings"
"2016-07-08 ","15:12:33","LtGovTimGriffin","Read the latest version of my newsletter - From the Frontline: Will You Pass It On? https://t.co/DJroK5RUzq",
"2016-07-08 ","13:51:27","LtGovTimGriffin","My prayers are w/ all law enforcement in Dallas, esp the injured and families of the fallen. #Dallas","Dallas"
"2016-07-07 ","17:52:05","LtGovTimGriffin","VIDEO: Pleased to welcome Thomas Hudson, The Walking Veteran, to my office! https://t.co/VpJvd42YR1",
"2016-07-07 ","17:32:13","LtGovTimGriffin","#TBT Check out the curtains in our VW van. Can u spot what's drawn in the dirt on the van? #ThrowbackThursday #1970s https://t.co/edDMVGg4sJ","TBT ThrowbackThursday 1970s"
"2016-02-26 ","19:40:59","LtGovTimGriffin","Honored to take part in @arSTEMfestival! Congrats to all award winners. Proud of your accomplishments! #STEM https://t.co/BVmWXb18To","STEM"
"2016-02-25 ","00:19:28","LtGovTimGriffin","Congrats @greta on 3,500 episodes. Always enjoyed being ""On the Record"" during my time in Congress! #Greta3500 https://t.co/vXEgfJiszU","Greta3500"
"2015-10-02 ","21:02:57","LtGovTimGriffin","2day, I listened to Mississippi Co. school choice supporters. I will work to expand &amp; improve our school choice law! http://t.co/MyZlEp7Cog",
"2015-10-02 ","16:31:35","LtGovTimGriffin","It's AR Manufacturing Day! Over 150K Arkansans are employed by this sector of our economy. Let's act boldly &amp; grow more manufacturing jobs!",
"2015-10-01 ","16:18:15","LtGovTimGriffin","2day, AR Blood Institute opens its doors in LR. They are committed to saving the lives of Arkansans &amp; providing blood to 21 area hospitals!",
"2015-07-16 ","18:53:40","LtGovTimGriffin","ATTENTION STUDENTS: I'm accepting #internship applications for #Fall2015! For more info, click here→ http://t.co/TxdzDv9vJB.","internship Fall2015"
"2015-06-18 ","21:58:26","LtGovTimGriffin","LIVE on #Periscope https://t.co/uazn2FRFyu","Periscope"
"2015-06-18 ","21:00:22","LtGovTimGriffin","Tune in to the CC Review listening tour session by following me on #Periscope @LtGovTimGriffin!","Periscope"
"2015-06-18 ","20:00:20","LtGovTimGriffin","We’ll be live streaming the CC Review Ft. Smith listening tour session via #Periscope. Tune in at 5 pm!","Periscope"
"2015-06-18 ","18:30:18","LtGovTimGriffin","Head over to The Blue Lion in downtown Ft. Smith for our 9th CC review listening tour session. We’ll begin at 5 pm!",
"2015-06-18 ","17:30:17","LtGovTimGriffin","Gov.'s Council on CC Review is hosting a listening tour session at The Blue Lion in Ft. Smith from 5 pm-7 pm. Come on by!",
"2015-06-18 ","16:30:16","LtGovTimGriffin","Our 9th &amp; final CC review listening tour session is tonight in Ft. Smith. See you at The Blue Lion at 5 pm!",
"2015-06-17 ","23:48:20","LtGovTimGriffin","Final Gov.'s Council on Common Core Review listening tour session is tomorrow in Ft. Smith at The Blue Lion. Hope to see you there at 5 pm!",
"2015-06-17 ","00:06:20","LtGovTimGriffin","Outstanding listening tour session in Pine Bluff tonight. Excellent input from parents &amp; educators! http://t.co/s1OaX5SUIm",
"2015-06-12 ","14:40:14","LtGovTimGriffin","Congrats 2 these students on receiving the John F. Notes Scholarship from @AseaArk. Continue 2 work hard in all u do! http://t.co/6yUieYM2oG",
"2015-06-11 ","23:03:25","LtGovTimGriffin","John took over for @BobClausen4 on set of @CapitolViewAR. I'll chat BOE decision &amp; hard work of Council on CC Review. http://t.co/ozVVysvVNI",
"2014-10-24 ","19:46:15","LtGovTimGriffin","Praying for the students attending Marysville-Pilchuck HS &amp; families involved during this tragic event in WA. http://t.co/1f20JK2V9B",
"2014-05-23 ","21:27:34","LtGovTimGriffin","It is an honor to be recognized for my commitment to increasing opportunity &amp; growing American jobs. http://t.co/EpNLJdjQhC",
"2014-04-04 ","20:12:19","LtGovTimGriffin","American hero &amp; civil rights pioneer Dr Martin Luther King Jr was silenced 46 yrs ago today, but his spirit lives on. http://t.co/9RhOn8oR0J",
"2014-04-04 ","14:06:34","LtGovTimGriffin","Thanks to #Obamacare. RT @AP_PersonalFin: Health insurance isn't a year-round thing anymore  http://t.co/IECRUo66kY","Obamacare"
"2014-04-03 ","20:18:59","LtGovTimGriffin","@ko_tech Sure thing. Send an email to tim.griffin AT http://t.co/8npAISuhJL and we'll be happy to help.",
"2014-02-21 ","00:46:12","LtGovTimGriffin","Had a great time earlier at the @ArkCapitalCorp ENO open house. #ar2","ar2"
"2014-02-21 ","00:36:09","LtGovTimGriffin","At the Governor's Mansion for Sandra Wilson Cherry Award Dinner. Proud to help the Gaines House &amp; honor @UALR's Dr. Mary Good. #ar2 #STEM","ar2 STEM"
"2014-02-21 ","00:28:18","LtGovTimGriffin","About to start: #ar2 military Service Academy Orientation at #LittleRock Central High School library. http://t.co/8A6vTiBvXD","ar2 LittleRock"
"2014-02-20 ","18:31:14","LtGovTimGriffin","Speaking to the National Community Pharmacists Association @uams #ar2 @commpharmacy http://t.co/l63XfkY0fn","ar2"
