"Date","Time","screen_name","text","hashtags"
"2012-09-28 ","21:49:59","RepDanLungren","Top Ten Reasons Why Companies Are Leaving California: http://t.co/PpNKHZqT  via @nctimes",
"2012-09-28 ","18:02:13","RepDanLungren","Sunday is the 1250th day since Senate Dems passed a budget. The American people deserve better.",
"2012-09-27 ","21:38:21","RepDanLungren","Very enlightening business tour in Rancho Cordova today. Look for details in my next newsletter.",
"2012-09-27 ","19:48:44","RepDanLungren","Good read - RT @RepRibble: Check out the op-ed I wrote about #taxreform &amp; creating economic certainty for #smallbiz http://t.co/DrqZIr0C","taxreform smallbiz"
"2012-08-06 ","19:49:29","RepDanLungren","Here is the schedule for my upcoming town hall meetings in August. I hope to see you there. http://t.co/dISaoT9q",
"2012-08-06 ","17:10:53","RepDanLungren","My thoughts and prayers go out to the WI Sikh community after the senseless act of violence Sunday.",
"2012-07-20 ","18:55:58","RepDanLungren","Today is the 43rd anniv. of Apollo 11's Neil Armstrong &amp; Buzz Aldrin landing on the moon. Great moment in U.S. history. http://t.co/Ytpmc3hl",
"2012-05-21 ","17:56:59","RepDanLungren","Hosting a town hall meeting with Gen Corp/Aerojet employees today.",
"2012-04-03 ","14:46:19","RepDanLungren","RT: @WashingtonPost's Ruth Marcus (an Obama supporter) - Obama’s unsettling attack on the Supreme Court http://t.co/iVVV2nQa",
"2012-04-03 ","14:29:12","RepDanLungren","Threats of higher taxes,increasing regulatory burden, large increases in govt spending are all growth impediments-http://on.wsj.com/HPGn2Y",
"2012-04-02 ","17:24:10","RepDanLungren","Today is World #Autism Awareness Day.  http://t.co/VTFhRc2O","Autism"
"2012-02-21 ","23:20:26","RepDanLungren","Thank you to all who came to the District Office hrs today. I enjoyed mtg w/each of you. See you @ the T-hall tomorrow. http://t.co/DFny5gsg",
"2011-10-13 ","18:33:07","RepDanLungren","""I wish to have no Connection w/ any Ship that does not Sail fast for I intend to go in harm's way."" Capt J. P. Jones,1778
H/B-day USNavy",
"2011-10-12 ","23:37:23","RepDanLungren","Tonight, I voted with #GOP to open up new markets for US exports- promote job growth & help grow our economy http://t.co/140RKWgF","GOP"
"2011-10-12 ","15:56:28","RepDanLungren","Dept #HomelandSecurity  has been w/o authorization bill since created in '03. Spending the day marking up #DHS auth bill.","HomelandSecurity DHS"
"2009-11-05 ","17:36:02","RepRadanovich","I'm at the rally to defeat #ObamaCare on West front steps of Capitol #tcot http://pic.gd/221572","ObamaCare tcot"
"2009-11-05 ","15:23:40","RepRadanovich","America is getting sick—sick of this Congress's 'government knows best' attitude http://bit.ly/2skrbK #tcot #freemarkethcr","tcot freemarkethcr"
"2009-04-04 ","17:24:35","RepRadanovich","Thanks to those concerned about my Modesto office evacuation--everything is OK--just a tea scare! http://tinyurl.com/dfh9m5 #tcot #teaparty","tcot teaparty"
"2016-06-12 ","22:52:25","DevinNunes","My statement on the #OrlandoTerrorAttack: https://t.co/Q6f2ItvlgG","OrlandoTerrorAttack"
"2015-10-02 ","15:28:30","DevinNunes","I'll be discussing Middle East w/ @RayAppletonKMJ today at 11 am PST. Listen live: http://t.co/V4ZQ7ztTXT. @KMJNOW http://t.co/d66oQ38mdA",
