"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","16:29:06","RepDLamborn","Honored to have joined my colleagues on both sides of the aisle in this call for answers. https://t.co/swWXrrA5h5",
"2016-09-23 ","16:23:09","RepDLamborn","I supported this bill last night, read my full statement here: https://t.co/JSH0ByAswf https://t.co/paBDLblu2P",
"2016-07-18 ","16:36:30","RepDLamborn","Proud of first responders who got this situation under control &amp; kept CO homes and families safe. #HaydenPassFire https://t.co/XO1jfrm97J","HaydenPassFire"
"2016-07-18 ","15:01:07","RepDLamborn","“Anyone concerned about economic opportunity should support this plan” #BetterWay https://t.co/O11lhgV9vz","BetterWay"
"2016-07-17 ","16:38:12","RepDLamborn","Praying for healing and peace in our nation after the tragic events unfolding in #BatonRouge","BatonRouge"
"2016-07-08 ","20:15:38","RepDLamborn","It is an honor to be chosen as one of the select Members of the #FY17NDAA Conference Committee. https://t.co/Ku2v6tVIt2","FY17NDAA"
"2016-07-08 ","18:01:05","RepDLamborn","We must not let violence and hate divide us. I continue to pray that God would bring healing and peace to our nation.#DallasPoliceShootings","DallasPoliceShootings"
"2016-07-08 ","18:00:02","RepDLamborn","I mourn the hateful ambush of the #DallasPoliceDepartment. My prayers are with the families and all of #Dallas. https://t.co/rSUnTfKB0n","DallasPoliceDepartment Dallas"
"2016-06-13 ","21:48:07","RepDLamborn","Talk about regulatory burdens! Click on Colorado to see the impact of federal regulations on our local industries: https://t.co/J7FJUg7LwK",
"2016-06-13 ","19:52:28","RepDLamborn","Veterans know best what they need from the VA. Read personal experiences from Colorado veterans here: https://t.co/8hzlK0Utkf via @Medium",
"2016-06-13 ","15:58:22","RepDLamborn","My thoughts on the horrific attack in #Orlando https://t.co/vbIL5si54Z","Orlando"
"2016-02-26 ","16:55:18","RepDLamborn","Public lands belong to  the American people, not to Washington bureaucrats. https://t.co/3Rkp4hBUsp",
"2016-02-25 ","16:17:50","RepDLamborn","Here's my recent interview w/ @KRDONewsRadio we discussed the VA and President Obama's budget proposal. 

https://t.co/DXgasSvLAT",
"2015-12-03 ","20:06:57","RepDLamborn","For more information on #HR8 please click here: https://t.co/idMbZJOnMX","HR8"
"2015-12-03 ","20:06:16","RepDLamborn","Today we updated energy laws that were stuck in the 70s. RT if you think it's time to maximize our energy potential. https://t.co/XIocWnTQ22",
"2015-12-03 ","16:29:18","RepDLamborn","Colorado Springs stands with #SanBernardino. My thoughts and prayers go out to the families of those harmed in the shootings.","SanBernardino"
"2015-12-03 ","16:09:16","RepDLamborn","Here is a list of resources, provided by the @TheJusticeDept, to help support victims of #CentennialBlshooting 
https://t.co/gbjIz7aXPP","CentennialBlshooting"
"2015-11-28 ","02:45:12","RepDLamborn","Officer Swasey's bravery in the face of danger is a true testament to the heroism of law enforcement professionals.  https://t.co/E6tTYfWy4J",
"2015-11-28 ","02:06:52","RepDLamborn","Update to earlier tweet. A tragic &amp; heartbreaking day in COS. Thoughts &amp; prayers needed for all victims.  https://t.co/8fzAckov61",
