"Date","Time","screen_name","text","hashtags"
"2015-10-01 ","16:03:16","RepJeffMiller","Exposing More Wasteful #VA Spending https://t.co/FWb6cHY57H  #veterans","VA veterans"
"2015-06-12 ","13:45:46","RepJeffMiller","Happy Birthday @GeorgeHWBush",
"2014-05-23 ","19:54:57","RepJeffMiller","I will be on @CNN's State of the Union with Candy @crowleyCNN  to discuss the delays in care #VAScandal.  Show begins at 8 a.m. CT Sunday.","VAScandal"
"2014-05-23 ","15:35:40","RepJeffMiller","My interview on the Kelly File with @megynkelly on @FoxNews about #VAScandal http://t.co/UUhobEp3gS","VAScandal"
"2013-09-16 ","15:16:35","RepJeffMiller","Vicki's and my thoughts and prayers are with those affected by the tragedy at the #NavyYard this morning.","NavyYard"
"2016-07-08 ","19:36:47","AnderCrenshaw","Kind words from @GOPLeader! Privilege to lead fight on #ABLEact law, Financial Services Approps bill. https://t.co/9e4PB3cNI3","ABLEact"
"2016-07-08 ","19:24:49","AnderCrenshaw","One of many reasons bill advances - “We’re getting a handle on the out-of-control spending.” #HouseAppropriationsGOP https://t.co/0ad0rEWydi","HouseAppropriationsGOP"
"2016-07-08 ","13:47:31","AnderCrenshaw","Condemning horrific #Dallas police murders. Praying for brave lives lost to senseless violence, hoping for swift recovery of injured.","Dallas"
"2016-07-08 ","01:31:11","AnderCrenshaw","Led FY 2017 Financial Services Approps Act to passage in House tonight. Cap Hill held accountable to taxpayers.https://t.co/V5iyHxVHQC",
"2016-06-13 ","23:29:38","AnderCrenshaw","https://t.co/whng1OOGIj",
"2016-06-12 ","18:47:50","AnderCrenshaw",". @FLGovScott, @FBI No matter the source, we will not let guard down against terrorism, hatred. #Orlando https://t.co/5Lr2iqPzId","Orlando"
"2016-06-12 ","13:31:49","AnderCrenshaw","This morning, thoughts and prayers are with families, friends, loved ones of Orlando shooting victims.",
"2016-02-26 ","16:58:39","AnderCrenshaw",". @USNavy Asked Defense Secretaru Ash Carter to explain future LCS level plans at  Defense Approps Subcom hearing. https://t.co/u92h7Iqh7p",
"2016-02-25 ","21:52:03","AnderCrenshaw",". @USNavy Questioned DoD Secretary Carter on fleet this a.m. National security requires more ships, including LCS. https://t.co/F2qlHTHDzO",
"2015-12-03 ","17:50:59","AnderCrenshaw","#CCFA on trail to making Capitol HIll #IBDAware.  I'm fighting w/ them for future free from #Crohn's and #Colitis. https://t.co/V2xj5Zssjx","CCFA IBDAware Crohn Colitis"
"2015-11-28 ","17:52:47","AnderCrenshaw","Support small businesses by shopping at them today. #smallbusinesssaturday https://t.co/v7RovpDT50","smallbusinesssaturday"
"2015-11-27 ","14:26:00","AnderCrenshaw","Shopping small tomorrow will support small businesses and their employees. #smallbusinesssaturday","smallbusinesssaturday"
"2015-10-02 ","18:43:42","AnderCrenshaw","Keeping eye on #ElFaro updates. Thoughts, prayers with crew, families. @WOKVNews  @jax_just_in @wjxt4 @FCN2go @ActionNewsJax  @WJCTJax","ElFaro"
"2015-07-16 ","18:04:55","AnderCrenshaw","""Nuclear deal"" good for Iran, bad for United States. Read more about my opposition. http://t.co/jvxqKACHHz",
"2015-07-16 ","17:23:43","AnderCrenshaw","Thoughts with #41, wishing @GeorgeHWBush a speedy recovery!",
"2015-06-18 ","19:16:09","AnderCrenshaw",". @MalariaNoMore  @Novartis @PMIgov At Cap Hill malaria briefing. Strides made, more work ahead to #Defeatmalaria. http://t.co/b52BeHmvOA","Defeatmalaria"
"2015-06-18 ","17:58:42","AnderCrenshaw",". @SayfieReview @Jax_Just_in Voted to repeal medical device tax. Open road for innovation, growth. #devicetax http://t.co/1mgs6aDZNA","devicetax"
"2015-06-17 ","22:12:27","AnderCrenshaw",". @theaward @jax_just_in  Never doubted Sabrina Saintil (l), Jessica Ocampo (r) for a minute. #gotthegold. http://t.co/jGRKfbTJ0v","gotthegold"
"2015-06-17 ","21:42:12","AnderCrenshaw","FY 2016 Financial Services, General Govt Approps Bill makes effective use of taxpayer dollars. http://t.co/73o7KfLVd8 http://t.co/6tpImvO0Lo",
"2015-06-12 ","21:59:25","AnderCrenshaw","Great to see the future leaders from Hendricks Avenue Elementary School on Cap Hill. Thx for taking time to visit! http://t.co/g1pac3rkEF",
"2015-06-11 ","19:28:35","AnderCrenshaw","Just took another vote to keep defense strong. House passed FY 2016 Defense Appropriations Bill with my support. http://t.co/yIO4JIJ5pa",
"2014-10-24 ","19:43:57","AnderCrenshaw","Shining spotlight on achievements of more than 60 NE Florida Vets at 2014 Vets Special Recognition Ceremony on 11/5. http://t.co/zTAYhiR6is",
"2014-04-04 ","21:04:49","AnderCrenshaw","Size, structure of Florida @NationalGuard central in my questioning at Defense Appropriations hearing. http://t.co/T0pQzBoLyj",
"2014-04-04 ","20:57:47","AnderCrenshaw","Congrats Heavy Metal Equipment Resources of Florida, Jacksonville Women’s Business Center on your @SBAGov Awards! http://t.co/In6G1gECuA",
"2014-04-03 ","16:04:41","AnderCrenshaw","Making sure @jax_just_in small biz victories heard on Capitol Hill.@sbagov@jaxchamber http://t.co/vY9nIZyrcC http://t.co/7tNUPBZupZ",
"2014-02-21 ","20:23:12","AnderCrenshaw","Eligible taxpayers learn about filing federal returns online with IRS ""Free File."" Thx @UofNorthFlorida, @ccianet. http://t.co/Xq1EzzKHXw",
"2014-02-20 ","17:55:01","AnderCrenshaw","@UofNorthFlorida with @ccianet on Fri. (2/21) to highlight IRS ""Free File"" program. Hands-on workshop on agenda. http://t.co/Eeach2fjo6",
"2013-09-17 ","19:14:16","AnderCrenshaw","Skilled First Coast workers, OptumRx a winning combination. At ribbon cutting for new JAX customer service center. http://t.co/nsMF0VzwWU",
"2013-09-16 ","20:29:51","AnderCrenshaw","Meninak Club helping to lead the way for so many. Thanks for having me in to give Washington legislative update. http://t.co/S3Df0gKEdf",
"2013-09-16 ","17:44:08","AnderCrenshaw","My thoughts and prayers go out to the innocent victims and families involved in Washington Navy Yard shootings.",
"2013-07-26 ","20:46:19","AnderCrenshaw","Oct. First Coast Defense Expo #FCDExpo will spotlight role of defense industry in protecting nat'l security. #sayfie http://t.co/6OBJCNe7Kk","FCDExpo sayfie"
"2013-03-14 ","20:11:24","AnderCrenshaw","With Supreme Court. Assoc. Justice Anthony Kennedy, Rep. Jose Serrano (D-NY) before Appropriations hearing. http://t.co/XhCqCP1YLl",
"2013-03-14 ","18:47:36","AnderCrenshaw","Pushing to #PasstheABLEAct with great group of supporters at U.S. Capitol. http://t.co/fTTedWe95p http://t.co/fYrffWBbmo","PasstheABLEAct"
"2012-09-28 ","18:04:40","AnderCrenshaw","Listening to managers at Honeywell on Blount Island before touring warehouse facility. http://t.co/6HLnyNFU",
