"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","18:53:14","JackKingston","Why have Obama ""investigators""given immunity to Hillary's top 5 aides if no laws were broken??#CrookedHillary","CrookedHillary"
"2016-09-23 ","22:40:11","JackKingston","Cruz comes home. Ferns interview too much 'Between Two Ferns’ interview:  https://t.co/xFYYzYjW9h via @WSJspeakeasy #AwkwardHillary","AwkwardHillary"
"2016-09-23 ","20:01:59","JackKingston","Obama legacy- 28million uninsured, highest health costs in history. Government bureaucrats telling your doctor what to do. #No3rdTerm","No3rdTerm"
"2015-10-31 ","17:07:04","JackKingston","@jeffroe providing a Grade A yard sign location for @tedcruz at the #WorldSeries last night https://t.co/OkHtHPTOfo","WorldSeries"
"2014-04-03 ","20:41:49","JackKingston","ICYMI - I spoke at Robins Air Force Base on Tuesday about Georgia's role in defending our nation https://t.co/TUFDEHyOQn",
"2013-09-17 ","19:19:31","JackKingston","This morning, I spoke with @timbonole and @MarthaZoller about the Savannah Harbor Expansion Project:  http://t.co/bluogMER8a",
"2013-09-17 ","16:04:38","JackKingston","Join me in welcoming former first lady Laura Bush to Statesboro, GA today! She'll be speaking at Georgia Southern's Hanner Fieldhouse-7pm.",
"2013-09-17 ","11:03:35","JackKingston","I'll be on the air with John Druckenmiller this morning at 7:40am. Listen Live: http://t.co/f4NoE4nRrX",
"2013-09-16 ","21:25:54","JackKingston","Even the labor unions will admit that Obamacare is increasing costs and taking away choices...http://t.co/VrkKAjnSjD",
"2013-09-16 ","17:59:35","JackKingston","Here's the segment from this morning's update from Washington on WTOC's Mid-Morning Live http://t.co/lOaq0LuTO1",
"2013-09-16 ","14:39:35","JackKingston","My thoughts are with all those affected by the #NavyYardShooting 
We hope for a quick capture of the shooter and safety for all in the area.","NavyYardShooting"
"2013-07-27 ","17:48:57","JackKingston","As we mark 60 yrs since end of the Korean War, I continue to fight the unacceptable backlog a the @DeptVetAffairs http://t.co/fyWGVnNBWY",
"2013-07-26 ","02:34:36","JackKingston","Each year illegal immigrants get $4.2 billion bc the IRS won't act.  I introduced legislation to cut off the spigot: http://t.co/VgS5iFFDNT",
"2014-04-04 ","17:10:26","PaulBrounMD","Take a look at my recent op-ed where I defend America's job creators &amp; talk about my bill to jump start job growth http://t.co/GYgVAUYs5y",
"2014-04-03 ","19:07:12","PaulBrounMD","Congratulations to Lisa Vaughn of Oconee County High School, the 2014 State Assistant Principal of the Year!",
"2014-04-03 ","14:59:18","PaulBrounMD","Georgia is keeping those affected by the tragedy at Fort Hood in our hearts and prayers. http://t.co/WMq4x8OOvj",
"2014-02-21 ","23:17:38","PaulBrounMD","ICYMI: Broun Opens District Office, Speaks On CSH http://t.co/qQLUeBMxu5",
"2014-02-21 ","16:54:13","PaulBrounMD","I've said time &amp; again that Obamacare is a job destroyer: The 2.3% excise tax on med devices has already cost 33,000 http://t.co/blzap5Yhcg",
"2014-02-21 ","14:31:09","PaulBrounMD","After criticism from WH, @USCBO stands firm on report that min wage increase will cost 500,000 jobs by 2016 http://t.co/Ub67KEpcy9",
"2014-02-20 ","21:17:38","PaulBrounMD","Don't forget to drop by the open house for my new Milledgeville District Office! I am here until 5 PM. Info here: http://t.co/J2zvUj2p0I",
"2014-02-20 ","20:44:18","PaulBrounMD","I applaud @georgiacouncil &amp; all the individuals who lent support @ today's 16th Annual Disability Day at the Capitol! http://t.co/qnVRn6Tjj8",
"2014-02-20 ","14:33:39","PaulBrounMD","Today I'm having an open house at my Milledgeville District Office from 4-5 PM. Please feel free 2 drop by! More Info:http://t.co/PwpoN8AaCw",
"2013-09-17 ","18:47:44","PaulBrounMD","Happy Constitution Day! Please join me in honoring our nation's greatest safeguard of liberty and freedom http://t.co/c3YncMX12I",
"2013-09-17 ","17:28:00","PaulBrounMD","Another ex of this Administration's failed policies: Today is the 1,000th day avg gas prices have surpassed $3/gallon http://t.co/oXdVDGkQpV",
"2013-09-17 ","15:28:34","PaulBrounMD","New @FoxNews Poll: 7 out of 10 voters are concerned about their personal health care under Obamacare  http://t.co/jMFq7ULt3o",
"2013-09-16 ","16:21:15","PaulBrounMD","Emory health care forced to lay off more than 100 employees, citing #Obamacare as factor in decision http://t.co/8aINecoRy4","Obamacare"
"2013-09-16 ","14:46:44","PaulBrounMD","My thoughts and prayers are with the victims and their families of this morning's #NavyYardShooting.","NavyYardShooting"
"2013-03-14 ","16:33:12","PaulBrounMD","Hope to hear from the folks in Columbia Co. on March 26th at 1 of 2 town halls that day. Click 4 times and location: http://t.co/rUaLrVrEOK",
"2013-03-13 ","19:41:09","PaulBrounMD","After convening w Republican Conference, the President has made his agenda crystal clear - more #taxes, more #spending, and more #government","taxes spending government"
"2012-09-27 ","21:23:08","PaulBrounMD","Thanks to everyone who made it out this afternoon. Always great to hear what's on your mind back in real America. http://t.co/Yj8vIRHR",
"2012-05-21 ","20:22:08","PaulBrounMD","I'll be holding another series of ""Congress on the Square"" in the coming days. Please click here for more info: http://t.co/awJ5JH9M",
"2011-10-13 ","21:36:16","PaulBrounMD","Tonight, I will be voting for the Protect Life Act to stop taxpayer funding of abortion. I will always be an advocate for unborn children.",
"2011-09-07 ","22:21:32","PaulBrounMD","Tune in to Fox and Friends tomorrow morning at 6:15 - I'll be on as lead interview to discuss the GOP debate,... http://t.co/mNwRW32",
"2011-09-07 ","20:00:16","PaulBrounMD","While the President prepares to talk a good game about job creation, his administration is cutting economic growth... http://t.co/MUhXDJw",
"2011-09-07 ","15:56:41","PaulBrounMD","The Washington Post gave the President’s Sept. 5th speech 4 ""Pinnochios"" for being misleading, stating ""Obama’s... http://t.co/zvoaZu5",
"2011-01-09 ","17:06:29","PaulBrounMD","I am shocked and saddened by this horrific tragedy in Tucson, AZ. My prayers are with Congresswoman Giffords'... http://fb.me/OUCLKq21",
