"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","20:01:08","RepDavidYoung","Just a quick reminder of the many services my office provides for #IA03: https://t.co/cJKfi9Ox5D https://t.co/oOvGk1YsR0","IA03"
"2016-09-24 ","14:01:28","RepDavidYoung","Don’t miss my #60SecondSurvey – Sign up, it comes out tomorrow! https://t.co/o1a0aXTDdw #IA03 https://t.co/gJq1kzFm36","60SecondSurvey IA03"
"2016-09-23 ","22:30:13","RepDavidYoung",".@HouseCommerce approved my rural connectivity legislation. Looking fwd to further progress on this bill. https://t.co/aWoGwnf21Z #IA03","IA03"
"2016-09-23 ","21:41:03","RepDavidYoung",".@HouseVetAffairs approved my Veterans Crisis Line improvements bill. It’s ready for a vote in the full U.S. House: https://t.co/Cag8XccioW https://t.co/NP2tjDMiid",
"2016-09-23 ","21:00:50","RepDavidYoung","A topic that comes up often w/ Iowans I meet with is the issue of national security. #WeeklyReport --&gt; https://t.co/T3qNREop8J #ia03 https://t.co/4KRJMS6loK","WeeklyReport ia03"
"2016-09-23 ","19:00:53","RepDavidYoung","#IowanOfTheWeek is Lilly from Council Bluffs – Happy Birthday &amp; thanks for your generosity &amp; kindness. https://t.co/IiqAe7IAbd #IA03 https://t.co/gdz2ItUp0Q","IowanOfTheWeek IA03"
"2016-09-23 ","16:31:13","RepDavidYoung","This #FollowFriday’s for the @USAirForce -Thankful for our airmen &amp; glad to honor their 69th year as a US Military branch! #IA03 #FF https://t.co/ANF9unG8FG","FollowFriday IA03 FF"
"2016-07-18 ","22:01:32","RepDavidYoung",".@DesMoinesYMCA will be at IA Senior Wellness &amp; Security Expos! #IA03 https://t.co/aGYKV7AYm8 https://t.co/2cbAJt9wua","IA03"
"2016-07-18 ","19:01:59","RepDavidYoung","Folks, tomorrow’s the big day – join me! Des Moines Senior Wellness &amp; Security Expo: https://t.co/aGYKV7AYm8 #IA03 https://t.co/mm27AcRYTH","IA03"
"2016-07-18 ","18:01:48","RepDavidYoung","Folks from @ExperienceWorks will be at IA Senior Wellness &amp; Security Expos! #IA03 https://t.co/aGYKV7AYm8 https://t.co/ZnFaDFXVFA","IA03"
"2016-07-18 ","17:40:01","RepDavidYoung","Great tour of @BroadlawnsMed pharmacy this morning! #IA03 https://t.co/ci3h7UYAp2","IA03"
"2016-07-18 ","16:02:14","RepDavidYoung","Are you signed up? Get my weekly e-newsletter delivered to you each week by signing up https://t.co/o1a0aXTDdw #IA03 https://t.co/3CdjmJUox0","IA03"
"2016-07-18 ","00:49:38","RepDavidYoung","Met the 2016 Madison County Fair Queen and King today in Winterset. #IA03 https://t.co/dizeQ3ruPD","IA03"
"2016-07-17 ","22:00:48","RepDavidYoung",".@RedCross will be at upcoming IA Senior Wellness &amp; Security Expos! #IA03 https://t.co/aGYKV7AYm8 https://t.co/gb2tNo2WEw","IA03"
"2016-07-17 ","17:01:04","RepDavidYoung","Looking forward to seeing @EpilepsyFdn at IA Senior Wellness &amp; Security Expos! #IA03 https://t.co/aGYKV7AYm8 https://t.co/D8S6gPRWrp","IA03"
"2016-07-17 ","16:01:11","RepDavidYoung","Iowa Senior Wellness &amp; Security Expos are coming up soon! https://t.co/g8ukJukYwB #IA03 https://t.co/KCx2OXmc18","IA03"
"2016-07-17 ","15:02:25","RepDavidYoung","Great to visit with folks at the Montgomery County Fair yesterday! #IA03 https://t.co/F05wW5uUxM","IA03"
"2016-07-17 ","15:01:09","RepDavidYoung","Have you ‘liked’ my @Facebook page? Stay in the know with updates from me.  https://t.co/OJxVMJWXrR https://t.co/tTAXJC2WT7",
"2016-07-08 ","21:09:21","RepDavidYoung","Seniors are the foundation of our community &amp; must have resources &amp; info they need: https://t.co/HAnFy26PtF #IA03 https://t.co/0f32tSzEKc","IA03"
"2016-07-08 ","19:30:15","RepDavidYoung","It’s our intern Ryan’s last day. Couldn’t let him leave w/o an #InternInterview. WATCH: https://t.co/UUqonko67i #IA03","InternInterview IA03"
"2016-07-08 ","18:43:00","RepDavidYoung","Pleased the House passed a package of crucial legislation I supported to address the #opioid epidemic. https://t.co/KbQ0mGWf89 #IA03","opioid IA03"
"2016-07-08 ","17:51:01","RepDavidYoung","Folks from @AGIowa’s Office will be at upcoming IA Senior Wellness &amp; Security Expos! #IA03 https://t.co/g8ukJukYwB https://t.co/fbaGHAlphl","IA03"
