"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","20:05:27","RepLukeMesser","Check out this week's e-newsletter --&gt; protecting student vets &amp; keeping America safe https://t.co/gHIqIQxZsM",
"2015-12-03 ","19:04:43","RepLukeMesser","Proud to say #Yes2Energy by voting for H.R. 8, The North American Energy Security and Infrastructure Act today! https://t.co/l5PJW9efQV","Yes2Energy"
"2015-12-03 ","18:00:51","RepLukeMesser",".@SpeakerRyan: We owe it to the American people to offer pro-growth agenda. That's what we are going to do. https://t.co/i2l7pfI89j",
"2015-12-03 ","00:34:32","RepLukeMesser","Proud to have voted for #ESEA today to replace #NCLB and end #CommonCore mandates. https://t.co/Rjgckx2EOr","ESEA NCLB CommonCore"
"2015-12-02 ","22:10:34","RepLukeMesser","Congressman Messer supports the Every Student Succeeds Act: https://t.co/GZ4fmwoqyk via @YouTube",
"2015-10-31 ","14:13:34","RepLukeMesser","Happy #Halloween, IN06! https://t.co/0dxExjlIGo","Halloween"
"2015-10-02 ","19:20:13","RepLukeMesser","Had a great time visiting Batesville Middle School today. Thanks for having me, Bulldogs! http://t.co/b5GdEdEBb6",
"2015-10-02 ","15:24:10","RepLukeMesser","Happy to celebrate Manufacturers and the important work they do for our community on #MFGDAY15! http://t.co/JKWczDnAHf","MFGDAY15"
"2015-10-01 ","18:08:22","RepLukeMesser","Excited to highlight Scott County this month! #IN06 https://t.co/4C00qoxHyk","IN06"
"2015-06-18 ","16:44:48","RepLukeMesser","Congratulations to a Muncie staple, Kirk’s Bike Shop, on celebrating their 150th anniversary!  #shoplocal    http://t.co/IEPg3aEPEU","shoplocal"
"2015-06-17 ","18:49:08","RepLukeMesser","Great to have these #IN06 students who are in town for National History Day stop by the office! http://t.co/iPEJ8kk0Uf","IN06"
"2015-06-11 ","11:43:15","RepLukeMesser","Looking forward to chatting with @gretabrawner of @cspanwj this morning re: #IraqCrisis #ISIS #StudentLoans #TPA","IraqCrisis ISIS StudentLoans TPA"
"2014-10-25 ","20:31:02","RepLukeMesser","Thx 4 having me! RT“@ochsfamily @RepLukeMesser - glad you came for a visit #Lowes is a great place to work! Keep up the good work in DC.""","Lowes"
