"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","14:17:53","RepKevinYoder","My full statement on why I'm calling for an investigation into why Deputy Collins' killer was still in the US after his 2001 arrest: https://t.co/YH6w2KD59t",
"2016-09-23 ","14:06:40","RepKevinYoder","I'm calling for an investigation into the immigration status of the man who killed @JOCOSHERIFF Deputy Collins.
https://t.co/2cdp7MpPjG",
"2016-07-18 ","18:34:02","RepKevinYoder","High school &amp; college students: click below for info on internships in my office. Fall applications due July 31st. 
https://t.co/yCb40tmu4b",
"2016-07-18 ","16:54:05","RepKevinYoder","If American families have to balance their budget every month, the federal government should have to as well. https://t.co/ihxYK9w9bC",
"2016-07-08 ","16:21:01","RepKevinYoder","My reaction to the horrific killings in Dallas last night: 
https://t.co/gN9UqXroEK https://t.co/DMYzDqxteK",
"2016-07-07 ","16:07:36","RepKevinYoder","Special to have family of former 3rd Dist. Congressman Larry Winn in my DC off this week! #KS03 https://t.co/8LwO9ClTSI","KS03"
"2016-06-12 ","15:30:30","RepKevinYoder","Our thoughts and prayers go out to the victims of the terrible attack in Orlando. Thankful for law enforcement who saved more than 30 lives.",
"2016-02-26 ","02:05:49","RepKevinYoder","Our thoughts and prayers go out to the victims of this terrible tragedy and their families.",
"2016-02-26 ","02:05:38","RepKevinYoder","As someone who grew up a short while away near Yoder, &amp; whose father went to school in Hesston, tonight's shooting sadly hits close to home.",
"2016-02-25 ","17:17:36","RepKevinYoder","REMINDER: My staff will be hosting office hours TODAY at the Louisburg Library from Noon - 1:30 PM if you need help w/ a federal agency.",
"2016-02-25 ","14:18:41","RepKevinYoder","The real thanks goes to you, @JonathanDMast, and @RachelsPinkHous for your advocacy. Happy to help along the way. https://t.co/bd115a80Pe",
"2015-10-02 ","18:59:02","RepKevinYoder","Happy #NationalManufacturingDay from @VitaCraftUSA! @shawneechamber @CityofShawneeKS @JCCCtweet @KansasCityKSCC http://t.co/vz5u28ZndC","NationalManufacturingDay"
"2015-10-02 ","18:52:40","RepKevinYoder","Thanks to @VitaCraftUSA for showcasing American manufacturing on #NationalManufacturingDay. @hccgkc @KansasChamber http://t.co/btYHqVSrKX","NationalManufacturingDay"
"2015-10-02 ","14:05:02","RepKevinYoder","Great to catch up with @springhillks Chamber of Commerce this morning over coffee. http://t.co/humgBTspkM",
"2015-10-02 ","14:01:32","RepKevinYoder","Enjoyed catching up with Spring Hill Chamber this morning over coffee. Talked a wide range of issues… https://t.co/SiHiPIAqoi",
"2015-10-01 ","18:03:46","RepKevinYoder","House just passed the Justice for Victims of Iranian Terrorism Act. Proud to be a cosponsor. #NotOneCent 
https://t.co/OHoeFu8uRg","NotOneCent"
"2015-10-01 ","16:11:18","RepKevinYoder","Happy Birthday to @KCURUpToDate's @stevekraske! Always enjoy coming on your show with @repcleaver.",
"2015-10-01 ","15:19:20","RepKevinYoder","Today: #NotOneCent for Iran until it pays the $43.5B owed to families of victims of its state-sponsored terrorism
https://t.co/OHoeFu8uRg","NotOneCent"
"2015-07-17 ","22:06:53","RepKevinYoder","Good to have the #Royals back in action after taking down the #NL #AllStars. 19 games over .500 for… https://t.co/BrwYr1AAZ1","Royals NL AllStars"
"2015-07-17 ","16:10:56","RepKevinYoder","“This Madness Must Stop” | Published via @Medium
https://t.co/I9Zml7BTR9",
"2015-07-16 ","20:11:04","RepKevinYoder","Our thoughts and prayers are with the four Marines who were killed today in Chattanooga, TN, their families, and their loved ones.",
"2015-07-16 ","14:51:45","RepKevinYoder","ICYMI: I joined @VarneyCo on @FoxBusiness today to discuss using the power of the purse to stop sanctuary cities.
https://t.co/tGheMjDWiQ",
"2015-07-16 ","14:08:44","RepKevinYoder","Enjoyed joining varneyco this morning on #FoxNews to discuss #sanctuary cities. #Congress has the… https://t.co/pSk97XFG9O","FoxNews sanctuary Congress"
"2015-07-16 ","13:55:09","RepKevinYoder","We're on air live right now! Tune in to @Talk980 to hear about my amendment to defund sanctuary cities. https://t.co/R5E4XIegmX",
"2015-07-16 ","13:48:46","RepKevinYoder","Joining @kmbzdarla in five minutes to discuss defunding sanctuary cities. Tune in to @Talk980 on your radio or visit http://t.co/o7iv6JLLwW.",
"2015-07-16 ","13:06:31","RepKevinYoder","About to join @Varneyco on @FoxBusiness to discuss defunding sanctuary cities. Tune in to see what I have to say.",
