"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","20:11:00","KYComer","Walked the Marion Co Country Ham Days Festival Parade with @SenatorJimmy in Lebanon today. #kypolitics https://t.co/D1AYYXyE2y","kypolitics"
"2016-09-24 ","14:09:29","KYComer","Blessed to have a great crew working our booth at the Casey Co Apple Festival in Liberty this morning. #kypolitics https://t.co/gB5cxQxzlR","kypolitics"
"2016-07-18 ","16:32:56","KYComer","Took a tour of the TN &amp; OH Rivers today aboard a Crounse Boat to learn about the industry...I just had to drive it! https://t.co/MmPPbEcPvY",
"2016-07-17 ","22:10:57","KYComer","TJ &amp; the kids spent the day at the water park in Eddyville while I played golf at Ballard Co Country Club @kyrudy https://t.co/mLc0TuW9RK",
"2016-07-17 ","02:15:55","KYComer","TJ &amp; I ate a great meal at the legendary Patti's Restaurant in Grand Rivers tonight with @mrskyrudy &amp; @kyrudy https://t.co/bhkSP76Ye9",
"2016-07-08 ","20:44:13","KYComer","Saw Rep Richard Heath-a friend of agriculture &amp; a strong voice 4 WKY-today in Mayfield at one of my Graves Co stops https://t.co/O0Yg06Lvt2",
"2016-06-13 ","20:57:59","KYComer","TJ &amp; I celebrated our 13th Anniversary by taking the kids on a 12.5 mile canoe ride down Elkhorn Creek! https://t.co/gxUC898Oxg",
"2016-02-26 ","03:26:27","KYComer","Honored to be joined by some of West Kentucky's finest tonight at the Henderson County GOP Banquet https://t.co/gEY6xcuexJ",
"2016-02-20 ","21:23:48","KYComer","Enjoying a beautiful day outdoors with the family. https://t.co/4dOQ0YOMLA",
"2015-12-03 ","14:17:08","KYComer","Wishing my beautiful  wife &amp; terrific mother @tjcomer03 a very Happy Birthday! The kids &amp; I are very blessed. https://t.co/kMIlhc6m7F",
"2015-12-03 ","01:21:01","KYComer","Very productive day in Muhlenburg, Ohio &amp; Hopkins Counties. Thx 2 everyone who signed on 2 support Comer 4 Congress! https://t.co/btj0PuucbQ",
