"Date","Time","screen_name","text","hashtags"
"2016-07-08 ","12:08:54","RepAndyHarrisMD","The events in Dallas last night are absolutely heartbreaking. Praying for the officers, their families, &amp; all of Dallas. #PrayForDallas","PrayForDallas"
"2016-07-07 ","16:10:53","RepAndyHarrisMD","Very sad to hear of the passing of Tom Marr. He was a true conservative. Prayers for his family and friends. https://t.co/bEUOj3gmBZ",
"2016-07-07 ","13:58:56","RepAndyHarrisMD","I'll be on @wbalradio with @C4Show around 12:15 today to talk about the FBI and Hillary Clinton! Tune in!",
"2016-06-12 ","14:55:41","RepAndyHarrisMD","Heartbreaking news out of Orlando. My thoughts and prayers are with the victims, families, &amp; first responders. #PrayForOrlando","PrayForOrlando"
"2016-02-26 ","18:58:56","RepAndyHarrisMD","Women's History Month is just around the corner...which women in history do you consider to be your role models?",
"2016-02-25 ","15:19:05","RepAndyHarrisMD","Our @HouseAppropsGOP budget hearing on @HHSGov just started. Tune in here --&gt; https://t.co/RI0RR0xkRE",
"2015-07-17 ","14:34:40","RepAndyHarrisMD","Anna is part of the 2015 National Institute of Standards and Technology (NIST) Summer Institute for Science Teachers. http://t.co/aVBeYfnWDd",
"2015-07-17 ","14:33:28","RepAndyHarrisMD","It was great meeting Wicomico Middle School teacher Anna Ball this week in DC. http://t.co/IZJcEAL8NS",
"2015-07-17 ","14:07:28","RepAndyHarrisMD","Berlin, Maryland made Good Housekeeping's list of the Most Beautiful Small Towns in America! http://t.co/4JbOWoOutb",
"2015-07-16 ","20:36:41","RepAndyHarrisMD","My thoughts and prayers are with the families of those who lost their lives in Chattanooga today. #Chattanooga","Chattanooga"
"2015-07-16 ","18:31:03","RepAndyHarrisMD","Glad to work with @RepToddYoung on establishing prize competitions @NIH Check out @NewsfromScience article http://t.co/hztaMhi5Vm",
"2015-06-18 ","12:48:28","RepAndyHarrisMD","Going to be on with @C4Show at 9:35! Tune in to @wbalradio!",
"2015-06-17 ","18:08:14","RepAndyHarrisMD","Congrats to Perryville's track program for recently sweeping the region's track and field meet! http://t.co/cjHUf334Pz",
"2015-06-12 ","19:48:44","RepAndyHarrisMD","Today, I voted against TAA and TPA. Read more on my Facebook page at http://t.co/uztBCxDwPM",
"2015-06-12 ","15:39:28","RepAndyHarrisMD","New issues with Obamacare are hurting Americans across the country every day. http://t.co/eq6vHKle7X",
"2015-06-11 ","19:36:46","RepAndyHarrisMD","What other small towns in the First District should be on this list? #MD01","MD01"
"2015-06-11 ","19:36:31","RepAndyHarrisMD","Bel Air made it into the top 100 Best Small Towns in the U.S. at Livability! #MD01 http://t.co/oEgeWqo05W","MD01"
"2014-10-24 ","12:22:33","RepAndyHarrisMD","I'll scheduled to be on CNN later this morning and will be joining @C4Show on @wbalradio around 1105.",
"2014-05-23 ","14:59:26","RepAndyHarrisMD","Joining @wbalradio for Week in Review segment in a few mins. Addressing #VAScandal &amp; why vets should have option to get care outside of VA.","VAScandal"
"2014-05-23 ","12:01:39","RepAndyHarrisMD","Joining @seanandfrank now! Tune in @WCBM680",
"2014-04-04 ","17:40:09","RepAndyHarrisMD","Joining @jimmymathisshow tomorrow morn at 8:30 am to talk MD health exchange, ACA enrollment numbers, and marijuana. Tune in to @wbalradio!",
"2014-04-04 ","14:25:52","RepAndyHarrisMD","AG Eric Holder won’t answer my ?: Do you agree with the President that marijuana poses less of a threat to public health than alcohol?",
"2014-04-04 ","13:16:33","RepAndyHarrisMD","I'll be asking questions of Atty Gen Holder in a few minutes at @HouseAppropsGOP hearing. You can watch on CSpan3 http://t.co/nnY6110Goz",
"2014-04-03 ","17:15:11","RepAndyHarrisMD","Dr. Ben Carson, fellow former Hopkins physician, joins us at a mtg of the Congressional Health Care Caucus. http://t.co/UxSvm7S99Y",
"2014-04-03 ","16:14:51","RepAndyHarrisMD","My radio interview with @AndyParksTWT @WashTimes will air in just a few minutes. Listen to the live stream here: http://t.co/q4MBOgzHbt",
"2014-04-03 ","15:05:37","RepAndyHarrisMD","Here's a link to the DEA report on marijuana that was cited by DEA Administrator @ yesterday's drug abuse hearing: http://t.co/hULYXsknjW",
"2014-04-03 ","15:02:15","RepAndyHarrisMD","@PokeyPuppyRdr   Hi Rachel. Please see the following DEA report: http://t.co/hULYXsknjW",
"2014-04-03 ","14:36:22","RepAndyHarrisMD","Some members of my great staff who completed training on how to better assist constituents w/Social Security ?s. http://t.co/7vvlYcOTQI",
"2014-02-21 ","14:22:37","RepAndyHarrisMD","On with @JudgeJeanine @FoxNews tomorrow (Sat.) evening around 9:30 pm. Continuing our discussion on the US power grid. Thanks for tuning in!",
"2013-09-17 ","16:48:07","RepAndyHarrisMD","I rarely say this but Warren Buffett's Obamacare comments are right ""What we have now is untenable over time""",
"2013-09-17 ","14:14:28","RepAndyHarrisMD","Key issue relating to sarin gas antidote problems – who will pay to replace faulty drugs? http://t.co/AJWow7SKpJ",
"2013-09-17 ","13:35:11","RepAndyHarrisMD","""Congressman Wants Answers on Sarin Antidote"" http://t.co/AJWow7SKpJ",
"2013-09-16 ","21:04:54","RepAndyHarrisMD","Take a moment and pray for the victims of the #NavyYardShooting http://t.co/U5RzLrCARt","NavyYardShooting"
"2013-09-16 ","17:18:28","RepAndyHarrisMD","Thoughts and prayers to those impacted by the Navy Yard shooting.  Appreciate the first responders and physicians caring for the injured",
