"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","18:43:24","RepPoliquin","Our local fire depts are burdened w/ the high costs of EpiPens. Here's what I'm doing to help: https://t.co/nnetDjrvga #mepolitics","mepolitics"
"2016-07-08 ","20:07:21","RepPoliquin","Today we moved #CARA 1 step closer to law to provide critical resources for ME against #opioid epidemic https://t.co/ACOeOpfTRP #mepolitics","CARA opioid mepolitics"
"2016-07-08 ","19:40:10","RepPoliquin","Our officers in ME &amp; across the Nation put their lives on the line every day to protect our families &amp; communities. #PrayForDallas","PrayForDallas"
"2016-07-08 ","19:00:05","RepPoliquin","Horrific events in Dallas last night. Violence is not acceptable. We must protect all citizens &amp; rights to peaceful protest.",
"2016-07-07 ","21:38:06","RepPoliquin","Big win for 48 #MEjobs at @Auburnmfg: https://t.co/yEXf1ZIhvS #mepolitics","MEjobs mepolitics"
"2016-07-07 ","20:20:00","RepPoliquin","Decision by @CommerceGov is a big win for #MEjobs: https://t.co/GtdrYQPcld #mepolitics","MEjobs mepolitics"
"2016-02-26 ","19:51:40","RepPoliquin","Today, I voted to safeguard law-abiding citizens’ #2ndAmendment rights &amp; protect access to public lands https://t.co/Q38irvOxQa #mepolitics”","2ndAmendment mepolitics"
"2016-02-26 ","15:59:01","RepPoliquin","Congrats to Michaela Shorey, this year’s #ME02 winner of the #CongressionalArtCompetition! https://t.co/VNzc8Nh0Ix https://t.co/fT8DmAYqww","ME02 CongressionalArtCompetition"
"2016-02-26 ","01:49:55","RepPoliquin","BREAKING-Today I sent a letter to @WhiteHouse on the potential national monument designation in Katahdin https://t.co/vOhQHQxaa6 #mepolitics","mepolitics"
"2016-02-25 ","16:44:59","RepPoliquin","Happy birthday to the City of Bangor! You don’t look a day over 225  #mepolitics https://t.co/VTlB29Q2B7","mepolitics"
"2015-12-03 ","20:15:06","RepPoliquin","WATCH: I spoke on the House Floor on my amendment to #HR8, to lower energy prices &amp; create more jobs. https://t.co/bDDzUeQT1n #mepolitics","HR8 mepolitics"
"2015-12-03 ","14:56:30","RepPoliquin","Proud that my amendment was added to #HR8, to create jobs &amp; affordable energy for Maine. https://t.co/W9zx5atsHy #mepolitics","HR8 mepolitics"
"2015-12-03 ","02:12:01","RepPoliquin","My thoughts and prayers go out to all those involved in the attacks in #SanBernadino today.","SanBernadino"
"2015-11-28 ","17:51:36","RepPoliquin","Be sure to support our local 2nd District businesses today during your early Christmas shopping for #SmallBusinessSaturday!","SmallBusinessSaturday"
"2015-10-31 ","15:06:18","RepPoliquin","#HappyHalloween, Mainers! If you are going trick-or-treating tonight, remember to bundle up, be safe, and have a terrific time!","HappyHalloween"
"2015-10-02 ","13:13:41","RepPoliquin","Happy #ManufacturingDay to all of our Maine manufacturers! http://t.co/KZM1fxkVsK #mepolitics #ME02 http://t.co/0UdjEhOolb","ManufacturingDay mepolitics ME02"
"2015-10-01 ","17:54:40","RepPoliquin","The House just passed the NDAA which includes my HUBZone amendment. Read more about it here - https://t.co/dSKyQt3Zvn #mepolitics #ME02","mepolitics ME02"
"2015-07-17 ","16:38:25","RepPoliquin","Poliquin touts ‘Cure’ - http://t.co/46TijUQKRE via @TheMDIslander #mepolitics","mepolitics"
"2015-07-17 ","13:30:23","RepPoliquin","It is times like these when Mainers band together to help our neighbors - http://t.co/Bc1ApqOjBZ #mepolitics #ME02","mepolitics ME02"
"2015-07-16 ","21:49:34","RepPoliquin","Saddened to hear about the news in #Chattanooga. My prayers are with the families &amp; friends who lost their loved ones today #mepolitics","Chattanooga mepolitics"
"2015-07-16 ","20:06:36","RepPoliquin","Seeing Mainers in DC is like a breath of fresh, pine air. Can't wait to visit The County this weekend! #mepolitics http://t.co/4UWpG6CQvU","mepolitics"
"2015-07-16 ","14:19:19","RepPoliquin","These bills will help our Vets transition into civilian life &amp; enjoy the freedoms they fought to protect http://t.co/G2qkZpH4u5 #mepolitics","mepolitics"
"2015-06-18 ","16:39:54","RepPoliquin","Once again, I voted against granting the President #FastTrack trade negotiating authority - http://t.co/1eAQVONVRP #mepolitics","FastTrack mepolitics"
"2015-06-18 ","13:38:22","RepPoliquin","ICYMI: I was on #GHRT to talk #FastTrack, repealing the medical device tax and more. Listen here - http://t.co/qgDQGnJCO8 #mepolitics","GHRT FastTrack mepolitics"
"2015-06-17 ","20:27:54","RepPoliquin","The VA Inspector General report on Togus is out. Read it here - http://t.co/TvcyT6NUa6 #mepolitics","mepolitics"
