"Date","Time","screen_name","text","hashtags"
"2016-07-08 ","16:21:33","RepMoolenaar",".@JohnDingell Happy birthday! Always good to see you at the Capitol. Best wishes for another great year! https://t.co/hLc8SvzDgp",
"2016-07-07 ","22:30:37","RepMoolenaar","I am glad to help this effort to win important compensation for Michigan victims. https://t.co/k6M2bSCVBD",
"2016-02-25 ","21:44:16","RepMoolenaar","It's great to have Amir home in Michigan &amp; to see him in the House of Representatives with @SpeakerRyan. #freedAmir  https://t.co/rV4iCrqc15","freedAmir"
"2016-02-25 ","15:50:21","RepMoolenaar","Good to see you! Thanks for coming by. https://t.co/9rQFjEDIBR",
"2015-10-01 ","19:47:09","RepMoolenaar","Sanctions against Iran should not be lifted until Iran pays victims what they are owed. #NotOneCent. https://t.co/ktdkKsIEkZ","NotOneCent"
"2015-10-01 ","19:46:47","RepMoolenaar","Chief Warrant Officer Kenneth Welch of Michigan was a victim of Iranian sponsored terror in in Lebanon in 1984. https://t.co/V9MdrAsxPW",
"2015-10-01 ","19:46:09","RepMoolenaar","Today, the House passed the Justice for Victims of Iranian Terrorism Act. Iran owes $43.5 billion to terror victims. https://t.co/pZ5Zi7L7Jb",
"2015-07-16 ","21:36:55","RepMoolenaar","The four brave Marines who were killed gave their lives in service to our nation and its ideals. We are forever grateful for their service.",
"2015-07-16 ","21:36:25","RepMoolenaar","My prayers are with the families and friends of those who were killed and injured in the attack in Chattanooga today.",
"2015-07-16 ","20:00:22","RepMoolenaar","This week, the House passed the Steve Gleason Act! It's great legislation that helps those with ALS. #NoWhiteFlags http://t.co/DTHGB4qP6U","NoWhiteFlags"
"2015-06-12 ","19:43:27","RepMoolenaar","It was wonderful to see your group. Thanks for stopping by! https://t.co/9tuLxW0l2j",
"2015-06-12 ","14:12:03","RepMoolenaar","It was great to raise money for charity and build relationships with other members of Congress at the game. https://t.co/ot453YGvLM",
"2015-06-12 ","14:10:32","RepMoolenaar","This morning, I was on the @mibigshow with @RepDanKildee to talk about last night's Congressional Baseball Game. https://t.co/ot453YGvLM",
"2015-06-11 ","14:06:25","RepMoolenaar","Yesterday, I spoke on the floor about HR 2393 to protect MI jobs. The bill passed 300-131. Watch my speech here: https://t.co/2L6uhtRb3l",
"2016-06-12 ","17:01:14","repdavetrott","Saddened by attack in #Orlando. Praying for victims. Reports of Islamic terrorism. America won't be intimidated by sinister ideologies.","Orlando"
"2015-10-01 ","13:54:43","repdavetrott","Calling on @POTUS to put American security ahead of his plans for #SyrianRefugees resettlement. http://t.co/G1e8sCTko9","SyrianRefugees"
"2015-06-17 ","13:03:49","repdavetrott","It was great to talk with Bloomfield Hills High School students in Washington. Thanks for coming by the office! #MI11 http://t.co/Po3uirCd7h","MI11"
"2016-09-23 ","22:20:39","RepDanKildee","I agree @GKButterfield, Congress can't turn its back on #Flint by refusing to #FundFlint in government funding bill https://t.co/2zFpH3OHMX","Flint FundFlint"
"2016-09-23 ","19:34:45","RepDanKildee","@Lily_NEA Thank you for speaking out for Flint families! #FundFlint https://t.co/q85uUTKlKm","FundFlint"
"2016-09-23 ","12:16:19","RepDanKildee","Republicans excluded #Flint aid in the bill to fund the government. Unbelievable. #FundFlint #DoYourJob https://t.co/06QugT7WYN","Flint FundFlint DoYourJob"
"2016-09-23 ","00:02:45","RepDanKildee","People in #Flint have been unable to drink their water for 2 years. It's time for Congress to turn words into action https://t.co/w93R1uxAs7","Flint"
"2016-07-17 ","16:50:23","RepDanKildee","Devastated by news in #BatonRouge. My thoughts are with the families of officers killed &amp; wounded and with all law enforcement this morning.","BatonRouge"
"2016-07-17 ","14:00:22","RepDanKildee","Go explore Flint’s food gardens on the Edible Flint Food Garden Tour Wednesday, July 27th! Register here: https://t.co/KbSJJ0z3yP",
"2016-07-08 ","22:03:20","RepDanKildee","Happy 90th Birthday to my friend and former colleague @JohnDingell! https://t.co/oGJEzKDqmL",
"2016-07-08 ","19:19:43","RepDanKildee","To say I am disappointed in @SchuetteOnDuty decision to defend discrimination in Michigan is an understatement. https://t.co/ckcINjPcKt",
"2016-07-08 ","16:42:48","RepDanKildee","Michael Krol, killed in #Dallas, was from Michigan &amp; a former Wayne County deputy. My heart aches for his loved ones https://t.co/I3yzGlrlYB","Dallas"
"2016-07-08 ","11:40:39","RepDanKildee","Deeply disturbed by attack on law enforcement in #Dallas. My thoughts are with the families &amp; friends of the officers killed and wounded.","Dallas"
"2016-07-07 ","22:00:27","RepDanKildee","Americans deserve to know who is funding elections. Learn more about my efforts to increase campaign transparency → https://t.co/e7lIgPyhD7",
"2016-07-07 ","20:09:37","RepDanKildee","Enough. #AltonSterling now #PhilandoCastile. This disturbing pattern of brutality cannot be ignored- we must demand change #BlackLivesMatter","AltonSterling PhilandoCastile BlackLivesMatter"
"2016-07-07 ","18:26:11","RepDanKildee","Just joined @HouseDemocrats calling for votes on commonsense legislation to keep Americans safe. We must #DisarmHate https://t.co/CZx8clGcbf","DisarmHate"
"2016-07-07 ","17:32:39","RepDanKildee","What a great honor! Thanks Paul and all of @NALC_National for the work you do. https://t.co/LlAXxYTf7j",
"2016-06-13 ","21:06:38","RepDanKildee","Moment of silence at @USCapitol with the @LGBTCSA &amp; Muslim Staff Associations to honor the victims in #Orlando https://t.co/5fy0x2CQan","Orlando"
"2016-06-13 ","18:19:33","RepDanKildee","Congratulations @TawasBraves Boy’s Golf on winning the Division 3 state championship and making school history! https://t.co/lCEOf45MYn",
"2016-06-12 ","13:32:08","RepDanKildee","Tragic news out of Orlando. My thoughts and prayers are with the city, victims and their families.",
"2016-02-25 ","21:09:07","RepDanKildee","Thanks to @SpeakerRyan for welcoming Amir Hekmati to the U.S. Capitol today! #freedAmir https://t.co/moozrgjHfZ","freedAmir"
"2016-02-21 ","19:12:44","RepDanKildee","From @FlintJournal: Business owners impacted by #FlintWaterCrisis to meet with Members of Congress https://t.co/9JPlNVp60x #FlintFWD","FlintWaterCrisis FlintFWD"
"2015-12-03 ","23:15:07","RepDanKildee","Great meeting with the head of the @DetroitZoo in Washington yesterday! Sadly, no animals were in attendance. https://t.co/v3pzfcumNr",
"2015-12-03 ","20:30:21","RepDanKildee","Only four legislative days until another #GOPShutdown. @SpeakerRyan, Congress needs to do its job &amp; pass a budget! https://t.co/fqIx74Wxmc","GOPShutdown"
"2015-12-03 ","17:56:30","RepDanKildee","BREAKING: #SECDEF Carter has announced all combat jobs will be open to women. Your gender shouldn’t determine how you can serve our country.","SECDEF"
