"Date","Time","screen_name","text","hashtags"
"2016-07-07 ","16:38:11","repjohnkline","Unanimous support for bipartisan legislation to strengthen career and technical education. https://t.co/nO7f6stJl4",
"2016-06-13 ","01:00:12","repjohnkline","Vicky and I extend our prayers to families of victims of terrorist attack in Orlando. Stark reminder we are at war w/ Islamist extremists.",
"2016-02-25 ","17:01:10","repjohnkline","Students interested in applying for a nomination to US Service Academies should attend my info session April 25. https://t.co/L9Ipl9gFdu",
"2015-12-03 ","00:25:43","repjohnkline","House just passed bipartisan K-12 bill - a win for parents and students, teachers &amp; state and local school leaders. https://t.co/kqzrBJDFEO",
"2015-12-02 ","19:38:43","repjohnkline","Live on @CSPAN right now. Debate has begun on our bill to replace No Child Left Behind, restore local control. https://t.co/SkIQn8W7Zc",
"2015-12-02 ","19:37:12","repjohnkline","From @AP: House voting on K-12 bill today to ""roll back the federal government's authority"" in our local schools. https://t.co/uRM6lk3PMW",
"2015-12-02 ","17:04:34","repjohnkline","In @WSJ: No Child Left Behind Successor is ""largest devolution of federal control to the states in quarter-century."" https://t.co/vc7ZEitNdT",
"2015-12-02 ","15:45:56","repjohnkline","#ESEA proposal ENDS federal Common Core coercion. https://t.co/2kxXdYCPkn?","ESEA"
"2015-12-02 ","14:29:27","repjohnkline","Last night I visited w/ @hughhewitt to discuss bill to replace NCLB and reduce federal role in our schools. Listen: https://t.co/OSw3pRk4tU",
"2015-10-01 ","21:12:36","repjohnkline","Pleased to play a direct role in ensuring Congress puts our troops, veterans, and families first. https://t.co/uZc2rYQFjF",
"2015-06-12 ","18:53:04","repjohnkline","There's more work to be done to complete the TPA, but I voted for it to bolster Congress' oversight and create jobs http://t.co/s8KghdwlHS",
"2015-06-11 ","20:16:20","repjohnkline","Sadly, more colleagues across the aisle voted to fund Congress than our military. I was proud to vote for our troops. http://t.co/Io2vg9NfpE",
"2015-06-11 ","16:05:19","repjohnkline","Pleased to have worked with my MN colleagues to address vets being blindsided by VA bills years later - unacceptable.http://t.co/533sgasebD",
"2014-05-23 ","19:09:58","repjohnkline","Honoring Minnesota's Fort Snelling Memorial Rifle Squad. http://t.co/BXPWfv23tU",
