"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","20:19:17","RepRyanZinke","@HarrisHealthPR @MilFamClinic thank you for the kind words!",
"2016-07-07 ","23:26:09","RepRyanZinke","Taking away 2nd Amendment rights of law abiding citizens will not defeat ISIS. My 5 point plan will https://t.co/okLeIUXaHD  #2A #ISIS","2A ISIS"
"2016-06-13 ","20:27:00","RepRyanZinke","My staff is on the ground in Baker, ready to assist with FEMA and other  federal agencies. Call Randy at  969-1736 https://t.co/6YynlxwwkT",
"2016-06-12 ","16:26:39","RepRyanZinke","Central Florida authorities are asking for blood donors to help victims of the terror attack in Orlando.",
"2016-06-12 ","14:02:11","RepRyanZinke","Please join Lola and me in praying for the victims, their families, the first responders, and medical professionals as we await more details",
"2016-06-12 ","14:01:55","RepRyanZinke","Saddened to wake up and see so many innocent lives lost in the terrorist attack in Orlando.",
"2015-12-02 ","22:14:01","RepRyanZinke","One step closer to a win for the Crow today on #gatewaypacificterminal","gatewaypacificterminal"
"2015-11-28 ","00:02:47","RepRyanZinke","Tragic day when Americans face off against each other.  My deepest sympathies to the families. Prayers for first responders.",
"2015-10-01 ","18:56:42","RepRyanZinke","It is shameful and below the Office of the Presidency #ndaa #SupportOurTroops #tcot  https://t.co/2dNk4d72ur https://t.co/fZTnTo0fQf","ndaa SupportOurTroops tcot"
"2015-10-01 ","17:17:12","RepRyanZinke","Special Operations Appreciation Month is as much about the heroes at home as it is the heroes on the battle field. https://t.co/ViSEUV2KBe",
"2015-10-01 ","13:35:33","RepRyanZinke","POTUS promising to veto a pay raise for our troops. #Classy #SupportOurTroops #tcot #mtpol http://t.co/RNsqYFESyV","Classy SupportOurTroops tcot mtpol"
"2015-07-17 ","14:51:36","RepRyanZinke","Flying the #Marines Globe &amp; Anchor outside my DC office in respect &amp; remembrance of our 4 fallen heroes #SemperFi http://t.co/0RceQqRqj2","Marines SemperFi"
"2015-07-16 ","19:42:47","RepRyanZinke","Good list. What's your favorite book about #Montana?  https://t.co/ZXHvXM52P3","Montana"
"2015-07-16 ","19:34:51","RepRyanZinke","#TBT to My days as a #frogman  testing M79 grenade launchers at the Yakima Proving Grounds - my… https://t.co/1FKjLMnTeI","TBT frogman"
"2015-06-17 ","17:03:01","RepRyanZinke","Lady Liberty arrived in NY Harbor #OnThisDay in 1885 http://t.co/UPHk3Qq5OE","OnThisDay"
"2015-06-17 ","15:09:31","RepRyanZinke","Have 5 minutes? Here's a good read about America's energy future from @SteveDaines #mtpol  http://t.co/KeIZnshOqy via @usnews","mtpol"
"2015-06-11 ","19:15:31","RepRyanZinke","Happy to meet with Montana 4H yesterday. They came from Dillon, Whitefish, Glendive and everywhere in between. http://t.co/ZfY87r7Z6e",
"2015-06-11 ","18:22:27","RepRyanZinke","Finally, real timber reform for Montana is within reach http://t.co/5C8GiD3v3j #mtpol http://t.co/HbJl3lRjhq","mtpol"
"2015-06-11 ","17:49:23","RepRyanZinke","33lb environmental impact study-I don't support lessening standards but let's streamline process #mtpol @NatResources http://t.co/FymlY5MXBw","mtpol"
"2015-06-11 ","16:32:35","RepRyanZinke","Today is a great day for Montana - my forest reforms passed and so did improving rural power reliability in @natresources committee. #mtpol","mtpol"
"2015-06-11 ","15:14:31","RepRyanZinke","GREAT News https://t.co/r79e9PVUmL",
"2015-06-11 ","14:31:52","RepRyanZinke","Suing isn't a ""pesky challenge"" to the @forestservice  - it completely derails the important work collaboratives do. @NatResources #mtpol","mtpol"
"2015-06-11 ","14:25:52","RepRyanZinke","If an org sues against a collaborative project they chose to not participate in it's not their right to have taxpayer fund it @NatResources",
"2015-06-11 ","14:18:29","RepRyanZinke","Rural timber communities have seen their econs decimated by frivolous litigation but thanks to HR2647 that could all change. @NatResources",
