"Date","Time","screen_name","text","hashtags"
"2016-02-26 ","13:49:07","RepDavidRouzer","USDA Secretary Vilsack discussed our nations’ rural economy during this week's @houseagnews… https://t.co/Y67H4UK56i",
"2015-12-03 ","19:46:27","RepDavidRouzer","My amendment to protect consumers &amp; manufactures from #EPA regulations passed the House today by way of #HR8. https://t.co/0WGbP9oRiM","EPA HR8"
"2015-12-03 ","16:44:21","RepDavidRouzer","My amendment to protect consumers and small businesses from a recent EPA regulation on wood… https://t.co/otac0diaXb",
"2015-12-02 ","15:55:34","RepDavidRouzer","Examining the safety and soundness of the Farm Credit System in today’s  @houseagnews hearing.… https://t.co/PYyZ4qNF3p",
"2015-10-01 ","19:44:34","RepDavidRouzer","Please keep the victims and their families of Umpqua Community College in your thoughts and prayers.",
"2016-09-24 ","19:25:14","RepMarkWalker","Lots of NC history in @NMAAHC. The lunch counter at F.W. Woolworth store that the Greensboro Four sat at is inside. #APeoplesJourney #NC06 https://t.co/NbjeBMwXju","APeoplesJourney NC06"
"2016-09-24 ","19:21:03","RepMarkWalker","If anyone in #NC06 would like to visit, our DC office would love to help anyway we can. Just give us a call. https://t.co/kh81WraUDy","NC06"
"2016-09-24 ","19:19:23","RepMarkWalker","The @NMAAHC is powerful and moving. You can't walk through this museum without your heart being moved in incredible ways. #APeoplesJourney https://t.co/XZf37RiLqh","APeoplesJourney"
"2016-09-24 ","16:12:58","RepMarkWalker","Great time today at the Greensboro Run/Walk for Autism. Enjoyed seeing my friend Wanda Curley and meeting Team Devin – one fast family. https://t.co/QAmPW95hGu",
"2016-09-24 ","15:39:50","RepMarkWalker","As the @NMAAHC opens today, check out this time-lapse video to see the more than 4-yr construction project come together. #APeoplesJourney https://t.co/pfB7eGCGDd","APeoplesJourney"
"2016-09-23 ","23:45:58","RepMarkWalker","Best wishes to Mt. Airy as they host Mayberry Days this weekend! #NC06 https://t.co/SC7JkcjmJ4","NC06"
"2016-09-23 ","20:54:20","RepMarkWalker","Congrats @GSOUrbanMin, Open Door Ministries, @nwncfoodbank on getting $100k from @flyfrompti to continue their great work in our community. https://t.co/cAezgAObSR",
"2016-09-23 ","15:38:20","RepMarkWalker","Hey @HillaryClinton, call your office. https://t.co/JGCAWc6rUd",
"2016-09-23 ","14:04:27","RepMarkWalker","Great meeting Jamahn from @cspan this morning. He is from CLE, but has family in GSO. And just like any good NCer, he loves @CookOut. https://t.co/c6jRyfnnAP",
"2016-09-23 ","11:43:23","RepMarkWalker","About to go in with @cspanwj. Tune in on @cspan. https://t.co/WUbuR3EyQy",
"2016-07-08 ","20:53:01","RepMarkWalker","The House took action to combat drug overdose and the opioid epidemic today by passing #CARA https://t.co/XOkDhPx2p0 https://t.co/gazircif9V","CARA"
"2016-07-08 ","13:28:23","RepMarkWalker","I'm grateful for these Blue Lives serving and protecting members and visitors everyday. #CapitolHillPolice https://t.co/PAMa6MMngO","CapitolHillPolice"
"2016-07-08 ","04:28:04","RepMarkWalker","This picture from a Dallas hospital emergency room is heartbreaking. No excuse for this ambush. #PrayersforDallas https://t.co/PCBC43Ejoo","PrayersforDallas"
"2016-07-08 ","03:54:08","RepMarkWalker","@albertmohler Some are desperately trying. Tough moment to take a swipe at those of us serving to make a difference.",
"2016-07-08 ","03:32:15","RepMarkWalker","This is sad day in America. My heart is heavy. Praying for the victims and families in Dallas, as well as those in Baton Rouge and St. Paul.",
"2016-07-07 ","22:24:58","RepMarkWalker","Congrats to Big Burger Spot and Hops Burger Bar in GSO - both named a top 50 burger in the US by @businessinsider. https://t.co/9DNQd9XzSU",
"2016-07-07 ","20:40:30","RepMarkWalker","5 Things You Should Know About the FBI Hearing With James Comey https://t.co/IiULh3vzuD #ComeyHearing https://t.co/lILMKQpRIS","ComeyHearing"
"2016-07-07 ","20:04:58","RepMarkWalker","Convenience is no excuse for jeopardizing our national security. No one is above the law. #ComeyHearing https://t.co/rbveuw4HNA","ComeyHearing"
