"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","21:59:14","RepKevinCramer","The House passed three bills this week that strengthen accountability with Iran and the Ukraine.  @HouseCommerce
https://t.co/UWX8sm9Vug",
"2016-09-23 ","19:42:18","RepKevinCramer","Unanimous court ruling against Obama Admin regulatory overreach. Victory for ag retailers &amp; farmers. @HouseCommerce
https://t.co/zfNUxeJIja",
"2016-09-23 ","15:54:18","RepKevinCramer","Putting politics aside, no one should be denied healthcare due to pre-existing conditions. #EndPreExistingConditions https://t.co/TAcf9PcRfB https://t.co/ZeBwrya4s9","EndPreExistingConditions"
"2016-09-23 ","01:36:01","RepKevinCramer","Today's Northern Tier Nuclear Triad is very relevant to national security &amp; overall global security. @HouseCommerce https://t.co/woTnWXdica",
"2016-07-18 ","12:43:59","RepKevinCramer","Join me for a live discussion on U.S. energy policy @HouseCommerce @Atlantic_LIVE #TheAtlanticRNC https://t.co/5NbRv9XKrg","TheAtlanticRNC"
"2016-07-08 ","17:26:37","RepKevinCramer","House voted Nat Defense Auth Act to conference. It's vital military has what it needs to defend U.S. https://t.co/f7G6B4dWI4 @HouseCommerce",
"2016-07-08 ","02:02:36","RepKevinCramer","House passes Financial Services Approps bill tonight targeting spending, customer service &amp; security.@HouseCommerce https://t.co/5YyCqwBwSo",
"2016-07-07 ","19:18:13","RepKevinCramer","Today’s @HouseCommerce Obamacare report on illlegal use of $7 billion demonstrates unprecedented obstruction.  https://t.co/lxgCZQYtwJ",
"2016-07-07 ","13:59:12","RepKevinCramer","The House just passed H.R. 4361, with common-sense reforms for greater federal agency transparency. https://t.co/Df0tyGNzqp @HouseCommerce",
"2016-02-26 ","22:50:24","RepKevinCramer","@POTUS abandons #Israel &amp; refuses to enforce laws against #BDS in Trade Facilitation and Trade Enforcement Act - https://t.co/0PzNZjMEaQ","Israel BDS"
"2016-02-26 ","20:31:59","RepKevinCramer","I spoke on House floor in honor of Officer Jason Moszer. God Bless all the men and women who wear the badge. https://t.co/KysrYKtuH1",
"2016-02-26 ","14:58:34","RepKevinCramer","I will join @JTKNOXRADIO at 10:05 AM Central to take your calls. Tune in - https://t.co/2JNKGeVOT3  #NDPOL https://t.co/uUugLuX1jZ","NDPOL"
"2016-02-25 ","19:20:19","RepKevinCramer","Tune in 6:30 PM (CST) as I join @chrisberg630POV  on @ValleyNewsLive Point Of View https://t.co/UFlDe0FOmP  #NDPol https://t.co/YKv7xKOtdt","NDPol"
"2015-12-03 ","20:40:45","RepKevinCramer","Here's the 2015 Capitol Christmas Tree https://t.co/a5nK73mV0Q via SpeakerBoehner",
"2015-12-03 ","19:33:28","RepKevinCramer","Time to update our energy laws.We must maximize our nation's energy potential. #Yes2Energy - https://t.co/QUOVeuRl4p https://t.co/KDPPJwISac","Yes2Energy"
"2015-12-03 ","19:10:45","RepKevinCramer","After a decade of short-term extensions, #Congress finally passed a fully-funded long-term highway. #FASTAct #NDPOL https://t.co/t5K11N41VT","Congress FASTAct NDPOL"
"2015-12-03 ","00:30:35","RepKevinCramer","Bipartisan proposal to replace #NCLB  restores local control, empowers parents &amp; stops #CommonCore coercion #ESEA - https://t.co/ZVrhPPg7qR","NCLB CommonCore ESEA"
"2015-12-02 ","22:28:00","RepKevinCramer","House Led Coalition Prevails on Repealing #cropinsurance Cuts - https://t.co/marwE9omNy - #agriculture #farmbill  #NDPol","cropinsurance agriculture farmbill NDPol"
"2015-12-02 ","15:51:20","RepKevinCramer","Time to reform our #education system &amp; stop #CommonCore. Get the facts on Every Student Succeeds Act #ESEA #NCLB https://t.co/wCI1CDFgkC","education CommonCore ESEA NCLB"
"2015-12-02 ","14:48:21","RepKevinCramer","#ESEA proposal prohibits sec. of ed. from coercing states into adopting #CommonCore https://t.co/ho83P1tHLE","ESEA CommonCore"
"2015-12-02 ","14:17:18","RepKevinCramer","I will join @scotthennen for a Talk Radio #townhall at 10:05 AM (Central) today - https://t.co/WtOiYQLTAF","townhall"
"2015-12-02 ","14:13:07","RepKevinCramer","@WSJopinion #ESEA  would “represent the largest devolution of federal control to the states in a quarter-century.” https://t.co/lofMCFMChz","ESEA"
