"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","21:34:26","RepAdrianSmith","When NE's largest insurer drops from #Obamacare marketplace, what more proof do we need Obamacare isn't sustainable? https://t.co/Nk8ZcLSawB","Obamacare"
"2016-07-08 ","17:07:43","RepAdrianSmith","To ensure access to quality care, rural hospitals need regulatory relief. #RegulationRewind @WaysandMeansGOP https://t.co/EQAc65tuzy","RegulationRewind"
"2016-07-08 ","14:59:01","RepAdrianSmith","Agree, @SpeakerRyan. Heartbroken for families of the officers murdered in #Dallas. We must seek justice &amp; healing. https://t.co/WYoqPHKPgQ","Dallas"
"2016-07-07 ","17:13:03","RepAdrianSmith","Important read in today’s @nytimes about billions in illegal #Obamacare spending by Obama administration: https://t.co/aBkHXjaZ4f","Obamacare"
"2016-07-07 ","15:34:38","RepAdrianSmith","Glad to welcome #TFAS students to the @uscapitol this morning. @TFASorg https://t.co/84xisp6ETi","TFAS"
"2016-06-13 ","17:15:47","RepAdrianSmith","Staff is hosting a mobile office now in Albion - still time to stop by, or tomorrow in Wakefield &amp; Hartington. #NE03 https://t.co/mW1WmPorSO","NE03"
"2016-06-12 ","18:13:26","RepAdrianSmith","Terrible news out of #Orlando. My prayers are with the victims and their families. To all the first responders, thank you for your bravery.","Orlando"
"2016-02-26 ","18:17:13","RepAdrianSmith","Why we need international tax reform → https://t.co/kwJ55jOFN0 @WaysandMeansGOP",
"2016-02-25 ","20:17:57","RepAdrianSmith","On #Obamacare co-ops, I'll keep pushing the administration to provide specific info instead of vague assurances. https://t.co/LE8yc3Pfy8","Obamacare"
"2016-02-25 ","18:03:39","RepAdrianSmith",".@WSJ: Attempts to recoup loans made to failed #Obamacare co-ops ""largely futile;"" most of the money has been spent. https://t.co/G7xBTKqpNX","Obamacare"
"2016-02-25 ","16:38:12","RepAdrianSmith","Thanks @ACAtoday for having me at #NCLC2016 to talk about patient choice and visit with chiropractors from #NE03. https://t.co/C5uGgb4fnz","NCLC2016 NE03"
"2016-02-20 ","15:56:37","RepAdrianSmith","Great to visit with Beatrice Middle School civics students as they learned about properly retiring U.S. flags. #NE03 https://t.co/PP45o1FiU6","NE03"
"2015-12-03 ","18:52:13","RepAdrianSmith","Editorial in @theindependent today says #EPA needs to stop ignoring the law on #RFS: https://t.co/MLQxz2rUXB","EPA RFS"
"2015-11-27 ","17:09:12","RepAdrianSmith","Despite the challenges we face, we are surrounded by so many reasons to be grateful: https://t.co/zYMucnJtlx #NE03","NE03"
"2015-10-02 ","19:52:17","RepAdrianSmith","October marks the two year anniversary of #Obamacare’s implementation → it's been two years too long: http://t.co/xtJe2lMJoV","Obamacare"
"2015-10-02 ","16:45:14","RepAdrianSmith","Excited to announce the members of my 2015-2016 #NE03 Youth Advisory Council: http://t.co/SHcHGhmoIu","NE03"
"2015-10-02 ","15:41:40","RepAdrianSmith","Congratulations to Arapahoe Elementary, named a @NatlBlueRibbon school for 2015! Read more in @KearneyHub: http://t.co/WpnaKRK5vI  #NE03","NE03"
