"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","18:39:13","RepFrankGuinta","Real honor to receive AMAC's 2016 award for my work for NH seniors. Thanks @MatureAmericans and @RepJoeHeck https://t.co/ebxMkzQG6F",
"2016-07-18 ","13:31:45","RepFrankGuinta","It was a big day. A lot of work still to do. https://t.co/pNWUu2Fy0r",
"2016-07-08 ","13:35:06","RepFrankGuinta","My amend to stop @CFPB's auto loan rate hikes on Granite Staters passed House w/ lot of Dem support. #MiddleClass https://t.co/pMyIyjgO3u","MiddleClass"
"2016-06-13 ","17:29:41","RepFrankGuinta","Hard to believe families are still waiting for news of their loved ones. I can't imagine the pain they must feel. https://t.co/CgOF5GJs2V",
"2016-02-25 ","21:18:28","RepFrankGuinta","157th Refueling Wing of @AirNatlGuard at Pease in NH to receive Family Readiness Award at @DeptofDefense #pentagon tomorrow. Congrats!","pentagon"
"2016-02-25 ","17:35:20","RepFrankGuinta","Article fails to mention that Prez #Obama signed law prohibiting transfer of detainees to U.S. https://t.co/iHenrL6u3y","Obama"
"2016-02-25 ","16:37:26","RepFrankGuinta","Bipartisan #Heroin Task Force welcomes @RepTedDeutch and @TomRooney as newest members #StopAbuse","Heroin StopAbuse"
"2016-02-25 ","15:44:17","RepFrankGuinta","Prez admitted ""no strategy"" to defeat #ISIS. Failed to submit required plan to Congress. #Gitmo plan also vague. @jdistaso","ISIS Gitmo"
"2016-02-25 ","15:40:45","RepFrankGuinta","Look forward to meeting! @onairmark @NHBroadcasters @KellyAyotte @RepAnnieKuster @SenatorShaheen",
"2015-12-02 ","23:46:40","RepFrankGuinta","This is a really shocking tragedy. My heart goes out to the victims' families. https://t.co/Dx7r3Di9nw @CBSNews",
"2015-12-02 ","22:03:42","RepFrankGuinta","We'll have another event in NH soon @Telegraph_Chris @RepAnnieKuster Hope you can join",
"2015-12-02 ","22:02:53","RepFrankGuinta","Our bill is fiscally responsible solution to COLA increase @RepSinema We agree seniors should not have to chose between heat and groceries.",
"2015-12-02 ","21:59:13","RepFrankGuinta","Good photo @MichawnRich @SenDeanHeller @MartinHeinrich @fightthe40 Thanks for your interest",
"2015-12-02 ","21:58:28","RepFrankGuinta","Now it's time to act! @fightthe40",
"2015-12-02 ","21:58:08","RepFrankGuinta","We're united to @fightthe40 @SenDeanHeller @MartinHeinrich @RepJoeCourtney",
"2015-11-28 ","17:46:11","RepFrankGuinta","Have fun today on #SmallBizSaturday! #ShopSmall https://t.co/zpOBB5EICO","SmallBizSaturday ShopSmall"
