"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","12:45:43","RepLanceNJ7","Rep. Lance: ""I know some of those names and I know all of those communities. They deserve their day in court.""   https://t.co/Pp79jus8CS",
"2016-09-23 ","15:12:53","RepLanceNJ7","House Republicans vote to ban cash transfers to Iran after Obama's $1.7B ransom https://t.co/MC9wk0XQIS",
"2016-07-08 ","16:18:07","RepLanceNJ7","I am proud to have served on the conference committee that crafted this legislation to combat opioid overdoses.  https://t.co/VN8k6ymfGK",
"2016-07-08 ","16:12:30","RepLanceNJ7","My statement responding to last evening's horrific ambush of Dallas law enforcement. https://t.co/3h2tHc69P9",
"2016-07-07 ","20:41:14","RepLanceNJ7","Iran is a threat. We must not allow Tehran to gain access to the int’l financial system &amp; the use of the dollar. https://t.co/cmIKCC8ePe",
"2016-07-07 ","13:53:26","RepLanceNJ7","New @HouseCommerce @WaysandMeansGOP report finds Admin spent billions w/o authority on ACA; violated Constitution. https://t.co/w0GZrOUQKF",
"2015-12-02 ","23:55:23","RepLanceNJ7","Prayers for the victims of the senseless violence in CO Springs &amp; San Bernardino. We must make #HR2646 a priority. https://t.co/VU5vAb5237","HR2646"
"2015-12-02 ","21:24:44","RepLanceNJ7",".@marcorubio We've got your back over here in the House, Senator:  https://t.co/QsZIB1CESH",
"2015-12-02 ","21:15:31","RepLanceNJ7","Lance: Taxpayers should get to see what they’re paying for! | The Save Jersey Blog - https://t.co/33THTxU1M6 via @Shareaholic",
"2015-12-02 ","21:14:32","RepLanceNJ7","Lance Introduces Congressional Life Science Caucus  https://t.co/72KCHgRNi8",
"2015-12-02 ","21:14:13","RepLanceNJ7","Lance Office Marks 4000th Successful Constituent Case  https://t.co/7ZQC6NeIV6",
"2015-11-28 ","10:12:20","RepLanceNJ7","The Daily 202: Backlash brews against erasing Woodrow Wilson's name from Princeton https://t.co/a07qWu3AYU",
"2015-11-28 ","10:11:38","RepLanceNJ7","The Daily 202: Backlash brews against erasing Woodrow Wilson's name from Princeton https://t.co/eknIO4xrSG",
"2015-11-28 ","10:10:28","RepLanceNJ7","Lance announces Congressional Life Science Caucus https://t.co/x1luEGCeyC via sharethis",
"2015-11-28 ","10:10:07","RepLanceNJ7","N.J.'s Lance: Why can't taxpayers see reports they paid $100M for? https://t.co/3qlAn98Ea7",
"2015-10-02 ","17:49:10","RepLanceNJ7","@krstreicher I'm focusing my efforts on fixing our mental health system to better identify &amp; treat those at risk of violent behavior #HR2646","HR2646"
"2015-10-01 ","17:59:33","RepLanceNJ7","Iran must pay back the victims of their terrorism before they get a dime of sanctions relief from us.  https://t.co/M6TRcarqzc",
"2015-06-18 ","11:47:07","RepLanceNJ7","Proud to help lead the effort to renew the Zadroga Act to help individuals made ill by exposure to Ground Zero. http://t.co/Jjvsor6cGd",
"2015-06-18 ","11:44:31","RepLanceNJ7","Lance Votes to Keep Internet Access Tax-Free - Cranford NJ News https://t.co/hkFxa2d2Pk",
"2015-06-18 ","11:37:27","RepLanceNJ7","Proud to join @RepBrianHiggins in introducing the Cancer Drug Coverage Parity Act to help cancer patients. http://t.co/zGB4aWUOHP",
"2015-06-18 ","11:30:17","RepLanceNJ7","In Kenvil where I announced my support for a bill that would improve care for people with chronic kidney disease. http://t.co/LLRdqCyg3y",
"2015-06-18 ","11:26:15","RepLanceNJ7","The medical device tax is ""creating disincentives for companies looking to stay competitive."" — Express-Times  http://t.co/AFXq6Q3yzP",
"2015-06-12 ","18:57:05","RepLanceNJ7","I opposed the TAA trade bill because my constituents want trade agreements that are transparent &amp; good for U.S. workers &amp; taxpayers.",
"2015-06-11 ","17:18:09","RepLanceNJ7","@voncleterry Chairman Ryan has included language to prevent changes to climate or immigration laws via trade agreements. — L.L.",
"2015-06-11 ","16:37:53","RepLanceNJ7","@voncleterry @orcabear74 here's the ""fast track""/TPA bill. Can you tell me what language concerns you?  https://t.co/1esHhSZoNi",
"2015-06-11 ","15:47:31","RepLanceNJ7","@voncleterry @orcabear74 Do you mean this issue?  http://t.co/X1QCfjfKbf",
"2015-06-11 ","15:30:34","RepLanceNJ7","Proud to have worked with @BillPascrell to reinstate funding for a successful suicide prevention hotline for NJ vets. http://t.co/AmeLwOYl8R",
"2015-06-11 ","15:28:41","RepLanceNJ7","@orcabear74 Got it.  But you know Congress isn't voting on TPP this week, right?  Learn the facts here:  http://t.co/KgluJzNpDi",
"2014-04-03 ","01:33:39","RepLanceNJ7","Heidi and I send our prayers and safe wishes to the men and women at Fort Hood and their families.",
"2014-02-21 ","23:35:04","RepLanceNJ7","Many NJ seniors may lose access to the Medicare Advantage plans they want &amp; enjoy as a result of today's action by the Obama Administration.",
"2013-09-17 ","14:16:06","RepLanceNJ7","Lance Legislation Designed to Help Patients  with Chronic Diseases and Disabilities http://t.co/NW46QeezEi",
"2013-09-17 ","14:01:53","RepLanceNJ7","Lance Accepts Accept Award from American Society of Plastic Surgeons http://t.co/3ogQ8xZkEI",
"2013-09-17 ","14:00:45","RepLanceNJ7","Lance Awards Posthumous Service Medals http://t.co/cRCPkth0a9",
"2013-09-16 ","17:14:22","RepLanceNJ7","Congressman Leonard Lance Hosts Tax Reform Forum in New Providence http://t.co/mtjjvOPqRD",
"2013-09-16 ","15:40:30","RepLanceNJ7","Please keep your thoughts and prayers with those affected by the #NavyYardShooting shooting this morning and their families.","NavyYardShooting"
"2013-03-14 ","20:29:36","RepLanceNJ7","Lance Announces Congressional Art Competition  http://t.co/uwMPrQZRlw",
"2013-03-14 ","12:45:33","RepLanceNJ7","Please join me in welcoming my friend and fellow @HouseCommerce Committee member @SteveScalise to Twitter!",
"2013-03-14 ","12:40:12","RepLanceNJ7","It isn't often that I agree with the Washington Post editorial board.  Today's editorial, however, was spot-on.
http://t.co/7P8vHslWcx",
"2013-03-13 ","19:28:15","RepLanceNJ7","I join Catholics worldwide in celebrating the selection of Cardinal Jorge Mario Bergoglio as Pope Francis I.",
"2013-03-13 ","13:32:12","RepLanceNJ7","I am proud to have participated in hundreds of Eagle Scout Court of Honor ceremonies throughout the 7th District. http://t.co/0C4BKBBE61",
"2013-03-13 ","13:24:04","RepLanceNJ7","Obama to meet for first time in two years with House Republicans - The Hill http://t.co/7LhdcUY4lM",
"2012-12-14 ","19:45:47","RepLanceNJ7","Heidi and I send our heartfelt prayers to the victims and families of the today's senseless tragedy in Newtown, Conn.",
"2012-09-27 ","16:20:04","RepLanceNJ7","I ask that you read my recent opinion piece printed in the Westfield Leader-Greater Certainty Needed to Spur Job Growth http://t.co/9ATu8bAE",
"2016-09-24 ","23:10:03","USRepRodney","I always enjoy spending time at #ByramDay in Sussex County! https://t.co/5KXWYiGd5d","ByramDay"
"2016-09-24 ","17:45:49","USRepRodney","Joined Mayor Ritter on the Out of the Darkness Walk in Chatham Twp to bring awareness to suicide prevention. https://t.co/PF89xgLCr8",
"2016-09-24 ","16:47:42","USRepRodney","Meeting with constituents and visiting #LincolnParkDay! Great way to kick off autumn! https://t.co/QmvMl5K2Ha","LincolnParkDay"
"2016-09-23 ","16:55:41","USRepRodney","Always great to visit the #Roseland Greek Fest! https://t.co/dhYGaNCQ6V","Roseland"
"2016-07-08 ","22:24:19","USRepRodney","I would like to thank my most recent group of hard working DC interns Victoria, Amelia, Gebereal &amp; Laura! Great Job! https://t.co/l6Lxf4Bo6W",
"2016-07-07 ","22:37:27","USRepRodney","Interested in visiting Washington DC?  Tours? Directions? Tips? Info here: https://t.co/nnZCdfVMeD",
"2016-07-07 ","21:02:11","USRepRodney","Met w/ Patience Tyne of Caldwell-one of only 38 college students picked as @librarycongress Jr. Fellow this summer! https://t.co/KGYRBKsfAL",
"2016-07-07 ","13:04:08","USRepRodney","@nutleynj residents- stop by my outreach office hours today! Bring opinions on issues or problems w/ govt agencies https://t.co/jH3h77pEog",
"2016-06-13 ","21:12:54","USRepRodney","Testifying at @RulesReps on importance of #FY17Defense approps. to meet overseas threats/fund military readiness! https://t.co/s3MOKKC4hm","FY17Defense"
"2016-06-13 ","21:07:21","USRepRodney","ICYMI- read last week's e-News with my comments on American leadership and #NJTF1 https://t.co/JYXq9xPhZX","NJTF1"
