"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","01:13:04","RepStevePearce","Today, and everyday, we celebrate the contributions of women entrepreneurs in #NM and across the country! #BusinessWomensDay https://t.co/fR4bJSw9lJ","NM BusinessWomensDay"
"2016-07-18 ","16:24:44","RepStevePearce","FWS tolerated culture of lies, deception, falsification, manipulation of data and they must be held accountable.   https://t.co/TC0IKUDklF",
"2016-07-17 ","21:25:10","RepStevePearce","Deeply saddened by the news in Baton Rouge today -this city has been through enough pain. Praying for their families https://t.co/AyupXrCDRy",
"2016-07-08 ","20:01:47","RepStevePearce","Thanks so much for having me!  https://t.co/3hpQA6n98E",
"2016-07-08 ","19:45:58","RepStevePearce","Catch the live feed from my discussion today! @yaf #YAFcon https://t.co/h8xu555gv2","YAFcon"
"2016-07-08 ","19:39:21","RepStevePearce","Lots of great soon to be leaders in the room today! @yaf #YAFcon  https://t.co/jFe4WlsB7C","YAFcon"
"2016-07-08 ","19:35:11","RepStevePearce","Encouraging these young people to take a stand! @yaf yaf #YAFcon https://t.co/jIpquVMdjA","YAFcon"
"2016-07-08 ","19:19:03","RepStevePearce","Thanks @yaf for having me!  https://t.co/CgU0JB74lG",
"2016-07-08 ","18:46:10","RepStevePearce","Here talking with kids at the #YAFcon conference this afternoon! Thanks for having me! @yaf","YAFcon"
"2016-07-08 ","14:17:08","RepStevePearce","Thoughts and prayers go out to the police officers that lost their lives last night in Dallas - #DallasStrong https://t.co/al89o5sJvQ","DallasStrong"
"2016-07-08 ","00:28:35","RepStevePearce","This is not over yet Mrs. Clinton. https://t.co/aRXA0b0yDh",
"2016-07-07 ","20:59:25","RepStevePearce","We are considering this bill on the House today!  Gives key funding for the judiciary, fin. services, and small biz https://t.co/fjFCmYuG9x",
"2016-07-07 ","00:04:15","RepStevePearce","Hours before Dir. Comey testifies in Congress @TheJusticeDept says they won't press charges -very concerning https://t.co/ZPfNMs7xWX",
"2016-06-13 ","19:14:31","RepStevePearce","My thoughts and prayers continue to be with victims, families, and city of Orlando - we will not let terrorism win",
"2016-02-25 ","12:21:25","RepStevePearce","Driving to work just about sunrise a rainbow appeared over the Capitol. 
The nation needs a ray of hope right now. https://t.co/30eXWu6tMK",
