"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","19:16:20","RepHardy","Get info on how to apply for federal student aid, scholarships &amp; Service Academy Nominations at my FAFSA Seminar at @CimarrOnSpartan. #NV04 https://t.co/upG7dsKXPW","NV04"
"2016-09-23 ","01:30:42","RepHardy","This administration had a bad idea for a bad deal. Tonight, Congress voted to stop bad decisions like making ransom payments to #Iran. https://t.co/6s8GYodCMY","Iran"
"2016-07-18 ","22:50:12","RepHardy","Attend my “Navigating Biz Laws, Regs &amp; Tax” event tomorrow from 9 a.m.-noon &amp; again from 4-7 p.m. #NV04 https://t.co/Kb6uaYutbO","NV04"
"2016-07-07 ","22:08:15","RepHardy","Great meeting @SenDeanHeller's interns today. For internship opportunities, apply here:https://t.co/AEyqenN9zx #NV04 https://t.co/rO3TiW37d2","NV04"
"2016-07-07 ","16:34:09","RepHardy","I testified at @HouseCommerce #SubEnvEcon on #Yucca where I said we shouldn't move forward until we know it's safe. https://t.co/5uGw9NZssC","SubEnvEcon Yucca"
"2016-06-13 ","02:13:20","RepHardy","@KTNV https://t.co/3O3BPwuINK",
"2016-06-12 ","19:37:20","RepHardy","Prayers are w/ victims and families in FL. We will defeat this extremism in defense of our liberty --&gt; https://t.co/3O3BPwuINK #Orlando","Orlando"
"2016-02-26 ","21:08:59","RepHardy","Gov't red tape shouldn't tie people up in times of crisis. I'm proud to support @RepJoeHeck's #GoodSamaritan bill https://t.co/1AG24izaDl","GoodSamaritan"
"2016-02-26 ","17:04:02","RepHardy","Vamos a dar información acerca de las clases de Inglés disponibles para ti el lunes a las 9-10:30am en North Las Vegas City Hall, sala 521.",
"2016-02-26 ","17:02:51","RepHardy","Learn about English classes available to you on Monday from 9-10:30am at North Las Vegas City Hall, Room 521. RSVP: https://t.co/3luoDnKp37",
"2015-12-03 ","21:50:56","RepHardy","Expanding I-11 will bring up to $24 billion in economic impact, create 240,000 jobs and provide $39 billion in travel benefits. #FASTAct","FASTAct"
"2015-12-03 ","21:33:51","RepHardy","Today's #highwaybill helps drive our economy to where it needs to be. Nevadans can look forward to smoother roads https://t.co/DmCvwXayfR","highwaybill"
"2015-12-02 ","00:36:05","RepHardy","TOMORROW my team will be at my Pahrump Office from 9am-noon to help you navigate federal agencies. Address: 1321 S Highway 160, Ste 4B #NV04","NV04"
"2015-11-28 ","16:43:14","RepHardy","It's Small Business Saturday! Be sure to support #smallbiz today. #NV04","smallbiz NV04"
"2015-11-27 ","16:43:04","RepHardy","My family means the world to me &amp; I'm grateful for days like this where I can spend time w/them. I hope you all have a wonderful #FamilyDay.","FamilyDay"
"2015-10-02 ","17:43:03","RepHardy","To learn about #immigration processes with @USCIS, attend my Hispanic Heritage Summit on Oct. 10th. Details: http://t.co/tHNTxQGspO #NV04","immigration NV04"
"2015-10-02 ","16:44:29","RepHardy","This week I co-chaired an investigation on the impact of Pres. Executive Order that unfairly blacklists #smallbiz. http://t.co/gp0d13P2Fr","smallbiz"
"2015-10-01 ","21:37:01","RepHardy","RSVP for my Hispanic Heritage Summit taking place October 10th at @CSNCoyote Cheyenne Campus from 9-Noon here: https://t.co/tHNTxQGspO #NV04","NV04"
"2015-10-01 ","15:31:36","RepHardy","Iran shouldn't receive millions in sanctions relief until they recognize the victims of their actions #NotOneCent http://t.co/iXxtM0ZQbm","NotOneCent"
"2015-10-01 ","14:16:07","RepHardy","On Oct.10 I’m hosting my Hispanic Heritage Summit to raise awareness on opportunities for success &amp; education. RSVP: http://t.co/tHNTxQGspO",
"2015-10-01 ","02:33:05","RepHardy","Learn about education &amp; training opportunities &amp; immigration services at my Hispanic Heritage Summit on Oct. 10th. http://t.co/tHNTxQGspO",
"2015-07-17 ","21:45:52","RepHardy","Had a good visit with Bill Caron, @VALasVegas NLV Med Ctr Acting Dir, who runs a dedicated team caring for #vets!  https://t.co/dAA6kGHKDq","vets"
"2015-07-17 ","17:34:35","RepHardy","Dropped by @VALasVegas North Las Vegas VA Medical Center to get update on Pahrump VA Clinic and #Vets… https://t.co/VGbt1ASpTY","Vets"
"2015-07-16 ","21:48:30","RepHardy","Thoughts &amp; prayers w/ family and friends of 4 @USMC killed in #Chattanooga. Statement: https://t.co/whJKDahBGD http://t.co/EmKMY1sqtm","Chattanooga"
"2015-06-18 ","22:25:01","RepHardy","Save the date for June 19th! Small Business Procurement Workshop from 10 AM-12 PM at @CSNCoyote Cheyenne Campus. https://t.co/HsVY0lwnZ6",
"2015-06-18 ","17:35:03","RepHardy","Join me for my Small Business Procurement Workshop on June 19th at @CSNCoyote Cheyenne Campus. Details: https://t.co/HsVY0lwnZ6 #NV04","NV04"
"2015-06-18 ","17:15:34","RepHardy","Proud to be a cosponsor of #HR160, giving a smart and structured fix as we move through complexities of Obamacare. https://t.co/pZdRde7BZ0","HR160"
"2015-06-18 ","17:12:46","RepHardy","VIDEO: Yesterday's @HouseSmallBiz hearing on possibility of lifting crude oil export ban &amp; effect on #SmallBiz -- https://t.co/sNFSYWVuIl","SmallBiz"
"2015-06-18 ","15:00:30","RepHardy","I urge the Senate to pass #FY16NDAA and defense appropriations. (6/6)","FY16NDAA"
"2015-06-18 ","15:00:24","RepHardy","We have to prioritize: We have moral &amp; constitutional obligation to ensure troops have resources to fight well/protect U.S. interests. (5/6)",
"2015-06-18 ","15:00:13","RepHardy","The reality is we are in a real fiscal crisis. We can’t afford to do everything we’d like to do in these hard times. (4/6)",
"2015-06-18 ","15:00:06","RepHardy","Unfortunately, Senate Dems &amp; @POTUS say they will oppose funding mechanism that gives our @DeptofDefense legs to stand on this policy. (3/6)",
"2015-06-18 ","14:59:57","RepHardy","I look forward to the Senate’s passage of the #NDAA in the near future. (2/6)","NDAA"
"2015-06-18 ","14:59:49","RepHardy","Here's what I have to say on Defense Appropriations &amp; #NDAA...: (1/6)","NDAA"
"2015-06-18 ","13:43:14","RepHardy","Saddened to hear of the tragedy in South Carolina last night. My prayers for and condolences to the families of the victims.",
"2015-06-18 ","13:18:41","RepHardy","Proud to have history like this in #NV04. https://t.co/sgyUeGQYxx","NV04"
"2015-06-17 ","21:35:02","RepHardy","Learn about procurement/contracting opportunities w/the government at my #SmallBiz Procurement Workshop! https://t.co/HsVY0lwnZ6 @FOX5Vegas","SmallBiz"
"2015-06-17 ","18:41:45","RepHardy","Today, my staff has been helping Pahrump constituents, first at the Senior Center, &amp; now until 1pm Pacific at 1321 S Hwy 160, Ste 4B. #NV04","NV04"
"2015-06-17 ","15:35:02","RepHardy","#SmallBizOwners: Wondering how to do biz w/the government? Attend my Small Biz Procurement event on June 19th: https://t.co/HsVY0lwnZ6 #NV04","SmallBizOwners NV04"
"2015-06-17 ","15:01:55","RepHardy","WATCH: I spoke on the House floor about delayed @VALasVegas clinic for @PahrumpNV #Vets: http://t.co/vOmAja2qkX #NV04 @pvtimes @visitpahrump","Vets NV04"
