"Date","Time","screen_name","text","hashtags"
"2016-02-26 ","20:35:20","RepChrisCollins","Proud to vote in support of the #SHAREAct which protects the rights of law-abiding gun owners &amp; eliminates regulations hurting our sportsmen","SHAREAct"
"2016-02-25 ","21:22:46","RepChrisCollins","Ready to talk with @jaketapper on @CNN about 2016. America needs a Chief Executive not a Chief Politician. https://t.co/owIk2bdvQb",
"2016-02-25 ","15:26:07","RepChrisCollins","Ready to talk presidential politics with @BillHemmer on @FoxNews at 10:30am https://t.co/7dfqfdOf0M",
"2015-12-03 ","18:57:34","RepChrisCollins","During 9/11, our nation's first responders came to the rescue. Now we need to care for them &amp; pass the #ZadrogaAct https://t.co/B56UhN89Kt","ZadrogaAct"
"2015-12-03 ","16:29:58","RepChrisCollins","To ensure WNYers safety, I cosponsored H.R. 158, legislation to help prevent terrorists from entering the U.S. via the Visa Waiver Program",
"2015-12-02 ","22:29:03","RepChrisCollins","@fema has announced this year's AFG program application period--beginning on 12/07/15. For more information: https://t.co/jyHUlbVfJs",
"2015-12-02 ","20:44:56","RepChrisCollins","H.R. 8 maximizes U.S. energy potential &amp; modernizes our outdated energy policies. America needs to say #Yes2Energy https://t.co/f9cjjMUaQd","Yes2Energy"
"2015-10-02 ","17:40:44","RepChrisCollins","Let's take a moment to celebrate #NationalManufacturingDay and the millions of American jobs this vital industry creates.","NationalManufacturingDay"
"2015-10-01 ","13:18:53","RepChrisCollins","My op-ed in @TheClarenceBee on the REVAMP Act, legislation I introduced which will provide funds to improve vet halls http://t.co/SKnbiatM1K",
"2015-07-17 ","14:11:11","RepChrisCollins","Talking w/ @buffalobills Rex Ryan before he skydives at the NF air base. He's in good hands with @ArmyGK #BillsMafia http://t.co/kVbdPvRpaR","BillsMafia"
"2015-06-18 ","12:21:18","RepChrisCollins","Great time with my daughter yesterday at the White House family picnic. http://t.co/ZwCN1a9Mm3",
"2015-06-17 ","19:10:56","RepChrisCollins","Great to see Mallory’s artwork on my walk to the Capitol. She won our 2015 Congressional Art Competition. #NY27 http://t.co/feDJ9LZ7eJ","NY27"
"2015-06-17 ","16:59:49","RepChrisCollins","Disturbing. Obama Admin can't explain where $3B spent on #Obamacare payments went. #Obamacarefail http://t.co/DJF3C7jnYl","Obamacare Obamacarefail"
"2015-06-11 ","14:24:36","RepChrisCollins","LIVE: @HouseCommerce #SubHealth hearing on HR 1786, the James Zadroga 9/11 Health &amp; Compensation Reauthorization Act  http://t.co/TpMDDcJE4O","SubHealth"
"2014-05-24 ","17:00:16","RepChrisCollins","This #MemorialDay Honor those who have made the Ultimate Sacrifice. Take the pledge to #GoSilent here http://t.co/I2rhd3RVea.","MemorialDay GoSilent"
"2014-05-23 ","15:47:17","RepChrisCollins","This week I introduced the Care for our Heroes Act (HR 4725) because our veterans deserve better. Read More: http://t.co/wKAyyQFUq4",
"2014-04-04 ","20:56:40","RepChrisCollins","At the recent FIRST Robotics Competition at RIT I had the opportunity to meet some great student teams from #NY27. http://t.co/Feu8eisnAU","NY27"
"2014-04-04 ","15:47:47","RepChrisCollins","Proud to see the Gabriella Miller #KidsFirst Research Act get signed into law yesterday. http://t.co/95uTBQVz0e","KidsFirst"
"2014-04-04 ","14:50:26","RepChrisCollins","Yesterday I spoke on the House floor in support of the Save American Workers Act, to #restorewages for Americans: http://t.co/HxdXNgN930.","restorewages"
"2014-04-03 ","21:05:44","RepChrisCollins","As a longtime supporter of the legislation, I was proud to see the Gabriella Miller #KidsFirst Research Act get signed into law today.","KidsFirst"
"2014-04-03 ","20:33:57","RepChrisCollins","#ThrowbackThursday to graduation day. #tbt http://t.co/FF4qG7Taf4","ThrowbackThursday tbt"
"2014-04-03 ","19:44:47","RepChrisCollins","Proud to have voted in support of the Save the American Workers Act, which the House passed 248-179. #RestoreWages http://t.co/Wz57dABZmV","RestoreWages"
"2014-04-03 ","19:00:25","RepChrisCollins","Today I spoke on the House floor in support of the Save the American Workers Act. WATCH: http://t.co/GOM64J2PVd.",
"2014-04-03 ","18:09:44","RepChrisCollins","My thoughts and prayers are with those impacted by the tragedy at #FortHood yesterday. http://t.co/x4MgDcTfxt","FortHood"
"2014-04-03 ","14:06:32","RepChrisCollins","WATCH LIVE: House Ag Cmte hearing to review the state of the rural economy: http://t.co/hfllugbq1X.",
"2014-04-03 ","01:35:09","RepChrisCollins","Please keep #FortHood community in your thoughts and prayers.","FortHood"
"2014-02-21 ","20:02:24","RepChrisCollins","ICYMI: Collins readies bill banning funds for inmate college courses, via @TheBuffaloNews: http://t.co/bDQFYUGNEy.",
"2014-02-21 ","16:54:30","RepChrisCollins","Wishing Team @USAHockey, which includes several players from #NY, luck against Canada today. #TeamUSA http://t.co/iq7Msw3nND","NY TeamUSA"
"2014-02-21 ","16:37:01","RepChrisCollins","Learn more about how we are honoring Sgt. Brett Gornewicz here: http://t.co/LRT43jqSIe.",
"2014-02-21 ","16:36:49","RepChrisCollins","Sen. Gillibrand and I announced legislation to name the US Post Office in Alden after Army Sgt. Brett Gornewicz, who died in Afghanistan.",
"2014-02-20 ","20:08:37","RepChrisCollins","ICYMI: Collins seeks to ban federal dollars for Cuomo college for convicts plan http://t.co/YEIwMvGQe3 via @TheBuffaloNews",
"2014-02-20 ","19:29:25","RepChrisCollins","ICYMI: Collins Wants To Block Federal Aid For College In Prison Plan http://t.co/NNQsRrEx5r",
"2014-02-20 ","18:51:45","RepChrisCollins","Learn more about my legislation to prohibit using federal taxpayer dollars to fund  college for convicts: http://t.co/VTfYt6Xxzi.",
"2014-02-20 ","18:51:30","RepChrisCollins","In response to Cuomo’s college for convicts plan I will introduce legislation to prohibit using fed tax dollars to fund college for convicts",
"2014-02-20 ","16:45:39","RepChrisCollins","I will introduce legislation to prohibit using federal taxpayer dollars to provide a college education to convicts: http://t.co/VTfYt6Xxzi.",
"2014-02-20 ","15:01:30","RepChrisCollins","Today from 4-5:30 PM my staff will host satellite office hours in Sanborn at the Sanborn-Pekin Free Library. http://t.co/77k6iLFi4S",
"2013-09-17 ","19:03:25","RepChrisCollins","Today is the 1,000th day gas has cost over $3 a gallon - an example of the President's failed domestic energy plan. http://t.co/YhJh5Toqyb",
