"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","14:19:36","RepJimRenacci","ICYMI: @TheDailyRecord published my piece on finding solutions to student success: https://t.co/iVFDCfl5UW",
"2016-09-23 ","13:35:10","RepJimRenacci","TUNE IN: Speaking with @FrantzRadio now about how Iran, the largest state sponsor of terrorism in the world, isn't going to be getting US $",
"2016-07-17 ","16:59:23","RepJimRenacci","I am saddened to hear about the horrific news in #BatonRouge - my thoughts and prayers are with those who have been impacted.","BatonRouge"
"2016-07-08 ","16:57:25","RepJimRenacci","We need a fiscal state of the nation and members of the ""Bipartisan Working Group"" agree: https://t.co/PbR7CjCoIW",
"2016-07-08 ","12:53:33","RepJimRenacci","As a former member of the first responder community, I mourn for the families of the 5 fallen officers.",
"2016-07-07 ","18:52:09","RepJimRenacci","""You can't determine where you're going if you don't know where you're at."" https://t.co/vFLJ73sIda",
"2016-06-12 ","17:25:49","RepJimRenacci","My thoughts and prayers are with the victims and their loved ones of the horrific attack in Orlando.",
"2016-06-12 ","17:23:14","RepJimRenacci","Ohio lost a great leader, father, and husband last night:
https://t.co/iHychDuVYj",
"2016-02-26 ","22:55:05","RepJimRenacci","Still need to receive my weekly #RenacciReport? Click here to read this week's and to sign up: https://t.co/756tJetpQn","RenacciReport"
"2016-02-26 ","22:45:04","RepJimRenacci","Congratulations to @StrongsvilleGov for celebrating their #bicentennial yesterday #OH16 https://t.co/XsvXZmiccs","bicentennial OH16"
"2016-02-26 ","21:28:29","RepJimRenacci","Happy National #FFAweek https://t.co/otInwaoX1F","FFAweek"
"2016-02-26 ","14:55:30","RepJimRenacci","Tune in now to @FrantzRadio #whk - I am discussing #Gitmo","whk Gitmo"
"2016-02-25 ","23:39:48","RepJimRenacci","A privilege to visit with 2 Medal of Honor recipients today: retired Staff Sergeants Leroy Petry and Clinton Romesha https://t.co/jjjG16Myv4",
"2016-02-25 ","17:45:05","RepJimRenacci","Discussing #Gitmo on @1590WAKRNews at 12:50pm - we cannot jeopardize our national security and law-making process over a campaign promise.","Gitmo"
