"Date","Time","screen_name","text","hashtags"
"2015-10-01 ","14:00:48","RepRussell","Recap from the PP hearing this week: http://t.co/rYGu47r4cR, http://t.co/WoUSZc6H9x, https://t.co/Yi1pBHLQN4 http://t.co/cO8Vc8bRjg",
"2015-07-17 ","15:57:34","RepRussell","I believe in the power of prayer. It blessed me to lift up Oklahoma with the delegation at the OK Prayer Breakfast: https://t.co/2HMrbeNmCN",
"2015-07-16 ","17:40:01","RepRussell","It was an honor to join @RepJBridenstine, @RepFrankLucas, @TomColeOK04, @RepMullin, @jiminhofe &amp; @SenatorLankford  in prayer for our nation.",
"2015-06-18 ","20:05:41","RepRussell","@POTUS needs a better ISIS strategy, and I gave him a bunch of ideas from @HouseFloor   http://t.co/56XghM5o3n - Retweet if you agree.",
"2015-06-17 ","22:07:26","RepRussell","BREAKING NEWS: TPA is coming back to the floor - without TAA. We need to pivot back to America so I'm voting no. https://t.co/9qn9g2fGVv",
"2015-06-17 ","20:07:31","RepRussell","The President is out of line with his unconstitutional immigration policy. Listen to my comments at @GOPoversight: https://t.co/ThQU7f7nrS",
"2015-06-12 ","20:28:31","RepRussell","Today, we won the battle against TAA, but the TPA war will continue next week. Read my statement here: https://t.co/cicP6DhekC",
"2015-06-12 ","15:05:59","RepRussell","Anti-China rhetoric could lead us on a path to a Cold War II. For this, and other reasons, I will vote NO on #FastTrack / #TPA / #TAA","FastTrack TPA TAA"
"2015-06-11 ","21:09:07","RepRussell","Look forward to talking w/@AlisynCamerota on @CNN's @NewDay tomorrow morning at 7:15am EDT talking about TPA, as well as Iraq &amp; ISIS.",
"2015-06-11 ","16:22:49","RepRussell","When it comes to TPA we need a 'Right Track' not a 'Fast Track.'  Here are my comments from the @HouseFloor  http://t.co/7rnoYGlvE5",
"2016-09-24 ","00:33:46","RepMullin","Disheartening to see #POTUS veto #JASTA. These families deserve their day in court. #vetooverride https://t.co/f0Ms8683So","POTUS JASTA vetooverride"
"2016-09-23 ","19:33:29","RepMullin","Exciting news for Pryor! #OK2
https://t.co/1WBwF8QlIX","OK2"
"2016-07-18 ","20:33:32","RepMullin","Want to stay updated on the things I'm doing in Congress and how affects you? Sign up for my newsletter! #OK2 https://t.co/DZf8s6Ns6N","OK2"
"2015-12-03 ","16:46:02","RepMullin","It is time to move beyond the #energy policies that were developed in an era of scarcity. #HR8 says #Yes2Energy: https://t.co/C83Q4Z6Bjz","energy HR8 Yes2Energy"
"2015-07-16 ","12:28:19","RepMullin","Great start to the morning with the 10th Annual Oklahoma Prayer Breakfast! http://t.co/qhi4Lww16b",
"2015-06-18 ","15:57:22","RepMullin","Bill could launch new American classic car industry, via @FoxNews cc: @RepGeneGreen http://t.co/dMY7YxiS51",
"2015-06-17 ","14:55:12","RepMullin","Thoughts from my team member who knows more than I ever will about #PTSD: http://t.co/E4yjFmrnTJ","PTSD"
"2015-06-12 ","14:08:15","RepMullin","Thanks @RepRobertHurt and @MarkAmodeiNV2 for supporting our #veterans with me on #HR572!","veterans HR572"
"2015-06-12 ","14:04:44","RepMullin","Thanks @MikeKellyPA and @CongBillPosey for joining me on #HR2675 to support U.S. #manufacturing #jobs http://t.co/X6lzcYGNvL","HR2675 manufacturing jobs"
"2015-06-11 ","19:00:57","RepMullin","Remembering a great day with Larra at her wrestling tournament! #ThrowBackThursday http://t.co/yJHnz3RMuE","ThrowBackThursday"
"2015-06-11 ","13:01:53","RepMullin","Thanks to @RepGeneGreen for joining me on HR 2675 to support U.S. #manufacturing and skilled #labor: http://t.co/X6lzcYGNvL","manufacturing labor"
"2014-10-25 ","13:05:55","RepMullin","Financial regs. in Dodd-Frank have already crippled local banks. Remaining $10.3B price tag = more damage to economy http://t.co/L0RQut3qIo",
"2014-10-24 ","16:09:30","RepMullin","Isn’t fallout from Obamacare evidence enough that big government is not the answer? http://t.co/PZKDhXuhq6",
"2014-05-23 ","16:35:33","RepMullin","IRS receives biggest response ever &amp; delays rule aimed at halting political activities of certain groups. http://t.co/g9Lp8DFWG4",
"2014-04-04 ","17:42:24","RepMullin","I am blessed to spend time with my son in DC for his birthday. http://t.co/A0K9K9G935",
"2014-04-03 ","20:41:12","RepMullin","Just voted for HR 2575 to reinstate 40-hour work week. Too many are seeing hours cut under the 30-hour rule Obamacare http://t.co/2sLkn1FtYv",
"2014-04-03 ","14:34:44","RepMullin","My thoughts and prayers go out to all those affected by the tragic Fort Hood shooting yesterday. http://t.co/asSbJrEvMW",
"2014-02-21 ","21:13:57","RepMullin","Industries in the Second District are being strangled by overzealous regulators. If you have a similar story, I want to hear it.",
