"Date","Time","screen_name","text","hashtags"
"2016-07-18 ","17:30:35","repgregwalden","100 people came to my Ontario town hall, where I announced the House OK'd my plan to stop the Owyhee nat’l monument https://t.co/iKjOuhrYz5",
"2016-07-08 ","17:47:45","repgregwalden","A big day to help solve a problem in Oregon &amp; beyond--the House passed a plan to address our nation’s opioid crisis https://t.co/rhmxKBlHtd",
"2016-06-13 ","14:33:52","repgregwalden","Don’t miss my latest op-ed on rail safety in the Columbia Gorge: “Improving safety for Gorge and its residents” https://t.co/qmlOnXURhX",
"2016-06-12 ","16:24:25","repgregwalden","Senseless, horrible attack and tragedy in Orlando.  My prayers are with the victims, their families and the people of Orlando.",
"2016-02-26 ","15:30:28","repgregwalden","The Forest Service is running out of excuses on the stalled 2009 land transfer on Mt Hood. https://t.co/0LUktG14be https://t.co/cAQXkEsOO8",
"2016-02-25 ","18:01:43","repgregwalden","After 14 mos., the BLM is finally implementing the law to move the Wild and Scenic Area boundary line at Bowman Dam: https://t.co/RvtgK5PGQ1",
"2015-12-02 ","14:58:24","repgregwalden","Chairing a #SubCommTech meeting today to work on expanding broadband Internet access to every American. Watch live: https://t.co/Eo1lhYhTtj","SubCommTech"
"2015-11-27 ","17:10:39","repgregwalden","It's game day and the Civil War is on! Hope the Ducks pull it off again this year. Who are you rooting for? #GoDucks","GoDucks"
"2015-10-01 ","18:52:20","repgregwalden","Terrible news coming out of Roseburg. My thoughts and prayers are with the victims, their families, and the community.",
"2015-07-17 ","16:07:39","repgregwalden","This beautiful photo of Wallowa Lake was sent to me by my friend Eric Valentine in La Grande. This… https://t.co/arbRF223q9",
"2015-07-16 ","21:32:41","repgregwalden","Our thoughts and prayers go out to the victims, their families, and the Marine Corps. The entire nation mourns this senseless loss.",
"2015-07-16 ","21:32:11","repgregwalden","Mylene and I are heartbroken to learn about the cowardly attack on our troops in Tennessee today.",
"2015-07-16 ","19:12:03","repgregwalden","This plan passed today helps protect Klamath Project water users as we continue to solve long-term issues. More here: http://t.co/vRr0KCymBC",
"2015-07-16 ","17:23:41","repgregwalden","The Medal of Honor Exhibit at the @EvergreenMuseum - dedicated to the 26 Oregonians who went beyond the call of duty http://t.co/S9QGav6nWl",
"2015-06-18 ","18:25:38","repgregwalden","#SubCommTech approves the DOTCOM act, bipartisan legislation to protect the #Internet: http://t.co/IPMxDvP5Uh","SubCommTech Internet"
"2015-06-17 ","19:20:23","repgregwalden","Good luck to Ashland native Jason Allred teeing off tomorrow at the @usopengolf. First time the US Open has ever been played in Pacific NW",
"2015-06-12 ","21:01:37","repgregwalden","@Ajkram Great selfie. Hope you and your classmates from Crater Lake HS enjoy D.C.",
"2015-06-12 ","21:00:47","repgregwalden","@That0neKid_87 Thanks for coming by! Nice to meet you and Crater Lake HS sophomores today.",
"2015-06-12 ","17:46:44","repgregwalden","Mylene and I would like to wish President George H.W. Bush a very happy 91st birthday! http://t.co/hJQvBNlMjH",
"2014-04-04 ","15:16:14","repgregwalden","""Make no mistake: threats to the openess and freedom of the internet are real"" http://t.co/yLSjiMzSPf",
"2014-04-03 ","18:17:36","repgregwalden","New proposal from the FDA could have a big impact on OR brewers and ranchers. I'm urging the agency to start over: http://t.co/BFFc5A9uik",
"2013-09-17 ","13:15:33","repgregwalden","At 7:30 PT, I'll address @AEI on innovation, jobs, and internet freedom. Click here to watch: http://t.co/N8NUFHH0Vc",
"2013-09-16 ","21:01:42","repgregwalden","Tomorrow, I'll address @AEI about unleashing innovation and keeping the internet free of govt control. Watch here: http://t.co/AHzCsw0fam",
"2013-09-16 ","20:47:46","repgregwalden","Thoughts and prayers go out to victims &amp; families involved in Navy Yard tragedy today. Special thanks to brave first responders on scene.",
"2013-07-26 ","22:09:29","repgregwalden","Meeting with Erickson Aviation at the airport in Madras to learn more about their expansion plans http://t.co/jzBoMcqQSY",
"2013-07-26 ","18:54:21","repgregwalden","Meeting with physicians at St. Charles Hospital #inBend http://t.co/ZLwaxzA5ed","inBend"
"2013-07-26 ","15:00:29","repgregwalden","I'll be live on @1110KBND in Bend at 8:40 am to give an update on the Central Oregon Jobs and Water Security Act. Tune in!",
"2013-03-14 ","21:03:08","repgregwalden","I've cosponsored a bill to restore tuition assistance for our troops by cutting funds to Egypt. Retweet if you agree. http://t.co/6A8K8wOgdd",
