"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","20:38:31","KeithRothfus","The federal government should not be mandating that tax dollars go to Planned Parenthood. Period. https://t.co/0OCBlJ0IJH",
"2016-07-18 ","17:40:59","KeithRothfus","The Medal of Honor was presented to Lt. Col. Charles Kettles who bravely rescued 44 men during the Vietnam War. https://t.co/UndLJEqyfv",
"2016-07-08 ","18:01:52","KeithRothfus","Prayers for Dallas  https://t.co/W9IpSqu0qF",
"2016-06-13 ","03:02:06","KeithRothfus","@penguins, after you visit the White House, stop by my office &amp; I'll show you around the Capitol. #bringhomethecup https://t.co/KxaGTNzSCG","bringhomethecup"
"2016-06-13 ","02:47:06","KeithRothfus","Congratulations to our 2016 Stanley Cup Champions the @penguins!!! #PittsburghProud","PittsburghProud"
"2016-06-12 ","14:01:51","KeithRothfus","Prayers for #Orlando victims and families as well as first responders and medical staff.","Orlando"
"2016-02-26 ","19:53:27","KeithRothfus","#HR2406 protects Americans’ #2ndAmendmentRights and
preserve our hunting, fishing, and conservation heritage. https://t.co/NtaoECsJNo","HR2406 2ndAmendmentRights"
"2016-02-25 ","18:20:11","KeithRothfus","My SENSE Act passed through @HouseCommerce today, a win for jobs and the environment.  https://t.co/cj6IANe9bz",
"2015-12-02 ","21:51:46","KeithRothfus","Remembering Officer Lloyd Reed Jr., a St. Clair Township police officer who was tragically shot and killed Saturday. https://t.co/JvWKqhEsKY",
"2015-12-02 ","15:40:43","KeithRothfus","Yesterday I was proud to vote for S. J. Res. 23 and 24, bills designed to protect families and small businesses from increasing energy costs",
"2015-11-28 ","21:20:51","KeithRothfus","Great to support Small Business Saturday! #ShopSmall #ShopLocal https://t.co/t4mnVE8w01","ShopSmall ShopLocal"
"2015-10-01 ","21:24:58","KeithRothfus","Today I joined my House colleagues to pass H.R. 3457, The Justice for Victims of Iranian Terrorism Act. https://t.co/dPQ7vmU5Dn #NotOneCent","NotOneCent"
"2015-06-17 ","22:11:54","KeithRothfus","Another dangerous concession as Obama admin. continues to give &amp; give &amp; give to appease #Iran. Here are my thoughts: http://t.co/SzZIgyf9Sr","Iran"
"2015-06-17 ","22:06:04","KeithRothfus","Sec Kerry “we’re not fixated on Iran specifically accounting for what they did.."" If not accountability, what can we expect from a #IranDeal","IranDeal"
"2015-06-17 ","19:18:29","KeithRothfus","Report: HHS officials could not confirm that payments were made to confirmed enrollees &amp; in the correct amounts #ACA https://t.co/HD9wP81LUk","ACA"
"2015-06-17 ","00:07:32","KeithRothfus","TUNE IN NOW: For a discussion about exciting news for Western Pennsylvania #Jobs and #Energy... https://t.co/oIh5lojFYu","Jobs Energy"
"2015-06-12 ","19:44:04","KeithRothfus","The trade promotion bill simply didn't have the tools Congress needs to deliver a deal that meets the expectations of the ppl in Western #PA","PA"
"2015-06-12 ","19:43:09","KeithRothfus","For every 1 call my office received in support, 34 Western #PA residents opposed TPA.","PA"
"2015-06-11 ","20:01:01","KeithRothfus","House just passed its 6th approps bill that sets #budget priorities &amp; allocates funds for #troops &amp; their families: http://t.co/QJCJeOJkUw","budget troops"
"2015-06-11 ","13:44:25","KeithRothfus","http://t.co/K2oWRykYsu @CBSPittsburgh ""#Pittsburgh Ranked Top City In America For Hockey Fans"" #Pens","Pittsburgh Pens"
"2014-10-25 ","20:01:05","KeithRothfus","Have you ever wondered what my priorities are while serving #PA12? Click here for the answer!http://t.co/wHdMVIQWgh","PA12"
"2014-10-25 ","20:00:46","KeithRothfus","Reminder: Interested in attending a service academy? The nomination application is due October 30th. For more info: http://t.co/sdHHFwsz4u",
"2014-10-24 ","21:50:05","KeithRothfus","My thoughts and prayers are with the #Marysville community.","Marysville"
"2014-10-24 ","20:01:57","KeithRothfus","Thank you BCL Manufacturing, Inc. for a great tour of your precision metal manufacturing facilities.http://t.co/hCio7wzdfn",
"2014-10-24 ","19:16:13","KeithRothfus","Medicare Open Enrollment going on now until December 7. Need assistance? My office can help! http://t.co/OG9ErnIK7o",
"2014-10-24 ","16:31:10","KeithRothfus","Are you signed up for the #RothfusReport? New edition covering events from all over #PA12 this week: http://t.co/6eFXF17Dfs","RothfusReport PA12"
"2014-10-24 ","00:15:23","KeithRothfus","$2.5 million grant to @ChildrensPgh will allow for more patients &amp; continue their excellent work http://t.co/Yj4eddv2NC",
"2014-05-24 ","17:15:22","KeithRothfus","Moving video documenting the @The_Old_Guard’s #FlagsIn tradition at @ArlingtonNatl to honor our fallen heroes http://t.co/YZnExzjz4b.","FlagsIn"
"2014-05-23 ","23:15:06","KeithRothfus","Thanks to everyone at #CoffeeWithKeith in Ambridge &amp; Ohio Twp today. Get the #RothfusReport for updates on future CWK http://t.co/cl4kg9cbmU","CoffeeWithKeith RothfusReport"
"2014-05-23 ","22:35:11","KeithRothfus","ICYMI: I voted this week to make the #VA more accountable to #veterans http://t.co/bKhjKW9sPp","VA veterans"
"2014-05-23 ","21:55:16","KeithRothfus","Americans need jobs, but @BarackObama still hasn’t approved the job-creating #KeystoneXL 16 weeks after State Dept study. It’s #TimeToBuild","KeystoneXL TimeToBuild"
"2014-05-23 ","21:05:10","KeithRothfus","New #RothfusReport this week. Sign up to receive it &amp; stay up to date on #PA12: http://t.co/6eFXF1pMtA","RothfusReport PA12"
"2014-05-23 ","19:15:25","KeithRothfus","Best wishes to Export-based filmmaker @LASTSWASHBUCKLR w/film screening at the GI Film Festival on Sunday. Trailer: http://t.co/NUsjVY4gbE",
"2014-05-23 ","18:01:03","KeithRothfus","TODAY: Second #CoffeeWithKeith, 3-4pm at Goodfellas Café in Ohio Twp. http://t.co/DK7GgWOpx5","CoffeeWithKeith"
"2014-05-23 ","14:03:00","KeithRothfus","#NDAA supports Johnstown’s 1-104 so it can continue to defend our nation both at home &amp; abroad http://t.co/bWQ3uScqvA","NDAA"
"2014-04-04 ","22:35:07","KeithRothfus","9 weeks &amp; counting since State Dept report declared #KeystoneXL safe. @BarackObama should use the pen to approve b/c its #TimeToBuild #4jobs","KeystoneXL TimeToBuild 4jobs"
"2014-04-04 ","21:26:52","KeithRothfus","Today, we remember the life &amp; legacy of #MLK on the anniversary of his untimely passing 46 yrs ago http://t.co/mWLhuOp2zg","MLK"
"2014-04-04 ","19:45:14","KeithRothfus","Hands on learning about Western PA #jobs helps me serve you. Would you like me to tour your workplace? http://t.co/TQ8jYUe3Pi","jobs"
"2014-04-04 ","18:05:35","KeithRothfus","Thanks @Dave_Sutor for covering my bill to help mutual banks continue to serve customers, promote main street growth http://t.co/SaR2kYcQuD",
"2014-04-04 ","16:35:24","KeithRothfus","2 police officers from Jeannette to be honored at National Law Enforcement Officers Memorial: http://t.co/x4VmLahD0x",
"2014-04-03 ","17:50:44","KeithRothfus","Academy Day coming up this Saturday at Shaler HS. Come by to learn more about attending a service academy! http://t.co/yIzYtWdJ7x",
"2014-04-03 ","16:05:33","KeithRothfus","Congrats to @Pirates on winning longest-ever baseball game in Pittsburgh last night! Tune in at 12:35pm today for the next one! #LetsGoBucs","LetsGoBucs"
"2014-04-03 ","15:25:15","KeithRothfus","Our thoughts and prayers are with the families affected by this tragedy. http://t.co/K6CRPreaEm",
"2014-04-03 ","15:05:40","KeithRothfus","REMINDER for HS Students: Congressional Art Competition deadline for submissions is this Friday. http://t.co/BK4rcMKdsc",
"2014-04-03 ","13:55:15","KeithRothfus","Great to see students from @NBASD &amp; Central Cambria HS participating in @SIFMAFoundation’s Capitol Hill stock market game.",
"2014-02-21 ","23:10:09","KeithRothfus","Honored to present medals to Johnstown West End vet John Burns yesterday for his service in WWII. http://t.co/5f5vPjGUZX",
"2014-02-21 ","21:44:45","KeithRothfus","Up to 165,000 jobs lost due to medical device #tax, so I cosponsored a bill to repeal it #4jobs http://t.co/i5dOPuwYHP","tax 4jobs"
"2014-02-21 ","18:08:39","KeithRothfus","CMS expected to announce more cuts to Medicare Advantage, threatening access to care. Instead, we need to strengthen &amp; protect Medicare Adv.",
