"Date","Time","screen_name","text","hashtags"
"2016-09-23 ","19:29:54","RepTomRice","Join me on 10/12 for a workforce symposium to help you improve your skillset &amp; learn what employers look for! https://t.co/JWkP8LSVbX",
"2016-07-17 ","21:30:05","RepTomRice","Stay up to date with all things happening in DC and #SC07 here: https://t.co/PcNf3VYtM0","SC07"
"2016-07-08 ","14:20:48","RepTomRice","We must fight to unite, not rip ourselves apart. This is our greatest strength..we are ALL Americans.",
"2016-07-08 ","14:20:18","RepTomRice","Of course I'm praying for peace and healing across America, but I'm afraid our prayers may not be enough.",
"2016-07-08 ","14:19:43","RepTomRice","Thinking of the families of the police officers killed in #Dallas and for the families of #PhilandoCastile and #AltonSterling.","Dallas PhilandoCastile AltonSterling"
"2016-06-13 ","16:00:43","RepTomRice","June 17th I'm hosting Coffee With Your Congressman events around our district. See here to find a location near you: https://t.co/5x9vDJRFIm",
"2016-06-13 ","14:47:57","RepTomRice","Continued prayers for the families and the victims of those injured in #Orlando.","Orlando"
"2016-02-25 ","16:42:21","RepTomRice","I spoke on the House Floor yesterday in support of H.R. 3004. View my speech here: https://t.co/pLprjpEnlP",
"2015-12-03 ","21:04:41","RepTomRice","Thinking of my friend Sam Johnson, who lost the love of his life, Shirley, today.",
"2015-12-02 ","23:40:12","RepTomRice","My thoughts and prayers are with the victims of the senseless attack in San Bernardino, and with those who lost their loved ones today.",
"2015-11-28 ","23:23:20","RepTomRice","I'm hosting a Telephone Town Hall on Monday at 5:30 pm. Sign up to participate at https://t.co/CsiuxRp6pl",
"2015-10-01 ","18:27:31","RepTomRice","My thoughts &amp; prayers are with the family, friends, &amp; loved ones of Officer Greg Alia, who was tragically killed in the line of duty.",
"2015-06-12 ","18:46:30","RepTomRice","The House just passed #TPA.  I voted ... http://t.co/uDmwrB8yps","TPA"
"2014-10-24 ","16:24:57","RepTomRice","Our thoughts and prayers are with the Canadian people during this difficult time.",
"2013-09-17 ","14:56:36","RepTomRice","Happy Constitution Day! Test your Constitution Knowledge, take @washingtonpost's quiz: http://t.co/IrnTV3taSM",
"2013-09-17 ","13:44:20","RepTomRice","Praying for the victims of the #NavyYard shooting http://t.co/AUScRUcrAP","NavyYard"
"2013-09-16 ","17:29:34","RepTomRice","Wrenzie and I extend our thoughts and prayers to the victims, families, and first responders affected by the tragedy at #NavyYard.","NavyYard"
"2013-03-13 ","16:13:20","RepTomRice","I just addressed my fellow Budget Committee colleagues about our FY2014 #balancedbudget plan. #sctweets http://t.co/n3BuGTe6uX","balancedbudget sctweets"
"2013-03-13 ","14:09:26","RepTomRice","The Senate's ""balanced approach"" does not even result in a budget that balances. Americans deserve a #BalancedBudget. RT if you agree. #gop","BalancedBudget gop"
"2016-09-23 ","15:11:51","TGowdySC","Next week -&gt; @HouseJudiciary will examine DOJ's involvement in crafting New Orleans Police Dpt's sanctuary policy.
https://t.co/gtkLhkJMXf",
"2016-09-23 ","14:53:06","TGowdySC","Joined @RepGoodlatte in calling on @DHSgov to revoke citizenship for those who should have been deported. Read more: https://t.co/Yyme8UAaD4",
"2016-07-08 ","15:20:48","TGowdySC","People of good conscience should link arms for justice, order, and respect for the rule of law, and stop the spilling of innocent blood.",
"2016-07-08 ","15:19:12","TGowdySC","Today is yet another vivid reminder of how very thin and precarious the blue line between us and lawlessness can be.",
"2016-07-08 ","15:18:52","TGowdySC","Serving in law enforcement is difficult even on the days officers do come home alive.",
"2016-07-08 ","15:18:44","TGowdySC","Law enforcement officers dedicate their lives to the safety of others while putting their own lives at risk.",
"2016-07-08 ","15:18:22","TGowdySC","May justice be swift and certain for all of those who take innocent lives.",
"2016-07-08 ","15:17:50","TGowdySC","May God provide peace and comfort for those victimized and swift and certain justice for those culpable.",
"2016-07-08 ","15:17:16","TGowdySC","Praying for the fallen officers, their families, and the entire law enforcement community following the unspeakably heinous attack #Dallas","Dallas"
"2016-07-07 ","22:53:21","TGowdySC","Tune in -&gt; tonight at 9PM I'll be discussing today's @GOPoversight hearing w/ FBI Director Comey on @FoxNews @megynkelly #TheKellyFile","TheKellyFile"
"2016-07-07 ","16:43:55","TGowdySC","ICYMI: questioned FBI Director Comey during today's @GOPoversight hearing. Still happening -&gt; tune in live. https://t.co/lv3cumvxwU",
"2016-07-07 ","14:20:48","TGowdySC","Happening now -&gt;  https://t.co/i2xev6anik",
"2016-07-07 ","13:40:43","TGowdySC","Tune in at 10 AM -&gt; @GOPoversight to hold hearing with FBI Director Comey. Watch live: https://t.co/3mrn5lGxRP",
"2015-12-02 ","19:00:31","TGowdySC","Thurs @ 9am: @HouseJudiciary Subcommittee hearing on the oversight of the Exec Office for Immigration Review. More: https://t.co/1XKcSgeE7C",
"2014-10-24 ","17:00:26","TGowdySC","We send our support, thoughts and prayers to our Canadian friends during this time, and stand with them against the horrible attacks",
"2014-10-24 ","13:30:16","TGowdySC","WATCH LIVE at 9:30 am ET, Oversight Committee hearing on ebola crisis and US gov response: http://t.co/CfPvplnSwN",
"2012-09-28 ","14:45:46","TGowdySC","Congratulations to Drive Automotive on their $50 Million investment expected to create 60 new jobs in Greenville! http://t.co/wbIl0qGP",
"2012-09-27 ","17:18:01","TGowdySC","Enjoyed speaking to the Greenville Republican Women today! http://t.co/7ALPDjT8",
"2012-09-27 ","15:29:00","TGowdySC",". @GoUpstate article on DC gridlock and how the American people can end it. http://t.co/X1o0wBYf",
"2012-05-21 ","14:56:22","TGowdySC","From last week's @GOPoversight hearing on the Hatch Act and who can solicit donations and where that money goes. http://t.co/mXOLDEtD",
"2012-04-03 ","19:48:15","TGowdySC","Joining my SC delegation: @JimDeMint @GrahamBlog @Clyburn @CongJoeWilson @RepJeffDuncan @RepTimScott @RepMickMulvaney at @scchamber tonight.",
"2012-04-03 ","18:38:09","TGowdySC","Great group at Bottom Line in Spartanburg!  Thank you for allowing me to speak to your group today.",
"2012-04-03 ","13:36:21","TGowdySC","Congratulations to Ionic Technologies in Greenville on their announcement of a $10 million facility investment and creating 13 new jobs!",
"2012-04-03 ","12:46:07","TGowdySC","Enjoyed spending yesterday evening with the Greenville GOP and my colleague @repjeffduncan ! Great to have their support in our fight!",
"2012-02-22 ","16:57:36","TGowdySC","Informative trip down Main Street in downtown Greenville today and hearing the concerns small businesses have.",
"2012-02-21 ","19:48:52","TGowdySC","Enjoyed speaking with the students at Wofford College today!",
"2011-10-13 ","18:35:13","TGowdySC","Happy 236th Birthday to the @USNavy! Protecting the seas since October 13, 1775. #Navy236 #sctweets #scnews","Navy236 sctweets scnews"
"2011-10-13 ","15:58:36","TGowdySC","Via @DailyCaller GAO Report Confirms Overpayment=Bailout http://t.co/DtL2dnKi POSTAL CRISIS 101 VID http://t.co/nauMFJxP  #saveUSPS","saveUSPS"
"2011-10-13 ","14:37:12","TGowdySC","Why I support @repjohnkline bill HR 3094 ""Workforce Democracy and Fairness Act"" http://t.co/8qTh4oQF #sctweets #scnews #NLRB #4jobs","sctweets scnews NLRB 4jobs"
"2011-10-12 ","20:34:41","TGowdySC","Will be the guest of Keven Cohen at 4:40 on WVOC 560 AM to discuss #fastandfurious.  #sctweets #scnews","fastandfurious sctweets scnews"
"2011-10-12 ","15:47:45","TGowdySC","At 11:50, will be on http://t.co/ULnm8TI7 discussing #fastandfurious and what #holder knew. #sctweets","fastandfurious holder sctweets"
"2011-10-12 ","13:18:13","TGowdySC","At 10, @EdWorkforce will have a hearing on the Workforce Democracy and Fairness Act H.R. 3094.  Tune in here:http://t.co/penUR9Db #4jobs","4jobs"
"2011-09-07 ","21:41:04","TGowdySC","Going on at 5:45 with David Asman on Fox Business to discuss NLRB. #sctweets #scnews #4jobs","sctweets scnews 4jobs"
"2011-09-07 ","21:29:44","TGowdySC","Will be the guest of Eric Bolling on Fox Business tonight at 10 discussing Fast & Furious. #sctweets #scnews","sctweets scnews"
